	Gad2_tdTpositive_cell_77	Scnn1a.Tg2_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_7	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1600015I10Rik	0.0	0.0	0.0	0.04	0.0	0.04
1600029I14Rik	0.0	0.0	0.0	0.14	0.36	0.0
1700003L19Rik	0.0	0.0	0.0	0.14	0.0	0.14
1700007G11Rik	0.0	0.0	0.0	0.83	0.78	1.1
1700008K24Rik	0.0	0.0	0.0	0.21	0.0	0.52
1700023F06Rik	0.0	0.0	0.0	1.7	3.28	2.21
1700028J19Rik	0.0	0.0	0.0	2.47	2.23	2.18
1700048M11Rik	0.0	0.0	0.0	1.53	0.62	2.48
1700091E21Rik	0.0	0.0	0.0	1.55	0.88	1.12
1700092M07Rik	0.0	0.0	0.0	0.28	0.0	1.46
2310044H10Rik	6.15	1.03	141.24	215.98	240.68	232.45
2610002D18Rik	0.0	0.0	0.0	0.16	0.59	0.33
2810404M03Rik	0.0	0.0	0.0	0.08	0.0	0.17
4930443O20Rik	0.0	0.0	0.0	0.14	0.59	0.29
4930526D03Rik	0.0	0.0	0.0	0.14	0.14	0.15
4933406I18Rik	0.0	0.0	0.0	1.85	1.35	1.98
4933416I08Rik	0.0	0.0	0.0	0.08	0.22	0.16
9230104L09Rik	0.0	0.0	0.0	0.16	0.0	0.16
9530026P05Rik	0.0	0.0	0.0	1.12	0.57	0.63
9930012K11Rik	0.0	0.0	0.0	1.85	1.18	1.6
A930019D19Rik	0.0	0.0	0.0	0.32	0.0	0.44
AB099516	0.0	0.0	0.0	0.08	0.13	0.0
Abcg5	0.0	0.0	0.0	0.04	0.08	0.0
Adamdec1	0.0	0.0	0.0	0.04	0.0	0.04
Adora3	0.0	0.0	0.0	1.55	0.83	1.31
Aknad1	0.0	0.0	0.0	0.08	0.07	0.16
Akr1cl	0.0	0.0	0.0	0.07	0.0	0.08
Alox15	0.0	0.0	0.0	0.04	0.04	0.13
Alx1	0.0	0.0	0.0	0.04	0.15	0.12
Alx4	0.42	0.32	0.92	1.44	0.95	1.11
Ang	0.0	0.0	0.0	3.53	2.49	2.13
Anks1	0.23	0.0	0.33	14.32	14.45	15.14
Apob	0.0	0.0	0.0	0.01	0.0	0.01
Aqp2	0.0	0.0	0.0	0.07	0.13	0.15
Aqp5	0.0	0.0	0.0	0.32	0.42	0.53
Arhgap36	0.0	0.0	0.0	1.85	2.5	2.01
Arhgap8	0.0	0.0	0.0	0.07	0.25	0.14
Arl5c	0.0	0.0	0.0	1.85	2.05	2.24
Art1	0.0	0.0	0.0	0.07	0.13	0.0
Asmt	0.0	0.0	0.0	0.08	0.08	0.09
B230312A22Rik	0.0	0.0	2.53	29.4	30.16	29.99
B3gnt8	0.0	0.0	0.0	0.64	1.15	1.1
B930025P03Rik	0.0	0.0	0.0	0.32	0.27	0.26
BC024582	0.0	0.0	0.0	0.07	0.07	0.0
BC051628	0.0	0.0	0.0	0.07	0.2	0.22
C130050O18Rik	0.0	0.0	0.0	0.64	0.75	0.61
C330005M16Rik	0.0	0.0	0.0	1.55	1.85	2.02
Capn9	0.0	0.0	0.0	0.08	0.04	0.04
Ccdc151	0.0	0.0	0.0	6.8	6.96	6.37
Ccdc154	0.0	0.0	0.0	0.04	0.08	0.04
Cd248	0.0	0.0	0.0	3.7	3.81	3.62
Cd44	0.0	0.0	0.0	1.85	2.67	2.71
Cd6	0.0	0.0	0.0	2.74	2.17	2.38
Ceacam15	0.0	0.0	0.0	0.07	0.0	0.07
Cfhr2	0.0	0.0	0.0	0.07	0.08	0.0
Chi3l4	0.0	0.0	0.0	0.07	0.06	0.0
Cldn19	0.0	0.0	0.0	0.14	0.44	0.85
Clec12b	0.0	0.0	0.0	0.07	0.0	0.07
Clic6	0.0	0.0	0.0	2.39	2.8	2.01
Clrn2	0.0	0.0	0.0	0.64	1.01	0.33
Col13a1	0.0	0.0	0.0	0.85	1.41	1.37
Col4a3	0.0	0.0	0.0	0.16	0.16	0.29
Cox7b2	0.0	0.0	0.0	0.77	0.18	1.19
Cpa3	0.0	0.0	0.0	0.07	0.06	0.07
Ctla2b	0.0	0.0	0.0	1.43	1.62	1.94
D330028D13Rik	0.0	0.0	0.0	0.85	1.34	1.32
D330045A20Rik	0.0	0.0	0.0	0.32	0.35	0.27
D830046C22Rik	0.0	0.0	0.0	0.08	0.08	0.17
D930028M14Rik	0.0	0.0	0.0	0.56	0.21	0.73
Ddx60	0.0	0.0	0.0	0.64	0.43	0.44
Dennd3	0.0	0.0	0.0	3.7	4.23	4.3
Dlx3	0.0	0.0	0.0	0.08	0.04	0.04
Dlx6as2	0.0	0.0	0.0	0.16	0.07	0.08
Dnase2b	0.0	0.0	0.0	0.04	0.04	0.13
Dock8	0.42	0.25	0.48	2.6	1.85	2.05
Duox2	0.0	0.0	0.0	0.02	0.02	0.03
E030019B06Rik	0.0	0.0	0.0	1.85	1.52	1.48
Eda	0.0	0.0	0.0	3.4	3.5	3.14
Eda2r	0.0	0.0	0.0	0.14	0.16	0.15
F630028O10Rik	0.0	0.0	0.0	0.07	0.17	0.07
Fabp4	0.0	0.0	0.0	0.32	0.15	0.17
Fam124b	0.0	0.0	0.0	0.07	0.03	0.11
Fam154b	0.0	0.0	0.0	0.85	1.2	1.68
Fam46c	0.0	0.0	0.0	1.37	1.29	1.31
Fbxo40	0.0	0.0	0.0	0.08	0.11	0.16
Gabra6	0.0	0.0	0.0	0.04	0.04	0.08
Gbp8	0.0	0.0	0.0	0.16	0.15	0.24
Gch1	0.0	0.0	0.0	1.28	1.24	0.77
Glra1	0.0	0.0	0.0	0.64	0.33	0.73
Gm101	0.0	0.0	0.0	0.16	0.26	0.41
Gm1574	0.0	0.0	0.0	0.07	0.07	0.0
Gm1587	0.0	0.0	0.0	0.07	0.0	0.08
Gm16551	0.0	0.0	0.0	0.04	0.07	0.0
Gm17762	0.0	0.0	0.0	1.17	1.12	1.24
Gm221	0.0	0.0	0.0	0.32	0.35	0.52
Gm2721	0.0	0.0	0.0	0.32	0.48	0.65
Gm3285	0.0	0.0	0.0	0.16	0.29	0.02
Gm4814	0.0	0.0	0.0	0.28	0.28	0.9
Gm5294	0.0	0.0	0.0	0.16	0.15	0.0
Gm5592	0.0	0.0	0.0	0.08	0.07	0.19
Gm5797	0.0	0.0	0.0	0.16	0.28	0.67
Gm766	0.0	0.0	0.0	0.14	0.06	0.35
Gm7854	0.0	0.0	0.0	0.64	0.54	0.96
Gm884	0.0	0.0	0.0	0.02	0.02	0.0
Gng8	0.0	0.0	0.0	1.43	2.7	2.28
Gpr114	0.0	0.0	0.0	0.04	0.03	0.0
Gpr119	0.0	0.0	0.0	0.04	0.04	0.0
Gpr44	0.0	0.0	0.0	0.08	0.11	0.08
Grm2	0.0	0.0	0.0	41.5	44.9	46.69
Gsdmc4	0.0	0.0	0.0	0.07	0.09	0.0
Gtsf1	0.0	0.0	0.0	0.14	0.0	0.15
Gulo	0.0	0.0	0.0	0.04	0.12	0.0
H2-Aa	0.0	0.0	0.0	3.4	3.64	2.63
H2-Q10	0.0	0.0	0.0	0.07	0.07	0.0
H60b	0.0	0.0	0.0	0.85	1.1	1.76
Hdc	0.0	0.0	0.0	1.12	1.29	0.86
Hmcn1	0.0	0.0	0.0	1.43	1.22	1.26
Hormad2	0.0	0.0	0.0	0.07	0.0	0.08
Hpd	0.0	0.0	0.0	0.07	0.07	0.15
Hrnr	0.0	0.0	0.0	0.02	0.01	0.04
Hsd3b3	0.0	0.0	0.0	1.43	0.98	1.07
Hydin	0.0	0.0	0.0	0.28	0.39	0.43
Igfbp1	0.0	0.0	0.0	0.07	0.12	0.07
Igfbp2	0.0	0.0	0.0	43.08	54.59	50.08
Ikzf3	0.0	0.0	0.0	0.02	0.14	0.07
Il13	0.0	0.0	0.0	0.08	0.16	0.09
Il13ra1	0.0	0.0	0.0	4.94	4.1	4.6
Il17c	0.0	0.0	0.0	0.16	0.15	0.16
Iqca	0.0	0.0	0.0	0.64	0.58	0.32
Itgad	0.0	0.0	0.0	0.07	0.18	0.14
Izumo1	0.0	0.0	0.0	0.07	0.0	0.21
Kcng1	0.0	0.0	0.0	20.48	19.63	20.28
Kcng3	0.0	0.0	0.0	3.4	2.35	3.81
Kel	0.0	0.0	0.0	0.04	0.0	0.04
Kirrel	0.0	0.0	0.0	2.95	2.92	3.06
Krt19	0.0	0.0	0.0	0.07	0.0	0.15
Krt2	0.0	0.0	0.0	1.55	1.92	1.64
Krt83	0.0	0.0	0.0	0.16	0.06	0.09
LOC100861570	0.0	0.0	0.0	2.86	6.27	5.91
Lhx8	0.0	0.0	0.0	2.86	1.8	2.8
Lipk	0.0	0.0	0.0	0.04	0.04	0.0
Lrrc10	0.0	0.0	0.0	0.07	0.0	0.14
