	Cux2_tdTpositive_cell_21	Cux2_tdTpositive_cell_32	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_5	Nr5a1_tdTpositive_cell_27	Nr5a1_tdTpositive_cell_30	Nr5a1_tdTpositive_cell_38	Nr5a1_tdTpositive_cell_43	Rorb_tdTpositive_cell_24	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_33	Scnn1a.Tg3_tdTpositive_cell_49	Scnn1a.Tg3_tdTpositive_cell_91	Slc17a6_tdTpositive_cell_15	Slc17a6_tdTpositive_cell_18
2310010M20Rik	21.61	68.06	17.38	23.95	27.73	9.73	8.41	6.94	16.69	14.73	20.55	29.23	18.41	3.02	2.65	12.82	27.9	33.55	30.66
Acsm2	1.22	2.3	1.69	1.11	1.29	0.23	0.69	0.86	0.7	1.04	1.14	1.55	1.33	0.33	0.08	0.98	1.47	2.14	1.01
Aim2	18.04	15.3	16.28	14.9	12.31	2.01	9.41	4.3	10.05	9.75	12.08	21.94	20.25	0.0	1.08	14.47	36.03	15.13	17.84
Amy2a2	0.26	0.71	0.41	0.19	0.45	0.09	0.0	0.01	0.15	0.08	0.23	1.4	1.27	0.07	0.05	0.0	1.17	0.49	0.38
Amy2a3	0.26	0.71	0.41	0.19	0.45	0.09	0.0	0.01	0.15	0.08	0.23	1.4	1.27	0.07	0.05	0.0	1.17	0.49	0.38
Amy2a4	0.26	0.71	0.41	0.19	0.45	0.09	0.0	0.01	0.15	0.08	0.23	1.4	1.27	0.07	0.05	0.0	1.17	0.49	0.38
Apol6	2.22	2.51	1.98	1.91	1.79	0.65	1.19	0.64	1.76	0.85	2.1	4.85	2.15	0.17	0.98	0.73	4.18	1.79	3.82
Crx	7.86	24.24	7.75	10.03	8.0	3.05	5.74	3.11	3.81	6.26	4.29	6.67	4.01	3.12	2.72	4.98	12.17	11.16	7.37
Gpr157	9.73	10.26	9.91	6.27	7.46	1.36	5.26	1.71	7.26	6.1	6.17	9.54	8.27	0.93	2.96	4.63	18.35	18.31	8.06
Kif14	0.18	0.21	0.17	0.12	0.0	0.0	0.08	0.02	0.04	0.06	0.12	0.11	0.14	0.04	0.0	0.07	0.35	0.09	0.37
Ldlrad2	7.15	28.42	7.33	9.45	3.75	0.0	3.01	1.41	4.13	4.94	5.17	4.42	3.73	2.52	0.0	5.52	19.22	12.18	5.61
Lpp	2.9	4.22	3.57	3.14	2.43	1.06	1.78	0.4	1.94	2.73	1.94	7.71	3.45	0.05	0.4	1.11	5.06	2.13	2.66
Lrrn4cl	8.73	10.75	11.51	10.14	7.05	2.38	5.5	2.51	5.3	5.7	7.05	15.55	7.31	1.08	1.58	8.12	15.65	9.85	9.86
Pofut1	0.3	0.52	0.15	0.8	0.08	0.0	0.06	0.0	0.14	0.16	0.13	1.08	0.41	0.0	0.0	0.0	1.4	0.32	0.87
Rab3gap2	43.64	159.54	0.0	0.0	7.29	0.0	0.02	41.75	0.03	0.0	23.42	70.12	97.03	0.0	0.0	0.0	32.35	11.6	101.56
Rgs4	4271.16	5464.61	5873.8	5539.67	5390.4	2622.49	4380.67	3832.69	5399.11	5219.32	5037.98	5187.94	6274.8	5381.62	3732.04	5420.33	5598.27	4802.36	6781.39
Slc25a42	19.0	118.54	19.89	12.32	18.52	9.09	11.48	8.51	18.31	11.88	31.3	27.41	13.89	3.82	2.91	13.34	29.13	24.3	71.01
Spc24	32.5	44.41	24.46	35.22	37.59	4.51	15.79	4.21	29.79	23.13	17.93	25.82	22.98	8.37	25.29	18.78	67.69	29.34	33.83
Trim12c	2.51	5.23	3.79	2.25	2.16	0.19	0.9	0.57	0.56	1.29	1.77	2.92	2.08	0.16	0.15	1.99	4.35	1.6	2.03
Trim43a	2.21	8.18	0.52	2.18	0.84	0.0	0.12	0.0	0.29	0.49	0.05	0.75	0.86	0.0	0.0	0.0	1.01	1.14	2.17
Tti2	0.48	9.68	1.13	1.64	0.59	0.08	0.36	0.28	0.62	0.37	0.38	1.97	0.8	0.04	0.0	0.0	3.11	0.49	1.32
Tyms	58.46	83.48	55.02	93.2	67.51	15.62	61.47	18.37	64.36	69.58	55.83	80.62	70.0	6.8	8.41	52.83	135.93	137.83	90.48
Zfp113	4.35	5.32	4.92	4.45	3.94	1.45	3.29	0.88	4.11	4.1	2.97	6.54	4.54	2.72	0.42	3.16	7.54	7.12	9.22
