	Ctgf_tdTpositive_cell_3	Ntsr1_tdTpositive_cell_78	Ntsr1_tdTnegative_cell_39	Scnn1a.Tg3_tdTnegative_cell_7	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2310061I04Rik	0.0	0.0	0.0	4.74	76.54	80.37	71.72
2810001G20Rik	0.0	0.0	0.0	145.03	18.7	22.0	21.17
5330437I02Rik	0.0	0.0	0.0	0.29	1.52	1.57	1.44
5730405O15Rik	0.0	0.0	0.0	13.51	1.72	1.62	2.25
Abl1	0.0	0.0	0.09	167.85	27.23	27.98	27.08
Aen	0.0	0.0	0.0	36.85	21.92	19.64	19.63
Ahrr	0.0	0.0	0.0	219.31	0.5	0.57	0.75
Alox12	0.0	1.4	0.0	9.56	0.71	0.51	0.96
Amotl2	0.0	0.0	0.0	79.35	13.61	15.01	13.33
Angel1	0.0	0.0	0.0	28.83	8.22	8.8	8.46
Ano8	0.0	0.0	0.0	1.52	44.01	50.03	48.35
Arid3a	0.0	0.0	0.0	10.64	3.69	4.25	3.5
Atp7b	0.0	0.0	0.0	4.62	1.15	1.12	1.18
Atxn7l3	0.0	0.0	0.0	10.26	174.79	180.92	176.83
Aven	0.0	0.0	0.0	0.91	9.74	10.05	9.97
B930003M22Rik	0.0	0.0	0.0	141.85	4.27	4.87	7.46
BC003266	0.0	0.0	0.0	342.79	55.44	59.76	56.92
Bank1	0.0	0.0	0.0	0.29	1.36	1.17	1.41
Bbs2	0.0	0.0	0.0	184.97	22.01	24.73	23.72
Bcor	0.0	0.0	0.0	292.81	13.55	13.42	12.87
Bgn	10.38	2.85	0.21	141.9	13.01	13.43	13.67
C030046I01Rik	223.56	10.08	2.4	140.87	278.49	290.92	298.72
C2cd2l	0.0	0.0	0.0	0.22	101.81	111.13	100.46
C920021L13Rik	0.41	0.0	0.0	5.04	1.35	1.61	1.15
Capn10	0.0	0.0	0.0	197.19	22.22	22.83	24.07
Capn2	0.13	0.0	0.0	172.99	61.25	63.62	61.62
Ccl25	0.0	0.0	0.0	164.83	6.56	4.49	7.08
Cep72	0.12	0.88	0.13	150.23	1.25	1.33	1.2
Cerk	0.0	0.0	0.0	144.7	36.5	40.33	41.09
Cib1	0.0	0.0	0.0	349.8	19.59	20.52	20.1
Cog3	0.0	0.0	0.0	5.61	23.23	22.86	23.48
Coq10a	0.0	0.0	0.0	83.16	27.62	29.36	27.88
Cyp2j12	0.0	0.0	0.0	0.5	2.19	2.84	3.32
D17Wsu92e	0.0	0.0	0.0	140.18	187.3	186.34	191.37
D6Ertd527e	0.0	0.0	0.0	0.41	0.0	0.08	0.09
D830015G02Rik	0.0	0.0	0.0	3.63	3.89	6.26	5.49
Dach2	0.0	0.0	0.0	56.26	0.36	0.56	0.47
Dact3	0.0	0.0	0.0	152.58	125.8	137.92	131.01
Dchs1	0.0	0.0	0.0	77.02	4.95	4.93	6.13
Defb41	0.0	0.0	0.0	2.27	0.23	0.0	0.0
Dgat2	0.0	0.0	0.0	7.24	74.08	85.02	74.02
Dhdh	8.25	6.8	0.77	158.58	8.62	9.3	9.67
Dnahc10	0.0	0.0	0.0	7.49	0.53	0.62	0.5
Dnajc16	0.0	0.0	0.0	51.9	44.57	46.18	45.21
Dopey2	0.0	0.0	0.0	63.99	39.74	37.78	40.38
E430016F16Rik	0.0	0.0	0.0	0.31	0.29	0.27	0.2
Elavl2	0.0	0.0	0.0	124.84	56.24	52.15	51.22
Eya2	0.0	0.0	0.0	1.22	1.84	1.81	1.47
Fam176a	0.0	0.0	0.0	199.36	11.75	11.28	9.64
Fbp1	0.0	0.0	0.0	129.72	0.63	0.26	0.36
Fbxo11	0.0	50.19	0.0	281.61	82.98	81.77	83.57
Foxk2	0.0	0.0	0.0	102.2	56.9	56.88	57.47
Gal3st1	0.0	0.0	0.0	49.63	14.51	16.57	16.38
Ganc	0.0	0.0	0.0	56.51	6.25	4.81	5.11
Gbp4	0.0	0.0	0.0	4.59	2.7	1.56	2.39
Gbp6	0.0	0.0	0.0	9.14	1.95	1.05	2.09
Gbp9	0.0	0.0	0.0	10.36	3.7	2.9	4.05
Gipc1	1.85	9.88	6.2	635.91	73.83	85.57	79.88
Gm10012	0.0	0.0	0.0	79.69	1.42	1.1	1.17
Gm10560	0.0	0.0	0.0	1.19	10.39	11.72	9.23
Gm11602	0.0	66.32	0.0	329.28	6.73	5.63	7.31
Gm14327	0.0	0.0	0.0	8.08	16.22	8.04	13.65
Gm15545	0.0	0.0	0.0	83.18	1.32	1.61	1.57
Gm16907	0.0	0.0	0.0	158.47	2.63	2.42	2.68
Gm7367	0.0	0.0	0.0	6.01	21.68	31.06	21.61
Gm8817	0.0	0.0	0.0	5.44	1.94	1.76	4.17
Gmppa	182.45	0.0	0.0	330.35	38.42	42.47	38.94
Gosr1	0.0	0.0	0.0	428.43	31.18	30.6	30.06
Gpd2	0.0	0.0	0.0	329.47	64.41	62.83	64.21
Gsta3	0.0	0.0	0.0	45.71	3.03	1.74	1.75
Gtf2ird2	0.0	0.0	0.0	183.57	12.37	13.45	12.22
Hfe	0.0	0.0	0.0	431.62	5.03	4.41	5.37
Hnrnpl	64.85	108.8	20.55	196.32	164.26	169.32	160.95
Hoxb4	0.0	0.0	0.0	0.37	0.03	0.0	0.0
Hps6	0.0	0.0	0.0	1.77	6.08	5.86	6.42
Hsph1	0.0	0.0	0.14	369.63	238.03	226.06	225.17
Id1	0.47	0.0	0.0	248.37	23.73	21.08	22.42
Itgb1bp2	0.0	0.0	0.0	192.02	0.39	0.58	0.56
Klf8	0.0	0.0	0.0	4.62	3.81	3.6	4.5
Klhl14	0.0	0.0	0.0	0.17	1.96	2.26	2.37
LOC622552	0.0	0.0	0.0	95.56	1.58	1.49	2.36
Lamp3	0.0	0.0	0.0	0.29	0.06	0.0	0.13
Lats1	0.18	0.0	0.0	141.83	17.11	15.75	16.63
Mapkapk2	0.0	2.12	0.0	71.49	23.43	25.16	25.56
Mast3	0.0	5.81	0.0	31.44	128.92	128.23	132.72
Matn1	0.0	0.0	0.0	813.46	0.54	0.47	0.31
Mcm9	0.0	0.0	0.0	0.24	3.04	3.39	3.22
Mecp2	74.8	0.0	0.05	100.67	44.48	42.92	44.3
Mef2b	0.0	0.0	0.0	217.43	0.23	0.43	0.39
Mfng	0.0	0.0	0.0	0.53	4.44	3.62	3.91
Mgat1	0.0	0.0	0.0	232.88	43.12	47.31	46.19
Mir3112	0.0	0.0	0.0	59.07	2.16	4.08	8.93
Mir5128	0.0	0.0	0.0	123.66	0.0	0.0	0.0
Mir680-3	0.0	0.0	0.0	52.86	9.27	13.1	19.02
Mri1	0.0	1.83	0.55	36.67	11.78	13.9	13.44
Mtap7d1	24.36	0.0	0.0	130.29	184.55	212.08	197.8
Mterf	0.0	0.0	0.0	255.76	3.37	4.71	6.61
Mtmr3	0.0	0.0	0.0	183.87	48.33	49.45	50.51
Myo19	0.0	0.0	0.0	0.24	7.05	7.18	7.28
Neat1	0.0	0.0	0.0	232.15	55.42	57.07	74.72
Nol9	4.55	9.05	5.29	148.51	14.95	17.28	16.54
Nr1h2	0.0	0.0	0.0	266.24	47.16	54.22	52.8
Nudcd2	0.0	0.0	0.0	423.4	16.85	19.22	18.94
Nudt22	0.0	0.0	0.0	289.65	7.69	11.25	9.19
ORF63	0.0	0.0	0.0	0.57	0.9	0.62	0.93
Olfr635	0.0	0.0	0.0	1.0	0.0	0.05	0.0
Pex6	0.0	0.0	0.0	108.83	43.33	48.21	47.37
Pipox	0.0	0.0	0.0	326.57	2.63	1.79	2.38
Plagl1	0.0	0.0	0.0	0.19	15.74	15.04	13.9
Plin4	0.0	0.0	0.0	1.18	1.28	1.2	0.84
Poc5	0.0	0.0	0.0	415.47	28.43	27.96	26.23
Poll	0.0	0.0	0.0	706.04	8.56	9.86	7.65
Pom121	0.0	0.0	0.0	27.57	39.1	41.0	41.92
Pomt2	0.0	0.0	0.2	15.32	14.27	14.89	16.93
Ppard	0.0	0.0	0.0	42.87	16.82	16.03	16.36
Ppp1r15b	0.08	0.35	0.53	146.0	33.88	32.71	26.96
Prep	13.35	0.0	0.0	88.82	24.42	24.58	24.43
Prmt10	0.0	0.0	0.0	387.35	16.1	17.28	15.71
Prnd	0.0	0.0	0.0	0.44	0.18	0.41	0.1
Prpf19	0.0	0.0	0.0	128.21	65.92	70.75	68.94
Ptplb	0.0	0.0	0.0	61.96	23.26	23.76	24.49
Pus3	0.0	0.0	3.53	32.01	11.38	10.01	11.29
Rabep2	0.0	0.0	0.0	153.63	9.77	11.34	10.72
Rcc2	0.0	8.6	0.0	58.7	61.45	68.71	59.96
Rel	0.0	0.0	0.0	5.92	2.87	2.12	2.37
Rg9mtd3	0.0	0.0	0.0	15.69	12.69	12.3	11.79
Rimkla	0.0	0.0	0.0	260.46	10.17	9.06	8.76
Rnf11	0.0	0.0	0.24	135.36	267.55	268.6	261.45
Rnf25	0.0	0.0	0.0	320.29	47.16	51.39	46.62
Rpap3	0.0	0.0	0.22	212.96	27.98	26.73	25.39
Rpgrip1l	0.0	0.0	0.0	17.53	11.64	10.12	11.23
Rrm2b	0.0	0.0	0.0	2.73	26.34	20.33	23.84
Rtp3	0.0	0.0	0.0	17.5	2.72	2.32	3.2
Sbno2	0.0	0.0	0.0	2.65	11.04	12.05	12.55
Scarb2	0.0	0.0	0.0	624.55	84.94	85.35	89.91
Serinc4	0.0	0.0	0.0	0.38	2.34	1.84	2.33
Sike1	0.0	0.83	0.0	18.3	25.68	23.76	25.84
Slc25a45	0.0	0.0	0.0	0.53	3.41	4.54	5.03
Slc35f5	0.16	0.0	0.0	302.08	22.01	22.42	19.82
Snora34	0.0	0.0	0.0	122.15	15.62	10.19	11.16
Snord7	0.0	0.0	0.0	24.17	0.0	3.27	0.0
Spata2	0.0	0.0	0.0	55.05	51.24	53.51	47.27
Spty2d1	0.0	0.0	0.0	231.45	13.97	12.3	10.09
Sv2a	0.0	0.0	1.15	57.15	289.26	306.68	286.94
Tbc1d16	0.0	0.0	0.0	5.93	23.36	24.86	24.36
Tfpt	0.0	0.0	0.0	150.02	26.76	32.96	29.27
Tlk2	0.0	0.0	0.0	45.13	22.9	20.76	22.2
