	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_9	Cux2_tdTnegative_cell_6	Nkx2.1_tdTpositive_cell_1	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_88
0610009O20Rik	0.17	0.0	0.0	115.14	1.2	0.13	3.85	19.89	18.56	14.63	0.38
1110034B05Rik	0.0	0.0	0.0	149.17	0.0	0.0	0.0	0.0	65.54	80.02	1.02
1700047I17Rik2	0.52	0.82	0.81	17.08	4.25	31.78	1.19	1.22	9.09	15.28	0.36
1810064F22Rik	0.36	0.56	2.15	19.67	7.43	0.39	1.39	0.0	4.62	14.91	1.4
2210408I21Rik	0.0	0.0	0.0	172.24	0.0	0.0	0.0	0.0	33.91	13.31	26.36
Aaas	0.0	0.0	0.0	170.87	0.0	0.0	0.89	0.0	13.24	0.0	0.38
Adam1a	0.0	0.0	0.0	102.9	0.0	0.0	11.5	0.0	6.96	0.0	0.0
BC056474	0.0	0.0	0.0	332.74	0.88	0.24	63.1	2.18	101.47	108.86	195.44
Bbs2	0.0	0.0	0.0	104.98	0.0	0.0	0.0	0.31	11.64	25.72	0.23
Ccdc55	0.66	0.16	5.76	86.64	3.52	0.0	26.31	6.87	24.88	51.73	49.49
Ccl27b	0.0	0.0	0.0	0.37	9.17	0.0	20.98	11.75	29.61	1.74	0.85
Cops4	0.23	0.0	0.0	348.98	126.3	0.0	143.2	79.47	311.56	256.44	27.89
Cpne1	0.0	0.0	0.0	95.5	0.0	0.0	0.0	0.14	9.22	2.36	0.0
Elof1	0.0	0.0	0.0	272.55	182.85	10.49	72.59	96.46	120.82	91.16	0.45
Fam177a	0.52	0.82	0.81	17.08	4.25	31.78	1.19	1.22	9.09	15.28	0.36
Gimap1	0.0	0.0	0.0	15.58	0.0	9.94	32.28	2.37	9.18	5.6	11.63
Gm13306	0.0	0.0	0.0	0.37	9.17	0.0	20.98	11.75	29.61	1.74	0.85
Gm14430	0.0	0.0	1.53	2.09	0.06	0.0	7.21	0.0	3.4	23.92	6.94
Gm14434	0.0	0.0	1.53	2.09	0.06	0.0	7.21	0.0	3.4	23.92	6.94
Gm2506	0.0	0.0	0.0	0.37	9.17	0.0	20.98	11.75	29.61	1.74	0.85
Gm4724	0.0	0.0	1.53	2.09	0.06	0.0	7.21	0.0	3.4	23.92	6.94
Gm6498	0.0	0.0	0.0	4.1	0.0	0.0	0.14	0.0	0.69	0.0	0.28
Gm6981	0.0	0.0	0.0	8.07	0.0	0.12	0.71	0.48	0.42	0.0	0.82
Gm8817	0.0	0.0	0.0	2.59	0.61	0.0	1.68	0.0	1.73	1.42	0.77
Igbp1	0.0	0.0	0.0	189.95	0.77	0.0	0.0	42.47	35.42	60.23	0.15
Igfbp7	0.0	0.0	0.0	0.38	0.0	0.29	0.59	11.41	0.0	4.93	0.21
Kcmf1	0.0	0.16	0.14	137.45	15.68	0.05	14.88	6.14	15.06	20.65	2.51
Kcna4	0.0	0.0	0.0	32.19	6.95	0.03	30.01	0.0	0.27	1.09	0.0
Kctd6	0.0	0.0	0.0	427.93	0.35	0.0	4.81	0.29	49.88	17.68	56.93
Mansc1	0.0	0.0	0.0	76.49	0.0	0.07	0.09	5.84	26.59	52.18	9.55
Mdm1	0.0	0.0	0.0	41.56	0.77	0.05	0.0	1.89	0.0	6.37	0.08
Muted	0.0	0.0	0.0	161.15	0.0	0.0	0.0	0.0	20.66	11.74	0.0
Nudt13	0.0	0.0	0.0	31.33	1.37	0.0	0.17	0.0	26.23	29.5	0.0
Nup88	0.0	0.0	0.0	257.51	3.08	0.0	3.17	42.78	35.49	26.49	80.84
Oxct1	0.0	0.0	0.13	353.43	53.04	0.05	75.97	70.47	125.52	181.75	85.48
Pdcd11	0.0	0.0	0.0	51.68	0.19	8.18	0.67	0.31	0.58	1.28	0.0
Plaa	0.0	0.0	0.0	44.53	0.5	0.18	0.34	4.28	10.91	13.56	20.84
Prim1	0.0	0.0	0.0	251.33	0.0	0.1	0.0	0.0	38.28	7.08	0.0
Rnf187	0.0	0.27	0.0	133.28	9.89	0.66	34.81	30.75	47.89	72.75	21.65
Rod1	0.0	0.0	0.0	45.88	0.08	0.0	0.0	0.0	1.78	12.36	0.0
Slc26a10	0.0	0.0	0.0	3.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slc8a3	0.0	0.0	0.0	62.24	0.46	0.04	0.04	3.44	1.15	0.49	0.41
Ss18l1	0.0	0.0	0.0	136.38	2.52	0.04	62.68	26.97	24.07	24.36	0.2
Trpt1	0.0	0.0	0.0	156.03	0.0	0.0	1.61	57.55	17.87	1.31	66.35
Tsc22d2	0.0	0.0	0.0	43.87	0.45	0.0	0.2	0.0	8.01	5.18	0.1
Tuba4a	0.0	0.0	0.23	680.75	79.0	0.31	0.63	345.79	423.69	245.36	51.64
Ube2e1	0.0	0.0	0.0	283.71	0.0	0.0	0.16	0.0	53.4	44.53	0.78
Uvrag	0.0	0.0	0.0	4.07	0.17	0.0	0.06	0.0	3.32	15.44	0.0
Vmn1r65	0.0	0.2	0.17	9.82	2.14	5.38	2.11	0.58	4.95	1.7	5.38
Zdhhc16	0.0	0.0	0.0	172.17	0.0	0.0	0.12	0.0	3.03	0.0	0.0
Zmynd11	0.0	0.0	0.0	121.64	9.72	0.0	20.35	25.08	52.52	19.91	6.41
mt_AK131579	30179.68	26165.75	55662.18	22224.57	73067.83	55281.42	94403.3	60705.47	30389.16	46620.23	59803.41
mt_AK136262	0.0	0.0	0.0	5.41	0.03	0.0	0.0	0.01	0.02	0.18	0.0
mt_AK142003	0.0	0.0	0.0	5.41	0.03	0.0	0.0	0.01	0.02	0.18	0.0
mt_AK166798	0.0	0.0	0.0	5.41	0.03	0.0	0.0	0.01	0.02	0.18	0.0
mt_AK166978	0.0	0.0	0.0	5.41	0.03	0.0	0.0	0.01	0.02	0.18	0.0
