	Cux2_tdTnegative_cell_12	Ndnf_tdTpositive_cell_7	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_6	PvalbD.Slc32a1_tdTpositive_cell_2	PvalbF.Gad2_tdTpositive_cell_45	PvalbF.Gad2_tdTpositive_cell_46	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_71	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1810011O10Rik	0.0	0.0	0.0	0.0	76.22	0.0	0.0	0.0	0.0	2.48	2.83	1.24
4930565N06Rik	0.9	0.27	0.0	0.0	90.96	0.2	0.15	0.0	0.34	0.75	0.57	1.26
A230001M10Rik	0.0	0.0	0.0	0.35	0.72	0.25	0.71	0.0	0.22	3.37	3.41	3.14
Ahr	0.0	0.21	0.0	0.0	76.41	31.83	0.86	0.06	31.75	7.35	6.28	6.43
Ankrd28	0.0	0.44	1.51	0.0	65.15	22.65	0.08	0.0	13.79	35.55	34.01	40.01
Bicc1	0.0	0.0	0.0	0.0	7.39	0.0	0.0	0.0	0.0	4.07	3.98	3.94
Btbd6	0.0	0.0	0.0	0.0	65.72	0.0	10.13	37.63	0.0	52.54	59.16	57.36
Ccdc123	0.0	0.0	0.0	0.0	22.82	0.0	0.34	0.0	0.0	14.35	12.36	11.68
Ccl27b	0.0	0.0	0.0	2.68	15.87	0.0	5.25	0.0	0.0	30.63	28.29	22.96
Cep68	0.0	0.0	0.0	0.0	36.33	0.29	6.52	0.0	0.0	17.27	16.32	17.75
Chd2	1.37	0.0	0.03	4.04	35.93	15.77	2.62	3.53	2.98	18.62	17.08	20.11
Cps1	0.0	0.0	0.0	0.0	40.4	0.0	0.0	0.0	0.0	0.1	0.16	0.17
Creb1	0.0	0.0	12.39	18.91	45.85	3.72	2.8	0.0	0.06	18.65	15.15	18.21
Cyp20a1	0.0	0.0	0.0	0.0	75.73	0.0	0.0	0.0	0.0	14.09	13.9	12.77
Dhx9	0.0	0.0	27.61	14.52	25.11	0.0	3.82	0.0	11.43	81.38	76.79	79.75
Dlg4	0.0	0.0	5.01	1.44	13.8	0.07	4.83	1.21	0.12	535.98	535.3	542.17
Elavl3	0.0	0.0	34.6	18.22	69.43	8.56	15.29	24.02	12.01	107.03	102.66	114.29
Fam155a	0.0	0.0	42.35	49.2	68.42	71.92	20.93	41.7	27.77	68.35	71.84	72.94
Fbxl17	3.6	0.37	6.71	8.72	23.99	16.17	8.59	2.42	5.04	19.78	19.13	19.47
Fbxw5	0.0	0.0	84.82	57.34	296.59	128.62	31.36	1.43	8.01	80.62	85.26	86.89
Gabpb1	0.0	0.0	44.1	20.89	72.13	0.0	0.0	0.0	0.0	17.14	17.03	16.64
Gm13306	0.0	0.0	0.0	2.68	15.87	0.0	5.25	0.0	0.0	30.63	28.29	22.96
Gm2506	0.0	0.0	0.0	2.68	15.87	0.0	5.25	0.0	0.0	30.63	28.29	22.96
Gm5176	0.0	0.0	0.0	0.0	76.56	0.62	0.48	2.55	0.79	2.61	1.59	2.62
Gnai1	0.0	0.0	0.0	43.05	232.11	12.16	74.08	66.73	37.04	179.59	181.43	168.36
Gpr68	7.15	0.08	0.0	1.02	45.15	0.47	6.19	0.09	0.57	10.02	9.8	9.13
Hist1h2bq	0.0	0.1	0.0	0.0	0.04	0.0	0.0	0.16	0.0	0.38	0.28	0.38
Hist1h2br	0.0	0.1	0.0	0.0	0.04	0.0	0.0	0.16	0.0	0.38	0.28	0.38
Ifi44	0.16	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.71	0.48	0.77
Itpkc	0.0	0.0	0.0	0.0	39.53	25.44	0.0	0.0	0.0	8.41	8.79	7.99
Lsm11	4.8	0.87	3.62	11.68	52.85	24.41	3.1	5.04	6.16	13.89	13.93	14.75
Ltbp4	0.0	142.02	0.0	0.0	25.41	0.0	0.0	0.0	0.0	37.04	41.64	39.41
Mbd2	0.0	0.0	0.0	0.0	40.08	0.0	0.0	0.0	0.0	44.34	48.96	43.56
Mbd5	0.0	0.0	0.0	11.22	30.15	8.68	20.08	0.0	0.69	25.74	23.59	24.39
Mecp2	0.0	0.0	21.11	13.06	62.03	8.38	0.0	0.77	3.37	44.48	42.92	44.3
Mgat3	0.0	0.0	28.23	18.68	138.2	80.63	13.82	0.07	80.83	99.56	101.36	101.11
Mtor	0.0	0.0	14.59	3.09	59.26	3.49	22.78	0.57	0.0	40.15	39.6	41.09
N4bp1	0.0	0.05	12.13	0.26	45.8	11.04	0.93	0.0	0.09	25.12	23.36	23.87
Nova1	0.0	0.0	27.49	7.99	64.68	13.61	17.25	3.78	40.78	25.52	23.97	23.99
Npas2	0.0	0.0	1.54	1.22	27.71	3.7	2.16	0.0	0.0	24.96	26.62	28.47
Nsg2	0.0	0.0	104.49	51.52	352.39	187.99	139.38	13.66	64.5	642.61	673.47	621.36
Ogfr	0.0	0.0	2.31	0.0	33.01	24.35	4.19	0.0	0.0	40.39	38.33	36.92
Otud5	0.0	0.0	0.0	0.14	83.23	0.0	0.0	0.0	0.0	59.8	60.16	60.64
Pcdhb17	0.0	0.0	0.0	0.0	155.4	0.0	0.0	74.43	4.01	12.89	12.73	13.47
Pcdhga8	0.0	0.0	0.0	0.0	8.72	0.0	0.0	0.0	0.0	11.54	11.05	11.71
Pdk4	0.0	0.0	0.0	0.1	0.92	0.0	0.11	0.0	0.0	9.05	7.9	8.68
Pgap3	0.0	0.0	0.0	0.0	50.33	0.0	0.0	0.0	0.0	9.46	9.46	9.18
Pgbd1	0.0	0.0	0.0	18.57	71.6	0.0	0.0	0.0	0.0	2.23	1.96	2.09
Pou3f3	0.0	0.0	0.65	0.11	14.69	0.0	0.0	0.0	0.39	62.62	61.78	61.73
Prkcc	0.0	0.0	0.0	0.0	46.24	40.62	0.0	0.0	0.0	280.97	277.81	262.15
Purb	0.05	0.0	123.18	78.59	331.78	149.56	134.81	88.9	86.86	202.04	181.97	195.46
Rab22a	0.0	0.0	0.0	0.0	18.27	0.0	0.0	0.0	0.0	36.5	36.78	37.73
Rasl10b	0.0	0.0	0.0	0.0	17.5	15.39	6.82	0.0	0.0	176.08	191.44	185.21
Rhot2	0.0	0.0	0.0	13.36	54.0	51.94	46.62	0.0	0.0	61.7	63.32	63.1
