	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Cux2_tdTnegative_cell_4	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_10	Nr5a1_tdTpositive_cell_35	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_8	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rorb_tdTpositive_cell_19	Scnn1a.Tg3_tdTnegative_cell_11
0610010B08Rik	0.18	0.0	0.0	0.1	0.03	1.16	12.04	6.79	4.34	12.06	4.19	42.13	15.65	1.86	8.55	68.57	0.6	0.0	23.67	0.0
1700047I17Rik2	2.63	2.8	2.15	3.42	6.26	0.51	12.91	9.76	3.15	5.76	7.18	19.37	14.89	9.35	429.48	22.4	17.14	0.0	26.7	1.05
2700050L05Rik	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	7.38	0.0	9.43	6.38	0.0	0.0	1.42	0.0	0.0	11.43	0.0
2900052N01Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.26	0.0	0.17	0.31	0.06	0.3	0.0	0.09	0.0
6430548M08Rik	0.0	0.0	0.0	0.0	0.0	0.46	3.62	6.97	0.23	0.23	9.23	22.67	20.13	0.55	0.26	73.1	0.21	0.0	28.78	0.0
A230072C01Rik	0.0	0.19	0.59	10.96	4.8	26.14	80.82	32.13	74.24	50.6	73.71	227.61	244.36	91.73	150.41	159.42	70.55	15.73	100.29	30.56
BC018473	193.72	79.77	31.8	28.25	91.34	107.81	173.66	203.49	237.98	128.3	254.6	259.81	206.97	206.25	391.06	129.9	371.07	217.75	360.29	252.89
BC068281	0.54	0.0	0.0	0.0	0.0	0.88	0.0	0.22	20.55	0.98	2.64	133.08	0.23	13.28	0.0	1.45	5.67	1.95	100.89	0.0
Ccl27b	0.0	0.0	0.0	0.0	0.0	10.7	54.72	30.68	0.23	21.3	114.35	145.03	0.49	75.28	0.0	42.8	0.0	0.0	150.8	0.0
Cdc42se2	0.0	0.1	0.0	0.0	0.0	1.24	26.83	9.27	0.22	103.16	110.58	153.02	34.93	0.11	0.7	22.82	1.72	0.45	146.18	0.0
Cib2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.25	29.6	10.24	0.0	0.0	0.0	0.0	53.27	0.0
Clasp2	41.02	0.0	92.54	9.67	0.0	128.54	86.76	101.33	145.29	210.82	229.33	278.15	106.51	172.81	63.88	122.33	214.76	96.31	123.62	79.36
Cpm	0.9	0.11	0.0	0.0	0.22	0.09	0.1	0.0	0.08	0.33	0.43	2.23	1.13	0.34	1.3	0.46	0.9	0.86	0.18	0.0
Cyp19a1	0.0	0.1	0.0	0.0	0.0	0.0	0.14	0.0	0.15	0.23	0.57	1.14	0.72	0.0	0.58	0.0	0.0	0.68	0.08	0.0
D830030K20Rik	0.0	0.0	0.0	0.0	0.3	9.22	1.09	6.83	1.98	2.97	7.64	7.87	4.53	3.39	5.24	11.3	1.12	0.0	52.3	0.52
Emb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.31	39.3	0.0	0.0	78.52	0.0	23.77	0.28	50.43	0.0	0.0	59.2	0.0
Entpd6	0.0	0.0	0.0	0.0	0.0	3.12	0.0	0.93	45.0	0.0	16.25	77.99	1.78	21.02	0.0	26.36	0.0	0.0	109.6	0.0
Fam177a	2.63	2.8	2.15	3.42	6.26	0.51	12.91	9.76	3.15	5.76	7.18	19.37	14.89	9.35	429.48	22.4	17.14	0.0	26.7	1.05
Gm13306	0.0	0.0	0.0	0.0	0.0	10.7	54.72	30.68	0.23	21.3	114.35	145.03	0.49	75.28	0.0	42.8	0.0	0.0	150.8	0.0
Gm14295	541.36	0.0	0.0	0.0	388.78	1360.41	985.62	617.68	850.25	1538.2	1074.89	1951.83	1169.27	887.43	1321.14	293.5	1063.24	9.8	625.25	709.1
Gm14430	0.0	0.0	0.0	0.12	0.03	1.33	4.76	8.15	0.0	0.0	0.0	12.82	18.78	0.0	0.0	21.71	0.0	0.0	13.33	0.0
Gm14434	0.0	0.0	0.0	0.12	0.03	1.33	4.76	8.15	0.0	0.0	0.0	12.82	18.78	0.0	0.0	21.71	0.0	0.0	13.33	0.0
Gm20257	0.0	0.0	0.0	2.06	0.0	0.0	0.41	0.0	0.0	0.0	0.92	2.75	0.0	0.38	2.88	0.9	1.77	0.0	0.25	0.0
Gm2506	0.0	0.0	0.0	0.0	0.0	10.7	54.72	30.68	0.23	21.3	114.35	145.03	0.49	75.28	0.0	42.8	0.0	0.0	150.8	0.0
Gm4724	0.0	0.0	0.0	0.12	0.03	1.33	4.76	8.15	0.0	0.0	0.0	12.82	18.78	0.0	0.0	21.71	0.0	0.0	13.33	0.0
Gng3	0.25	0.0	0.0	0.0	0.0	366.26	620.3	636.61	739.86	1102.49	841.84	1126.81	639.56	943.29	433.53	909.05	1290.33	503.33	693.67	420.85
Hist2h2be	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.13	0.0	0.0	0.68	0.21	0.0	0.0	0.14	0.0	0.0	0.32	0.0
Il2ra	0.28	0.28	0.0	0.47	1.12	2.16	1.65	0.51	1.76	1.5	3.98	2.49	4.19	1.77	4.32	2.65	3.98	0.7	2.52	0.63
Isg20l2	0.55	0.08	0.0	0.0	1.59	1.28	0.18	0.78	0.18	7.52	0.0	37.32	11.69	0.01	0.72	0.46	0.29	0.0	8.74	1.01
