	Chrna2_tdTpositive_cell_54	Htr3a_tdTpositive_cell_85	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_9	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_48	PvalbF.Gad2_tdTpositive_cell_49	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_52	PvalbF.Gad2_tdTpositive_cell_53	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_55	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_60	PvalbF.Gad2_tdTpositive_cell_62	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_64	PvalbF.Gad2_tdTpositive_cell_65	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_71	PvalbF.Gad2_tdTpositive_cell_72	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610040J01Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	28.72	0.0	0.0	0.0	0.0	0.0	3.72	4.35	5.98
1700008O03Rik	0.84	1.44	0.8	0.29	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.32	0.94	1.0	1.24	0.52	0.0	0.0	0.0	0.0	0.0	0.0	1.05	0.43	0.0	0.0	0.0	0.0	0.42	0.0	1.34	11.73	0.84	0.43	0.83	0.0	0.0	2.12	1.89	3.0
1700018C11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.84	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0
1810044D09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.82	0.0	0.0	0.0	0.0	0.0	1.3	1.63	0.67
2410003K15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.74	0.0	3.3	0.0	0.0	0.0	4.92	1.05	0.0	0.0	0.0	0.0	0.0	23.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.36	9.85	0.0	0.0	0.0	0.0	17.7	19.74	18.67
3110009F21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.21
4930528F23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.3	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
4930555G01Rik	0.0	9.69	0.0	0.0	0.0	4.3	3.2	2.93	0.0	0.0	0.15	0.0	0.0	2.82	0.0	0.0	3.03	0.0	1.04	2.42	0.0	19.27	0.0	3.26	0.0	0.0	0.0	3.82	9.27	3.7	11.35	63.98	0.0	0.0	0.0	0.0	2.67	0.28	0.73	0.62
4930565A17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09
4933401D09Rik	0.39	0.0	0.0	0.0	0.0	0.39	0.0	0.28	0.29	0.43	0.0	0.0	0.0	0.0	1.25	0.0	0.0	0.0	0.0	0.86	0.71	0.0	0.0	0.29	0.0	0.0	0.58	0.2	0.0	0.29	0.0	1.26	0.58	0.0	0.52	0.0	0.26	1.04	0.06	1.24
5033406O09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.06	0.27	0.26
6330416G13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.76	0.0	0.0	0.0	0.15	0.0	7.79	0.0	18.06	0.0	0.09	0.0	0.0	0.0	0.0	0.0	93.82	0.0	0.0	0.0	0.0	0.0	10.75	10.54	11.27
9130019P16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.36	0.0	0.0	0.0	0.0	0.0	1.6	1.7	1.87
9230110C19Rik	0.86	0.8	0.85	0.0	46.95	0.46	0.0	0.29	0.0	0.0	0.67	0.17	0.65	0.0	0.58	0.34	0.28	0.44	0.0	0.0	0.0	0.05	0.0	0.27	0.41	0.4	0.31	0.59	0.14	0.0	0.0	1.12	0.25	0.0	0.82	0.0	0.0	12.09	11.73	11.31
AB124611	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.56	0.0	0.0	0.0	0.0	0.0	0.69	0.47	0.71
Actn4	0.0	0.0	4.57	0.0	0.0	16.92	1.29	21.41	1.56	0.0	0.55	0.55	6.66	0.0	1.61	12.84	0.0	4.29	0.0	9.11	19.02	24.15	0.0	26.62	3.15	10.24	2.74	14.74	0.0	2.65	4.97	32.53	5.47	10.72	27.88	0.35	0.0	91.94	95.06	96.65
Agrn	1.25	0.0	11.62	0.6	0.32	11.32	0.87	6.19	1.15	20.8	1.55	13.33	4.26	1.22	0.94	9.06	16.13	0.05	0.0	1.2	0.34	3.43	0.67	17.03	20.57	0.0	1.88	18.12	1.18	0.92	1.97	31.56	19.88	20.57	28.74	0.33	12.64	84.09	82.45	90.55
Aldh5a1	37.03	64.34	1.33	0.09	34.48	73.15	0.0	37.18	13.06	61.92	1.55	19.36	0.64	25.02	0.0	43.84	48.86	0.0	5.47	0.0	8.01	3.93	33.91	17.68	3.7	24.15	35.23	2.32	6.06	0.0	57.07	77.54	30.85	0.07	48.61	0.98	1.74	53.65	52.91	55.22
Ankrd54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.22	3.61	0.0	1.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.95	0.0	0.0	0.0	0.0	0.0	12.32	16.03	13.97
Arhgap32	0.0	0.0	1.87	0.0	0.0	9.36	4.1	4.17	1.1	22.7	0.0	0.21	0.0	0.0	9.59	0.13	0.48	8.73	1.7	0.37	0.16	18.02	11.08	13.2	0.46	17.36	0.0	20.01	1.91	3.8	1.5	22.91	0.04	17.35	17.46	7.47	0.02	137.07	128.38	137.14
Arhgap4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.4	0.0	0.0	0.0	0.0	0.0	3.23	3.34	3.76
Arnt	0.0	0.65	4.82	0.0	0.0	15.24	1.09	0.0	0.02	3.45	0.13	0.7	0.0	5.11	9.78	16.28	4.76	0.0	0.09	1.95	4.47	0.0	4.41	1.62	0.0	0.37	1.73	25.58	0.05	4.8	3.09	20.36	0.08	0.26	6.0	3.53	4.94	28.76	26.12	28.4
Arx	0.0	0.23	0.0	0.0	0.0	3.9	48.3	0.0	13.39	9.45	0.9	1.63	10.77	5.74	0.0	31.29	14.37	0.0	16.77	7.19	7.29	2.35	24.83	36.78	37.91	16.61	0.0	0.09	21.32	0.7	22.36	48.04	4.7	0.41	10.76	0.13	0.43	14.53	16.62	16.57
Atp6v1c2	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	1.81	2.88	1.64
Atp8b3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Avpr2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.47	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.06
B4galt4	0.0	0.0	0.0	0.0	0.0	0.0	19.84	57.06	3.42	0.0	11.24	0.0	0.18	0.0	0.0	7.1	57.09	0.0	0.0	0.0	29.39	0.0	0.0	0.0	0.0	12.77	14.39	2.95	0.0	0.0	0.0	69.11	0.0	2.14	0.0	0.0	0.0	19.14	20.53	17.89
Bean1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.47	0.0	0.0	0.0	0.0	0.0	10.89	11.52	10.31
