	Calb2_tdTpositive_cell_9	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_74	Cux2_tdTpositive_cell_91	Cux2_tdTpositive_cell_96	Cux2_tdTnegative_cell_14	Gad2_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_10	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_24	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_52	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_183	Slc17a6_tdTpositive_cell_19	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_37	Slc17a6_tdTpositive_cell_38	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31
4833439L19Rik	184.47	94.48	0.35	0.0	102.55	74.66	59.48	139.55	18.08	100.48	314.26	198.07	131.67	158.07	128.05	0.11	282.59	275.55	656.83	85.0	173.28	138.86	225.91	184.35	207.8	238.79	145.03	105.09	211.83	257.72	225.8	112.74	282.99	209.75	272.65	14.37	128.43	7.43	0.28	244.88
4931440F15Rik	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	72.22	0.0	60.37	0.0	80.21	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	7.98	0.44	1.31	3.52	0.5	3.95	6.34	1.49	5.21	3.97	0.0	0.0	0.0	6.31	0.0
4933412E12Rik	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	131.41	0.0	0.0	0.0	0.0	0.0	91.29	203.45	4.01	2.52	0.0	0.0	0.0	0.0	10.53	33.67	15.31	17.53	25.74	7.15	16.91	17.09	15.76	23.89	0.0	0.0	0.0	0.0	0.0
6430527G18Rik	18.51	3.14	42.79	0.0	0.0	1.09	20.15	23.36	0.09	1.48	7.98	23.82	0.0	2.47	4.79	0.0	0.0	28.86	0.0	14.51	1.82	0.0	5.58	2.71	10.17	6.08	3.63	6.04	5.55	8.4	3.95	9.02	5.9	3.32	5.62	0.14	0.14	0.0	0.0	4.0
A230056J06Rik	0.0	0.0	0.0	0.0	0.16	0.23	0.0	0.0	0.27	0.06	0.0	89.75	0.0	75.31	0.0	0.0	0.0	0.0	0.0	2.43	0.1	0.0	1.18	0.3	0.6	0.0	0.11	0.09	10.68	3.89	17.15	5.99	2.08	0.44	0.88	0.0	0.0	0.0	0.0	0.0
AW555464	15.42	0.07	34.17	0.12	0.08	2.25	0.02	3.92	2.77	0.15	2.43	29.97	0.05	1.43	2.33	0.0	2.15	53.47	0.55	7.6	9.74	11.7	0.47	0.35	3.21	10.2	8.7	9.1	7.38	5.34	12.54	13.52	7.54	8.63	8.41	3.17	11.07	21.59	0.0	7.08
Abcf2	53.77	92.6	0.17	0.0	159.62	443.33	2.73	501.28	187.97	191.11	108.6	102.77	149.95	439.49	0.0	133.59	308.75	430.05	124.86	70.95	105.6	87.54	341.61	45.26	0.46	109.0	201.76	131.94	184.98	201.86	234.13	198.3	242.85	284.09	257.44	197.85	7.49	167.21	93.54	128.09
Accn2	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	4.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.71	0.0	1.09	0.04	0.0	0.0	0.0	0.16	0.0	1.13	0.0	4.01	0.63	0.38	3.03	0.71	2.55	1.01	0.0	0.0	0.0	0.0	0.0
Agbl5	0.0	0.0	0.08	0.0	0.0	0.47	0.0	0.28	0.0	0.0	0.0	15.71	0.0	17.13	0.0	1.49	0.0	0.0	0.0	2.87	0.0	0.0	0.0	0.0	0.0	4.07	0.0	0.0	1.05	0.0	0.49	0.0	0.18	0.54	0.54	0.0	0.18	0.0	0.07	0.0
Ahi1	83.58	15.8	24.45	0.0	55.8	84.22	111.24	133.44	0.0	79.97	65.53	316.95	49.01	102.82	15.4	10.47	76.37	159.37	0.0	126.06	110.09	142.0	51.98	250.35	2.31	102.69	77.76	99.0	88.19	125.63	62.59	136.58	89.5	90.99	83.28	1.92	37.32	655.58	73.67	5.19
