	Ctgf_tdTpositive_cell_3	Cux2_tdTpositive_cell_87	Gad2_tdTpositive_cell_13	Gad2_tdTpositive_cell_62	Htr3a_tdTpositive_cell_29	Htr3a_tdTpositive_cell_33	Htr3a_tdTpositive_cell_35	Htr3a_tdTpositive_cell_43	Htr3a_tdTpositive_cell_64	Ndnf_tdTpositive_cell_7	Nkx2.1_tdTpositive_cell_21	Nos1_tdTpositive_cell_5	Pvalb_tdTpositive_cell_50	Sst_tdTpositive_cell_2	Sst_tdTpositive_cell_5	Sst_tdTpositive_cell_9	Sst_tdTpositive_cell_12	Sst_tdTpositive_cell_81	Vip_tdTpositive_cell_53	Vip_tdTpositive_cell_68	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1600015I10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
1700003L19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.14
1700024P03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.21
1700061J05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.11
2200002K05Rik	0.0	0.0	0.0	0.0	0.0	0.0	13.63	0.0	0.21	0.0	136.93	0.21	196.83	4.09	83.4	147.51	110.25	1.81	0.08	0.0	13.07	14.47	13.7
4632415L05Rik	0.68	12.64	1.19	0.75	11.89	0.33	9.18	1.58	8.14	0.09	0.48	12.94	46.23	2.78	0.13	6.44	3.18	2.59	0.57	13.36	18.82	18.88	18.43
4930528F23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
4930544D05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.16
4930555B11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07
9230104L09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.16
