	Calb2_tdTpositive_cell_53	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_12	Htr3a_tdTpositive_cell_27	Ndnf_tdTpositive_cell_7	Ndnf_tdTnegative_cell_4	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_7	Nr5a1_tdTpositive_cell_29	Ntsr1_tdTnegative_cell_11	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_25	Ntsr1_tdTnegative_cell_33	Scnn1a.Tg2_tdTnegative_cell_3	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_8	Sst_tdTpositive_cell_65	Vip_tdTpositive_cell_5
Aqp4	809.16	471.7	257.38	669.97	129.17	0.0	101.34	0.0	563.06	1151.24	997.11	1.21	470.98	693.35	301.86	1143.92	163.4	710.66	1226.19	0.0	0.0	0.1
Atp1a2	1151.05	1207.61	764.34	901.75	1157.23	0.75	47.9	1.04	859.31	345.91	623.61	6.64	291.16	934.94	507.42	1470.63	785.3	1283.38	1246.94	0.81	2.01	2.47
Cadm1	147.07	159.59	23.71	300.63	115.19	0.11	15.24	0.0	357.1	76.04	287.02	30.73	70.72	278.45	236.49	228.74	49.36	179.89	226.1	67.77	14.42	5.84
Cldn10	1855.26	4764.62	2585.15	6277.29	3755.53	0.0	408.26	0.0	1305.06	3751.75	2910.57	0.98	1823.11	4676.88	3135.37	1052.0	2190.31	539.32	3039.7	0.0	0.0	0.0
Clu	26766.18	43205.41	24449.86	23267.38	23836.7	4440.0	3449.02	0.0	24519.01	28167.35	32772.96	405.52	21994.48	26961.32	28438.97	32708.09	20559.94	28173.78	32237.45	0.0	2193.29	879.81
Cspg5	36.33	99.1	40.23	390.59	81.2	0.0	12.07	0.0	55.14	39.12	125.58	30.65	54.02	297.36	103.51	232.27	17.85	354.54	182.54	0.0	11.38	10.98
Ednrb	0.0	349.35	322.94	509.19	563.66	0.0	0.0	0.0	13.17	217.08	948.83	0.23	399.31	878.66	286.43	335.13	285.2	916.93	429.25	0.0	0.0	0.18
Fgfr3	0.59	537.92	375.6	293.75	481.5	0.0	3.75	0.0	398.84	427.81	57.5	9.05	165.6	647.45	20.61	397.77	142.29	510.78	476.72	0.0	0.47	0.13
Gpr37l1	905.3	468.9	867.05	2750.31	786.75	0.0	0.0	0.0	1222.4	1625.91	970.7	0.59	535.5	1691.25	1011.11	621.55	199.94	544.66	1639.44	0.46	0.0	0.0
Grm3	229.55	1180.94	1080.88	1440.51	774.65	0.0	0.0	0.0	1224.3	1342.38	1177.55	21.1	720.39	1405.49	848.78	1086.61	535.9	334.01	666.03	0.0	0.0	0.0
Hepacam	13.14	8.21	97.8	156.2	26.25	0.0	4.58	0.0	61.29	74.24	25.3	0.43	113.94	263.52	26.91	103.26	13.88	28.76	113.45	0.0	0.0	0.0
Igsf11	15.23	90.26	75.0	123.81	84.47	0.28	0.6	0.22	99.58	98.06	223.11	8.38	82.34	104.32	90.74	64.99	32.44	21.14	228.37	0.0	0.0	6.5
Lgr4	370.26	180.43	43.76	738.36	527.73	0.18	32.2	0.0	356.39	444.41	767.69	0.87	393.33	444.45	555.71	441.27	143.8	244.65	575.29	0.0	41.92	0.0
Luzp2	0.07	600.42	322.86	870.66	521.31	0.0	0.14	0.0	307.69	788.16	172.6	0.42	506.07	1041.8	671.86	542.36	643.57	77.42	828.06	0.0	0.0	0.0
Myo10	35.62	134.97	72.58	270.18	76.86	0.0	32.42	0.0	112.86	96.89	94.54	0.05	57.27	236.05	65.45	0.29	47.92	3.4	121.18	0.0	0.0	0.0
Omg	429.12	1393.66	161.5	1597.55	2513.58	0.21	205.21	0.0	1314.09	675.14	2369.23	192.26	1303.21	2326.13	198.24	1247.09	789.84	932.72	903.73	0.0	14.11	149.5
Pdia4	188.79	505.58	0.0	1246.64	6.49	3.4	1.55	0.0	4.94	4.64	9.54	0.72	0.0	1156.74	291.89	503.74	35.67	577.65	550.11	0.0	0.38	0.0
S1pr1	332.77	871.76	634.31	2904.06	2813.74	0.31	2.14	8.46	766.05	522.0	1169.16	0.44	31.48	1762.51	1153.06	479.6	734.71	1282.39	1794.99	0.0	0.0	0.0
Scg3	1224.55	1538.59	1308.69	2673.19	1486.05	0.0	191.94	0.0	393.58	2055.06	2389.68	139.14	259.24	2090.68	1130.38	1229.91	209.51	709.93	1738.36	0.0	169.5	160.27
Sfxn5	290.7	228.16	338.9	340.72	696.25	0.0	163.62	0.0	851.96	235.63	640.41	48.77	257.18	1146.47	516.28	1032.08	282.99	432.09	574.47	0.0	79.38	0.14
Soat1	546.07	236.83	90.39	61.37	22.81	0.26	17.74	1.21	189.75	83.61	131.47	1.3	4.64	379.25	350.34	18.67	38.06	221.55	164.82	15.29	1.2	16.7
Sox9	454.02	630.47	150.62	885.09	1070.53	0.22	13.87	0.08	766.71	278.46	451.13	12.74	417.55	179.66	169.81	797.91	180.05	376.15	469.63	0.0	0.0	0.66
Trps1	96.29	0.06	15.13	99.75	53.62	0.0	0.0	0.0	22.31	50.38	50.58	0.13	24.39	158.92	50.59	0.53	3.91	69.02	39.45	0.0	0.0	0.0
Tspan31	12.83	317.07	0.62	657.69	1025.61	2.35	1.22	0.0	735.86	1.56	1096.33	172.58	1301.05	1499.32	1123.26	784.69	786.33	891.47	1036.94	0.0	49.85	1.47
