	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_7	Cux2_tdTnegative_cell_6	Gad2_tdTpositive_cell_57	Ndnf_tdTpositive_cell_20	Nkx2.1_tdTpositive_cell_21	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_29	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_51	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_41	PvalbF.Gad2_tdTpositive_cell_3	PvalbF.Gad2_tdTpositive_cell_4	PvalbF.Gad2_tdTpositive_cell_25	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_32	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_44	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_89	PvalbF.Gad2_tdTpositive_cell_90	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTnegative_cell_22	Rbp4_CTX_10pg_1	Rbp4_CTX_10pg_5	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2010300C02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.42	0.0	0.0	0.0	13.63	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.32	0.0	0.0	3.36	0.0	0.0	0.52	0.26	1.33	42.4	0.0	35.51	7.2	161.02	175.9	165.27
2210016L21Rik	0.0	0.0	0.0	0.0	122.11	0.0	39.01	0.0	6.13	3.49	1.18	2.29	0.52	246.3	120.69	76.76	9.83	94.05	296.29	0.7	38.47	104.93	64.64	152.89	66.73	245.31	1.69	88.76	51.0	38.81	22.71	7.12	0.0	219.82	145.17	153.85	167.82	159.92
2210404O07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	1.81	2.39	1.49
2310047B19Rik	0.0	0.13	0.0	0.0	0.0	0.0	0.0	81.65	0.0	0.0	0.0	0.0	0.0	46.82	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.0	0.0	0.0	0.0	0.0	10.02	0.0	0.0	0.0	13.88	16.07	14.83
2610204G22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.08	1.47	1.56
2810404M03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.14	0.0	0.0	0.0	0.0	20.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.17
4832428D23Rik	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.74	0.08	0.0	0.0	0.0	0.68	0.0	0.0	0.2	0.0	1.02	0.0	0.18	0.35	0.0	0.3	0.2	0.14	0.0	0.18	0.11	0.0	0.11	0.97	0.0	0.2	0.05	0.25	0.28	0.3
4921507L20Rik	0.0	0.0	9.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.08	0.51	0.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	1.29	0.68	1.79
4930507D05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.79	0.0	0.0	0.0	3.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.04	0.0	1.34	1.03	1.28
4930513N10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.14	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.0	0.0	0.0	1.04	0.94	0.92
