	Calb2_tdTpositive_cell_53	Gad2_tdTpositive_cell_65	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_87	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
4930403N07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Abr	0.0	115.26	15.85	67.65	69.67	36.46	51.48	40.9	89.76	17.28	3.6	42.4	24.3	28.85	42.33	61.3	80.37	49.73	51.59	44.64	61.53	41.38	35.86	19.62	0.7	22.05	272.97	271.82	286.04
Adrb1	0.0	24.15	6.58	1.43	0.0	0.0	4.06	1.55	1.02	2.45	4.38	0.0	0.0	0.0	3.45	0.0	15.61	0.0	0.0	1.31	0.3	1.52	0.0	14.24	0.0	0.0	30.68	33.63	27.06
Amfr	1.15	77.15	40.16	33.66	10.04	1.35	30.96	20.83	42.79	13.02	23.03	37.35	67.42	1.25	37.9	45.47	129.81	32.48	13.82	43.96	59.95	22.46	33.15	6.21	16.37	5.31	115.45	125.98	115.58
Ankfy1	1.88	35.96	2.47	2.62	23.9	2.89	16.95	4.16	7.33	9.35	3.31	7.31	16.56	25.52	1.52	10.85	22.09	1.12	17.98	0.64	9.24	22.25	11.84	6.82	0.72	2.36	21.61	21.47	21.31
Arhgdia	0.0	154.68	50.2	41.44	30.53	71.99	22.39	75.0	96.55	55.84	34.22	40.05	17.35	61.84	0.0	24.56	90.64	31.67	1.93	51.29	76.36	32.18	45.4	40.24	41.84	47.06	192.31	211.34	203.62
Bcl11a	0.0	173.17	43.3	45.44	5.55	12.04	5.02	5.83	20.03	50.24	0.0	60.57	0.0	0.0	0.0	9.87	44.7	17.42	0.0	0.0	0.0	0.79	31.28	55.17	12.13	0.0	72.47	82.1	71.57
Blk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Caprin1	0.0	133.44	37.23	40.45	17.63	13.25	22.88	32.79	30.25	78.36	88.75	58.76	46.27	0.75	133.46	14.55	113.37	53.36	56.58	42.29	15.45	103.9	19.35	93.49	52.2	49.99	140.83	135.83	136.58
Ccl27b	0.0	7.56	1.67	0.0	0.92	0.0	6.15	8.29	0.0	0.0	0.0	1.16	0.0	0.0	3.31	0.76	1.43	0.0	0.0	2.62	1.92	8.14	1.21	1.75	0.0	9.34	30.63	28.29	22.96
Cd2bp2	0.0	110.17	0.0	1.44	0.41	12.31	10.15	34.36	0.96	0.0	8.74	22.3	0.0	8.66	0.0	0.0	0.58	24.51	37.85	0.0	0.57	0.0	0.0	0.0	0.0	0.0	54.5	58.92	55.95
Ces1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Chd1	0.0	26.75	11.28	2.51	7.86	0.12	2.14	4.41	1.35	0.63	3.35	13.03	2.67	0.96	0.28	0.8	1.94	1.07	0.97	2.85	1.65	1.75	1.56	2.71	12.21	0.0	9.42	9.07	9.54
Chrna5	0.0	1.36	0.15	0.0	0.59	0.09	0.38	0.28	0.0	0.0	0.0	0.0	0.39	0.0	0.28	0.59	0.56	0.0	0.0	0.35	0.2	0.22	0.35	1.01	0.0	0.0	3.0	2.42	2.85
Cobra1	0.0	164.85	0.16	7.2	0.0	0.0	46.71	0.0	40.77	0.0	7.08	2.31	0.0	10.25	0.14	5.47	5.93	15.47	29.42	2.64	5.97	0.41	67.33	0.0	4.8	13.29	42.75	45.03	42.81
Dcaf7	0.0	183.0	13.56	15.34	8.44	39.35	40.94	0.4	22.08	22.93	36.67	0.1	0.0	2.39	6.03	28.86	7.8	14.02	15.29	16.44	0.06	36.19	41.93	5.34	41.5	27.71	130.19	133.24	130.66
Ddn	0.63	31.16	5.46	14.02	14.53	0.0	0.0	19.46	0.0	3.77	0.0	0.0	0.0	4.52	3.96	0.16	7.9	0.38	0.0	8.47	2.09	0.43	0.0	2.31	0.0	0.0	810.02	858.91	858.46
Dgkq	0.0	54.44	0.0	0.27	0.42	0.0	15.52	7.0	6.9	0.91	0.0	0.42	1.45	0.0	0.92	0.0	0.09	0.0	1.09	1.44	1.16	0.0	0.0	0.0	0.0	51.38	25.39	25.0	26.91
Dmwd	0.75	60.21	0.67	14.37	33.71	0.0	33.82	3.37	10.79	30.83	28.51	33.83	0.0	0.31	0.0	0.0	0.0	0.28	0.11	0.0	0.0	1.72	0.0	0.0	4.49	3.32	100.0	111.98	108.17
Dock4	0.0	20.8	6.31	3.55	14.65	0.03	20.74	7.82	3.73	5.45	11.19	4.12	18.97	3.21	52.73	15.34	21.14	1.14	7.68	14.73	2.7	15.56	1.53	7.75	4.81	4.55	54.79	49.85	53.18
Dpy19l1	0.0	53.51	0.0	20.7	0.0	0.0	0.0	20.78	1.73	23.0	8.7	0.0	0.0	35.65	0.08	0.0	27.4	6.43	19.29	0.0	26.75	7.91	0.0	0.52	0.0	7.98	70.47	64.44	65.59
Drd1a	0.0	97.89	5.91	33.93	0.0	2.11	0.0	10.21	3.05	20.3	0.0	44.25	11.35	10.66	1.58	108.01	43.8	0.0	18.72	0.0	0.0	0.0	16.95	13.85	0.13	32.48	32.64	32.57	27.84
Ercc6	0.91	21.02	10.24	1.47	18.94	0.0	12.49	11.49	0.39	0.68	0.78	8.57	0.79	0.09	18.34	0.38	1.45	0.53	2.6	0.56	0.1	0.35	0.24	7.52	0.13	17.19	13.65	12.36	12.6
Gak	0.0	135.61	15.97	4.22	3.9	1.0	10.75	0.51	39.06	4.4	29.95	25.35	0.14	3.61	2.32	3.21	0.17	7.01	8.41	3.54	16.6	0.73	35.23	2.35	7.55	9.92	65.57	67.73	67.97
Gm13306	0.0	7.56	1.67	0.0	0.92	0.0	6.15	8.29	0.0	0.0	0.0	1.16	0.0	0.0	3.31	0.76	1.43	0.0	0.0	2.62	1.92	8.14	1.21	1.75	0.0	9.34	30.63	28.29	22.96
Gm14431	0.26	9.17	0.76	1.71	0.62	0.74	0.0	6.64	3.35	5.03	3.25	0.0	5.1	0.3	1.79	1.31	9.42	1.04	2.52	4.65	0.0	1.58	0.43	1.46	0.36	1.92	8.87	7.17	8.34
Gm2002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	1.73	1.86	1.4
Gm2506	0.0	7.56	1.67	0.0	0.92	0.0	6.15	8.29	0.0	0.0	0.0	1.16	0.0	0.0	3.31	0.76	1.43	0.0	0.0	2.62	1.92	8.14	1.21	1.75	0.0	9.34	30.63	28.29	22.96
Gm8898	0.26	9.17	0.76	1.71	0.62	0.74	0.0	6.64	3.35	5.03	3.25	0.0	5.1	0.3	1.79	1.31	9.42	1.04	2.52	4.65	0.0	1.58	0.43	1.46	0.36	1.92	8.87	7.17	8.34
