	Ctgf_tdTpositive_cell_3	Htr3a_tdTpositive_cell_121	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_24	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_1	Rbp4_tdTnegative_cell_7	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_18	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1500012F01Rik	0.0	47.36	0.0	0.0	63.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.62	43.71	39.58
1520402A15Rik	0.0	145.14	0.0	0.0	10.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.66	20.51	19.73
1600020E01Rik	0.0	0.52	0.0	0.0	39.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.68	12.08	10.69
2610305D13Rik	0.0	114.63	0.0	0.0	0.26	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.69	0.55	0.78
2610507I01Rik	15.98	21.98	2.83	13.34	21.42	16.55	19.46	7.33	2.08	13.44	3.6	6.04	1.23	25.11	23.48	24.66
4930403N07Rik	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
4933407C03Rik	0.0	161.88	0.22	0.14	36.26	19.42	0.11	0.0	0.0	0.0	0.0	0.41	0.0	170.94	165.8	181.82
AB124611	0.0	36.74	0.0	0.0	0.0	0.35	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.69	0.47	0.71
Abca1	0.0	18.22	0.0	0.0	0.82	2.09	0.0	0.0	0.0	0.0	0.05	0.06	0.0	12.37	10.64	12.28
Abca13	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.02	0.03
Acta2	0.23	3.81	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.0	9.56	12.04	11.19
Alox5ap	0.0	127.88	0.0	0.0	6.36	0.0	0.0	0.0	0.0	0.64	0.0	0.0	0.0	6.43	5.05	6.03
Ankrd13c	0.0	32.07	16.36	15.22	35.44	0.0	0.09	0.0	0.0	0.0	24.87	0.0	0.0	49.71	50.02	47.1
Arhgap28	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.28	0.36
Atcay	0.0	3.83	0.0	0.0	36.0	0.0	0.21	0.07	0.0	0.0	0.0	0.0	0.0	152.84	156.79	151.1
Atp2b3	0.0	19.68	0.0	0.0	2.7	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	71.78	71.4	77.52
Atp8b3	0.0	0.0	0.0	0.0	2.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Axl	0.0	33.57	0.0	0.0	0.05	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.04	22.35	23.67
Blk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
