	Calb2_tdTpositive_cell_46	Calb2_tdTpositive_cell_50	Ctgf_tdTpositive_cell_4	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_6	Cux2_tdTnegative_cell_12	Cux2_tdTnegative_cell_13	Cux2_tdTnegative_cell_15	Gad2_tdTpositive_cell_16	Gad2_tdTpositive_cell_41	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Ndnf_tdTnegative_cell_4	Ndnf_tdTnegative_cell_5	Ndnf_tdTnegative_cell_7	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_17	Ntsr1_tdTnegative_cell_18	Ntsr1_tdTnegative_cell_20	Ntsr1_tdTnegative_cell_26	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_28	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_33	Ntsr1_tdTnegative_cell_45	Ntsr1_tdTnegative_cell_56	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_39	Rorb_tdTpositive_cell_47	Rorb_tdTpositive_cell_54	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_24
4921515E04Rik	62.48	48.95	0.44	22.58	22.06	12.91	110.6	43.63	83.14	60.58	11.83	1.47	3.22	61.04	20.08	109.36	42.34	57.92	18.91	107.28	19.08	30.45	37.97	21.04	38.81	108.74	24.01	61.18	20.12	30.93	32.24	21.34	35.88	17.15	21.74	19.87	32.6	94.49	71.41	26.41	27.4	54.65	8.59	42.0	4.76	1.97	16.48	5.42	47.23
4933413L06Rik	3.3	12.64	0.0	2.09	0.0	0.2	26.39	2.04	21.94	15.78	7.67	0.0	0.0	25.06	1.89	16.25	8.81	3.38	0.0	11.4	17.12	13.05	0.75	2.48	2.03	21.51	9.08	5.75	5.59	1.3	8.28	0.0	7.46	0.0	0.0	1.35	9.03	24.08	13.0	7.17	6.7	6.72	5.29	4.14	0.0	0.77	8.22	0.0	1.35
Ahcyl1	151.54	67.4	0.0	0.0	0.0	0.0	2.1	122.71	1690.53	0.54	0.0	0.1	0.0	435.88	311.96	241.1	4.0	852.37	0.16	321.64	418.21	0.0	0.18	464.01	667.51	1900.07	10.58	0.35	0.17	0.0	0.0	0.17	0.18	0.0	0.0	0.0	0.0	1090.61	7.51	234.48	0.57	333.01	184.24	54.64	0.0	0.0	0.0	0.0	270.32
Ank2	140.23	30.45	0.06	0.0	2.25	0.0	185.63	0.0	118.98	14.54	0.0	0.0	0.0	290.1	459.87	75.39	450.67	38.21	0.11	65.01	65.64	71.79	0.25	366.3	169.48	640.08	291.9	0.12	126.71	0.0	0.22	0.23	71.24	25.62	0.09	0.0	0.17	503.48	491.82	23.25	18.22	249.63	0.09	0.13	0.0	1.11	0.11	0.0	0.23
Appl2	2.96	34.49	0.0	0.0	0.0	0.16	653.1	0.0	679.88	0.0	0.0	0.0	0.0	1107.11	218.8	763.51	273.61	5.06	0.0	30.09	457.22	364.18	0.23	19.5	16.62	1015.52	2.49	0.0	3.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	956.85	188.62	995.74	18.52	1118.55	0.0	0.0	0.0	0.0	0.0	0.0	309.95
Arfgap2	0.0	0.0	0.0	0.0	0.0	0.0	0.2	305.22	504.76	0.0	0.0	0.11	0.0	0.0	47.86	364.96	125.34	394.27	0.36	2.24	0.0	0.0	0.0	0.0	264.96	878.54	1.55	4.02	0.29	0.0	0.0	0.19	0.42	0.0	0.0	0.0	0.14	47.45	4.18	309.78	0.55	77.37	0.0	127.94	0.3	0.0	0.0	0.0	0.0
Atp1a2	1492.64	1889.37	126.62	0.15	1.69	0.75	752.85	1.71	2353.82	964.66	0.12	0.6	0.0	859.31	1055.27	623.61	934.94	2071.15	0.66	2548.11	1849.45	551.66	5.97	1902.44	1470.63	1114.15	2320.22	0.91	3.41	4.95	0.6	1.56	0.66	1.58	0.69	10.07	1.3	1379.14	1524.7	1458.12	1283.38	877.2	2.16	1.04	0.81	3.13	0.7	3.81	0.42
Cdh10	0.0	62.63	0.0	0.0	0.0	0.0	0.0	0.0	826.76	0.0	0.0	0.0	0.0	443.38	0.0	0.0	0.0	0.0	0.0	335.58	293.58	1.26	0.2	334.11	313.36	609.04	0.92	0.0	0.09	0.0	0.0	0.38	0.1	0.0	0.0	0.0	0.0	452.6	0.12	0.1	0.54	268.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clmn	116.76	56.98	0.28	0.44	0.23	0.24	130.39	0.0	174.1	4.71	0.14	0.07	0.0	0.71	1.07	135.45	134.34	106.17	0.46	183.73	30.54	4.86	0.34	142.83	37.52	6.28	113.5	0.5	0.9	0.29	0.23	0.37	0.38	1.14	0.3	0.79	0.36	2.63	113.89	76.44	1.0	0.92	0.11	0.82	0.3	0.6	0.69	0.44	0.92
Cnr2	14.92	12.25	4.73	4.13	9.9	16.2	22.97	10.8	33.14	9.79	0.9	1.05	4.86	28.17	32.13	12.36	9.27	14.64	3.99	13.18	16.74	8.69	11.66	6.86	8.89	35.42	48.81	8.55	8.2	4.29	25.36	18.46	6.06	6.83	10.5	7.1	11.92	13.82	19.14	9.35	27.98	20.86	5.41	4.04	2.84	7.15	8.8	6.82	5.35
Cst3	8973.79	12234.92	1648.07	66199.78	54799.87	54350.96	6434.77	61505.62	11352.91	13132.13	3808.5	4669.44	7444.93	28585.73	25453.49	18275.3	22838.83	22142.28	32676.97	3717.54	21065.23	26357.07	64380.72	32254.6	17344.32	22149.39	7635.39	59768.12	79037.77	54056.74	72522.19	67515.86	70378.51	61656.06	72390.07	30854.58	61052.51	33256.36	8480.73	35150.87	28488.27	33151.51	80478.24	68326.69	95318.24	42183.43	75159.39	84616.84	72517.08
