	Calb2_tdTpositive_cell_23	Calb2_tdTpositive_cell_27	Calb2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_22	Chrna2_tdTpositive_cell_24	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_72	Cux2_tdTnegative_cell_16	Htr3a_tdTpositive_cell_95	Ndnf_tdTpositive_cell_2	Nos1_tdTpositive_cell_34	Nos1_tdTpositive_cell_38	Nos1_tdTpositive_cell_42	Nos1_tdTpositive_cell_46	Nos1_tdTpositive_cell_49	Nos1_tdTpositive_cell_59	Nr5a1_tdTpositive_cell_31	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTpositive_cell_71	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_37	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_47	Rbp4_tdTpositive_cell_56	Rbp4_tdTpositive_cell_62	Rbp4_tdTpositive_cell_65	Rbp4_tdTpositive_cell_71	Rbp4_tdTpositive_cell_98	Rbp4_tdTpositive_cell_99	Rbp4_tdTpositive_cell_105	Rbp4_tdTpositive_cell_108	Rbp4_tdTpositive_cell_123	Rbp4_tdTpositive_cell_132	Rbp4_tdTpositive_cell_142	Rbp4_tdTpositive_cell_153	Rbp4_tdTpositive_cell_155	Rbp4_tdTpositive_cell_161	Rbp4_tdTpositive_cell_162	Rbp4_tdTpositive_cell_171	Rbp4_tdTpositive_cell_172	Rbp4_tdTnegative_cell_1	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_15	Rbp4_tdTnegative_cell_18	Rorb_tdTpositive_cell_20	Rorb_tdTpositive_cell_30	Rorb_tdTpositive_cell_31	Rorb_tdTpositive_cell_40	Scnn1a.Tg3_tdTpositive_cell_15	Scnn1a.Tg3_tdTpositive_cell_94	Scnn1a.Tg3_tdTpositive_cell_103	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_23	Slc17a6_tdTpositive_cell_23	Sst_tdTpositive_cell_83	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_27
Amy2a2	0.29	0.0	0.0	0.03	0.1	0.09	0.15	0.19	0.4	0.41	0.17	0.42	0.72	0.24	0.3	0.7	0.09	0.07	0.28	0.36	0.11	0.0	0.72	0.31	0.2	0.31	0.25	0.18	0.33	0.34	0.21	0.27	0.03	0.15	0.33	0.54	0.18	0.76	0.66	0.09	0.13	0.18	0.51	0.09	0.27	0.1	0.08	0.0	0.35	0.71	0.32	1.13	1.22	0.46	1.27	0.0	0.04	0.04	0.05	1.35	0.13	0.03	0.05	0.28	0.1
Amy2a3	0.29	0.0	0.0	0.03	0.1	0.09	0.15	0.19	0.4	0.41	0.17	0.42	0.72	0.24	0.3	0.7	0.09	0.07	0.28	0.36	0.11	0.0	0.72	0.31	0.2	0.31	0.25	0.18	0.33	0.34	0.21	0.27	0.03	0.15	0.33	0.54	0.18	0.76	0.66	0.09	0.13	0.18	0.51	0.09	0.27	0.1	0.08	0.0	0.35	0.71	0.32	1.13	1.22	0.46	1.27	0.0	0.04	0.04	0.05	1.35	0.13	0.03	0.05	0.28	0.1
Amy2a4	0.29	0.0	0.0	0.03	0.1	0.09	0.15	0.19	0.4	0.41	0.17	0.42	0.72	0.24	0.3	0.7	0.09	0.07	0.28	0.36	0.11	0.0	0.72	0.31	0.2	0.31	0.25	0.18	0.33	0.34	0.21	0.27	0.03	0.15	0.33	0.54	0.18	0.76	0.66	0.09	0.13	0.18	0.51	0.09	0.27	0.1	0.08	0.0	0.35	0.71	0.32	1.13	1.22	0.46	1.27	0.0	0.04	0.04	0.05	1.35	0.13	0.03	0.05	0.28	0.1
Anxa7	0.0	0.0	1.21	1.28	127.93	97.7	23.74	47.42	5.4	0.0	0.5	30.67	59.74	139.16	166.63	118.7	20.8	149.01	149.34	41.01	0.0	0.0	36.26	0.0	150.28	0.24	13.77	0.12	121.11	50.93	118.64	12.55	2.31	111.24	54.48	6.31	2.18	41.21	71.94	39.06	317.35	66.2	70.13	0.0	0.0	0.0	0.15	0.0	1.94	14.51	0.0	112.37	0.31	141.53	8.13	0.0	0.0	0.0	0.0	0.79	75.04	180.98	0.08	105.6	0.0
Arhgap32	14.54	0.0	52.55	0.0	37.44	31.0	24.33	9.52	34.03	4.98	1.4	63.55	32.38	41.32	22.53	21.11	13.61	37.15	8.2	14.91	0.0	0.05	32.75	0.04	20.49	1.23	0.7	22.37	25.65	44.98	118.45	47.85	14.21	63.06	17.43	0.11	27.2	11.83	50.06	20.17	5.66	41.12	15.9	5.23	0.0	0.0	0.04	0.0	53.56	65.99	47.19	42.2	65.93	14.62	1.2	0.0	0.0	0.0	0.0	9.57	0.0	5.39	15.64	12.77	23.0
Atxn1	66.0	0.0	48.89	0.0	29.79	2.23	22.51	31.63	0.63	5.93	25.65	81.41	24.28	71.76	30.69	28.27	33.57	90.13	22.84	38.99	0.0	0.05	43.87	0.0	50.17	27.16	9.54	35.43	16.9	65.16	26.36	9.38	44.64	124.43	38.27	50.25	37.3	41.59	32.69	36.41	13.29	56.8	20.71	1.75	0.03	0.05	0.16	0.0	53.15	18.56	69.26	22.17	25.8	61.57	19.09	0.0	0.0	0.0	0.0	26.95	2.3	38.42	2.33	30.7	32.96
Btbd10	133.2	500.66	0.0	24.55	287.33	17.49	163.91	164.6	0.0	0.0	154.81	12.79	2.1	281.28	2.43	236.6	233.21	406.46	314.06	86.38	0.0	0.0	265.26	0.0	196.3	3.52	14.61	67.65	0.49	227.07	164.54	147.68	111.66	0.14	118.28	275.82	153.75	298.41	0.26	97.11	51.44	280.76	168.36	113.05	0.0	0.0	0.0	0.0	26.96	125.91	484.05	1.52	0.0	298.87	0.39	0.0	0.0	0.0	0.0	362.97	0.25	338.88	67.76	188.99	84.11
Camk2b	51.48	12.58	11.42	0.64	261.02	202.35	161.7	83.14	152.97	6.32	59.12	64.07	107.37	75.71	174.36	66.9	60.55	158.51	61.71	112.69	0.0	0.61	254.35	0.1	186.54	8.16	95.19	31.36	42.53	82.52	42.35	12.95	5.36	39.82	112.06	58.15	48.21	89.54	29.82	38.7	153.07	52.57	115.53	113.45	3.76	0.0	0.0	0.0	83.89	317.37	194.66	105.36	130.18	206.72	240.46	0.0	0.0	0.0	0.0	63.4	46.36	87.25	0.42	31.11	4.98
Camk4	40.18	2.11	48.32	0.37	19.46	28.04	6.46	34.89	3.46	2.72	34.51	32.45	103.36	53.58	25.44	31.41	1.23	53.51	1.72	57.65	0.62	1.12	47.69	2.33	17.32	35.55	87.43	22.12	114.33	47.97	69.7	80.94	29.31	57.04	76.23	11.66	157.02	45.99	121.45	19.48	14.28	36.44	38.01	12.91	1.47	0.48	0.67	1.43	138.68	194.28	149.65	34.18	53.77	100.95	75.74	0.94	0.72	0.45	1.59	2.07	0.74	79.62	24.92	30.44	23.72
Caprin1	5.15	169.31	1.04	0.11	24.55	5.3	23.66	76.51	0.33	0.72	17.22	147.42	51.4	41.12	2.66	52.54	1.0	128.05	95.84	1.34	3.8	2.08	67.18	0.0	3.53	109.87	39.05	0.36	33.45	4.96	35.07	0.65	20.44	50.34	61.23	5.66	54.84	4.16	7.5	74.18	4.38	114.39	62.9	46.81	0.22	0.08	0.14	0.0	36.64	0.14	186.7	16.41	0.13	12.19	0.29	0.68	0.0	0.0	0.0	57.81	22.74	0.24	0.07	0.0	44.18
