	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_9	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_15	Gad2_tdTpositive_cell_41	Ndnf_tdTpositive_cell_9	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_46	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_17	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80
6330578E17Rik	2.94	46.09	0.66	0.0	0.35	0.0	0.0	0.0	41.05	24.27	73.11	6.56	69.85	49.61	18.49	13.09	0.08	43.54	0.7	0.21	0.16	79.33	51.9	0.0	12.01	34.36	45.23	0.0	48.87	58.15	67.36	55.58	0.0	0.31	0.21	1.08	2.49	0.96	0.0	1.78	0.0	0.22	0.0	0.0	0.0	74.59	2.91	0.65	5.12	0.17	45.26
9330179D12Rik	0.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.27	0.07	0.22	0.0	0.0	0.2	79.1	0.0	0.0	88.54	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.23	0.0	0.87	0.0	0.0	0.0	0.0	4.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.59	0.0	0.0	0.0
AW555464	13.26	2.77	0.0	0.0	0.0	0.08	0.0	0.0	0.91	0.82	13.05	9.24	2.49	3.29	10.87	32.26	2.38	6.5	27.21	11.15	1.12	25.94	6.53	28.94	15.78	25.82	1.85	0.85	8.18	7.47	8.54	5.29	4.66	22.26	8.01	2.61	0.0	0.0	0.0	0.1	0.0	0.0	0.21	0.0	0.0	9.67	27.34	29.63	18.94	12.87	9.99
Agtpbp1	41.16	41.15	0.0	0.0	0.0	0.0	0.0	0.0	68.1	70.36	50.91	27.76	56.7	1.3	32.43	60.69	32.01	23.73	68.03	13.63	50.87	82.86	6.29	0.51	11.45	35.26	10.35	21.32	3.08	6.97	63.45	67.29	32.37	56.73	8.67	91.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.29	4.59	39.71	19.69	23.15	45.19	60.54
Baz1b	0.84	6.53	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.05	0.14	0.0	0.0	9.51	0.0	12.62	0.23	12.51	0.0	2.83	9.88	0.0	10.12	36.6	0.0	0.6	0.0	0.0	0.23	0.03	2.56	1.03	16.76	7.61	15.19	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	13.11	14.12	28.2	0.0	8.01	9.98
Ccl27b	0.0	8.68	0.0	0.0	0.0	0.0	0.0	0.0	1.46	0.3	0.03	0.0	1.74	0.0	0.0	7.16	0.58	0.0	0.0	5.37	0.27	1.98	0.0	0.0	2.47	0.77	0.0	0.0	0.29	0.0	2.79	1.65	1.9	0.13	2.24	4.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.89	46.94	1.61	0.0	7.83
Ephb6	19.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.02	0.0	0.0	0.0	0.0	33.32	0.0	0.0	11.7	2.57	0.08	0.0	0.07	19.73	0.0	0.0	23.73	0.68	0.0	0.0	34.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.77	16.95	23.85	0.0	0.0
Fgf12	259.35	127.9	0.0	0.0	0.0	0.0	0.0	0.0	250.84	279.76	301.85	68.55	146.65	135.48	373.54	139.29	346.91	218.66	73.8	202.83	103.79	33.78	62.17	115.63	184.35	139.02	68.98	185.53	130.95	33.44	210.5	187.16	233.65	241.24	116.35	95.68	15.05	0.0	0.23	0.0	0.0	0.0	0.0	0.0	85.92	184.82	46.21	244.99	120.4	224.73	172.39
Gad2	411.41	371.93	1.13	3.08	0.06	0.27	1.01	0.34	245.09	196.34	314.59	34.12	318.35	162.81	429.15	333.44	378.8	396.67	294.55	483.26	360.75	204.55	301.16	198.65	283.25	218.1	261.36	348.54	132.94	99.8	305.57	250.6	418.12	372.29	475.46	300.55	3.61	0.46	0.62	0.36	0.48	0.0	0.0	0.0	4.91	388.23	245.39	533.08	315.14	194.46	290.56
Gm13306	0.0	8.68	0.0	0.0	0.0	0.0	0.0	0.0	1.46	0.3	0.03	0.0	1.74	0.0	0.0	7.16	0.58	0.0	0.0	5.37	0.27	1.98	0.0	0.0	2.47	0.77	0.0	0.0	0.29	0.0	2.79	1.65	1.9	0.13	2.24	4.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.89	46.94	1.61	0.0	7.83
