	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_7	Gad2_tdTpositive_cell_13	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_55	Htr3a_tdTpositive_cell_85	Ndnf_tdTnegative_cell_4	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_49	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_52	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_60	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_65	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_69	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_80	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51
Adam22	0.0	40.43	0.0	1.34	0.66	4.74	84.53	120.8	120.39	0.0	0.03	2.19	63.12	52.49	29.32	59.59	32.47	100.03	123.99	56.04	83.15	28.36	21.36	65.66	54.96	100.79	111.21	48.58	76.49	40.78	28.18	63.76	35.06	17.99	74.56	15.02	48.15	45.28	67.0	33.04	24.65	110.57	31.56	58.41	22.46	139.62	50.97	127.16	113.07	114.29	53.49	58.32
Adam9	0.0	0.0	0.0	0.0	0.0	2.05	0.0	24.76	0.0	0.0	0.0	0.0	25.61	1.33	0.99	3.93	1.28	25.73	10.98	0.0	0.81	2.65	28.73	7.12	3.41	0.0	2.75	1.96	9.27	0.42	36.86	10.83	1.19	0.13	0.0	1.46	0.0	34.55	32.11	6.23	0.33	48.23	0.0	2.09	0.0	43.62	9.3	8.27	72.47	0.57	26.11	25.17
Ankrd40	17.81	15.58	0.0	0.1	0.0	41.55	40.29	55.47	2.15	0.0	0.0	0.0	27.49	33.61	41.64	41.46	0.0	48.23	48.8	33.46	0.0	7.65	0.0	44.21	32.31	13.41	0.0	22.01	22.0	55.73	22.35	89.65	53.72	5.53	77.97	31.03	0.11	63.24	45.6	45.36	6.3	120.51	5.34	28.28	35.64	62.44	18.93	51.24	49.68	51.63	24.72	5.15
Cadps	0.0	14.92	0.0	0.0	0.0	54.24	100.73	153.03	151.58	0.0	0.0	0.0	140.38	100.45	67.77	70.19	121.24	171.29	116.58	80.32	141.54	72.37	60.1	180.24	65.4	77.18	144.15	103.59	195.13	318.16	84.3	180.37	82.36	100.87	133.94	88.82	55.79	28.22	106.85	107.84	102.21	266.15	117.29	115.33	68.54	182.27	198.31	154.48	278.4	167.55	125.82	129.52
Cds1	0.0	0.0	0.0	0.0	0.0	0.0	45.84	23.3	0.0	0.0	0.0	0.0	30.84	86.58	74.62	50.17	66.65	35.75	109.63	20.63	50.76	24.93	15.75	49.56	22.79	4.32	55.33	0.0	77.96	136.04	44.03	65.63	58.31	43.08	47.72	17.87	0.0	76.34	68.02	7.56	20.06	50.45	24.03	61.59	70.47	61.82	149.85	74.66	73.49	33.83	61.08	59.69
Cep120	1.65	0.0	0.0	0.0	0.0	0.0	51.91	6.63	14.01	0.0	0.0	0.0	6.48	17.42	0.05	0.0	10.78	69.78	13.03	18.4	17.01	13.9	1.81	21.49	27.06	23.54	8.42	0.0	18.52	22.8	34.6	0.0	20.67	1.64	0.36	41.02	0.43	0.0	26.31	0.0	1.68	84.42	33.68	0.0	0.0	63.56	2.71	51.96	45.03	18.62	0.38	13.34
Chchd10	0.0	7.77	0.0	0.0	0.0	0.0	16.72	28.93	42.11	0.0	0.0	0.0	2.76	13.44	33.94	13.15	15.01	87.22	48.44	6.09	80.59	12.82	0.0	42.1	41.34	6.57	39.46	0.75	47.97	26.58	10.77	0.42	0.0	25.53	6.19	0.0	15.49	12.1	19.23	25.82	1.47	98.59	25.55	10.88	36.5	59.02	0.0	31.46	66.19	52.55	29.46	27.1
Cnnm1	0.0	1.32	0.0	0.0	0.0	0.32	70.89	29.1	6.72	0.0	0.0	0.0	26.45	33.53	25.63	41.51	55.6	87.49	59.13	17.69	30.69	41.34	15.85	37.38	18.12	4.61	30.63	0.4	37.23	14.25	24.8	54.02	10.44	18.65	50.16	12.87	20.37	60.36	42.7	64.43	0.2	60.63	72.25	25.28	34.56	29.04	23.82	30.46	66.04	48.71	32.56	21.87
Cntn5	0.0	0.0	0.0	0.0	0.0	0.0	9.27	29.48	9.02	0.0	0.0	0.0	7.17	0.0	0.0	7.65	1.13	14.14	67.2	7.19	18.41	17.38	0.0	2.15	16.41	1.13	33.7	0.16	18.54	5.55	11.72	16.95	66.74	4.64	2.71	7.03	0.0	2.79	0.74	2.08	0.0	30.51	0.0	6.41	6.18	19.65	5.15	38.79	36.41	11.0	4.96	17.63
Elovl6	0.0	0.03	0.48	0.0	0.18	15.04	11.22	112.74	0.26	0.0	0.03	0.08	48.85	31.12	27.77	12.07	62.11	35.74	45.02	68.2	88.06	60.81	14.36	61.07	74.3	83.69	59.07	2.61	15.8	15.84	16.62	23.32	61.36	20.56	36.34	11.49	0.0	0.07	26.17	19.77	30.75	73.13	7.25	29.23	55.35	53.74	76.31	78.33	47.23	81.98	75.83	12.52
Endod1	0.0	20.29	0.0	0.0	0.0	79.72	111.96	18.47	19.79	0.0	0.0	0.0	58.71	68.9	35.84	47.45	124.35	47.52	18.45	65.55	96.76	29.13	22.16	76.93	45.89	57.23	104.65	71.06	145.14	105.25	96.7	79.44	68.89	89.99	79.75	75.98	8.25	6.64	74.92	57.4	63.21	196.61	9.6	54.06	96.6	59.45	94.43	49.85	142.32	48.62	113.72	151.41
Entpd7	0.0	0.0	0.0	0.0	0.0	0.0	11.19	5.44	3.28	0.0	0.05	0.0	15.48	43.1	5.98	8.93	23.14	94.7	87.71	34.53	58.12	36.89	9.97	84.95	27.9	85.56	74.26	8.77	84.0	31.8	51.92	87.82	32.25	21.46	5.7	34.03	46.14	62.46	22.27	15.34	11.64	47.11	28.01	72.19	5.94	23.08	56.91	38.69	34.89	78.84	78.37	38.67
Epm2aip1	0.18	0.19	0.0	0.0	0.0	12.99	74.44	63.82	78.42	0.15	0.18	0.0	16.15	30.11	17.42	0.27	24.44	73.27	47.82	15.72	1.26	16.66	5.93	41.15	80.13	1.09	31.79	1.81	34.66	22.67	17.15	22.64	21.94	20.47	23.15	18.82	6.26	64.91	26.92	51.64	0.35	91.32	95.52	103.25	5.9	33.69	40.92	68.04	98.02	65.31	79.48	5.98
Fam49b	0.0	15.0	0.0	0.0	0.0	0.0	52.08	87.57	3.29	0.0	0.42	0.0	41.8	66.3	40.05	12.25	68.33	11.69	0.22	88.24	88.97	99.31	6.36	2.04	37.07	0.78	60.29	53.83	32.94	71.0	59.63	32.82	6.04	18.48	55.79	22.1	66.31	42.97	91.94	41.34	36.83	109.12	45.92	6.37	135.05	167.72	21.65	77.31	194.88	79.44	6.92	44.35
Hhatl	0.0	0.0	0.0	0.0	24.84	0.0	0.0	43.54	0.68	0.0	0.0	0.0	0.73	1.37	1.44	0.27	41.45	54.8	88.96	4.11	44.26	2.05	0.0	42.06	0.0	96.81	0.53	0.0	69.9	98.03	53.15	77.77	20.4	0.0	79.81	53.57	0.0	0.0	3.72	0.43	148.72	47.41	1.01	0.0	0.0	64.23	47.65	23.55	17.9	82.2	0.0	53.41
Kcna1	0.0	0.0	0.0	0.0	0.0	19.13	219.47	129.7	58.68	0.0	0.0	0.0	109.21	218.51	67.88	155.4	214.98	258.51	231.33	255.22	281.96	237.12	53.8	455.33	151.11	159.56	158.39	12.5	254.23	229.92	186.92	175.67	275.53	140.07	124.46	83.12	59.0	103.74	175.44	189.11	193.09	127.67	139.69	210.21	186.72	164.37	255.31	267.03	261.1	221.93	155.8	247.3
Kcnc3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.59	17.17	0.0	0.0	0.0	7.36	10.1	1.96	7.5	3.21	15.58	12.39	9.13	2.87	7.84	0.0	8.77	0.0	6.75	15.04	1.07	5.05	18.42	9.2	19.58	7.27	19.57	13.46	2.21	1.69	0.17	10.3	16.02	3.61	1.51	1.07	7.85	0.46	13.63	8.91	8.27	12.9	19.09	2.49	8.74
Kcnj9	0.0	0.07	0.0	0.0	0.0	0.0	9.66	41.12	9.28	0.0	0.0	0.0	25.69	18.24	0.0	53.01	20.8	1.41	43.43	52.48	28.03	42.63	1.17	30.07	0.0	1.36	8.51	46.46	28.33	50.29	37.49	6.16	21.14	0.0	1.0	24.64	2.74	8.99	4.52	12.04	0.0	45.38	38.93	27.96	15.36	66.11	25.93	1.26	54.79	94.98	35.46	66.25
Kcnt1	0.0	0.0	0.0	0.0	0.0	0.0	1.91	7.42	0.0	0.0	0.0	0.0	0.7	8.45	0.0	0.0	0.09	4.52	6.56	10.83	7.64	0.68	0.74	8.82	0.23	35.21	20.52	0.0	0.12	17.43	1.54	5.17	7.74	0.63	0.09	25.01	0.0	0.23	2.22	0.0	0.28	73.7	0.25	1.15	56.98	17.27	0.13	1.14	3.28	51.63	0.59	34.38
Ldhb	7486.96	8970.97	4317.46	2593.67	5404.32	5855.34	9309.63	7692.96	8550.52	2376.05	5876.73	5600.23	8752.31	8798.32	10118.08	10894.4	8525.9	8892.3	8583.06	9220.91	9343.6	8808.99	8620.64	10165.1	9602.81	11261.44	10004.69	8757.21	9074.03	13571.31	12546.17	9106.97	9755.78	11010.48	7724.63	10182.84	6851.78	7891.81	7551.43	7739.08	7194.73	7205.83	9082.37	7441.82	7928.56	6498.69	7910.47	8351.44	7175.32	7830.1	8111.86	11746.38
Lrp11	0.0	0.07	0.0	0.0	0.0	10.28	64.5	8.92	0.0	0.0	0.0	0.0	18.2	68.63	32.98	56.18	56.4	82.43	28.76	13.42	160.15	20.36	77.14	61.48	0.4	2.29	33.38	32.97	58.9	16.37	80.6	113.64	89.1	7.12	8.47	26.49	2.13	0.0	68.38	96.17	0.0	22.15	0.0	2.12	2.41	55.83	118.61	66.97	94.51	133.78	26.36	84.39
Memo1	0.0	0.0	0.0	0.0	0.0	0.0	2.15	33.96	0.0	0.0	0.0	17.82	3.42	32.6	0.0	0.0	83.44	87.34	85.26	1.61	159.6	0.69	0.0	0.0	131.41	0.0	12.93	0.0	190.41	48.11	0.0	78.61	0.0	89.72	40.74	0.0	0.27	7.47	87.74	8.86	59.88	100.84	40.74	65.94	96.33	89.64	82.08	41.22	144.07	0.0	15.57	0.0
Mppe1	0.0	0.0	0.0	0.0	0.0	0.0	78.1	17.07	0.0	0.0	0.0	0.0	0.0	17.54	0.0	16.96	20.16	5.26	49.01	10.66	25.82	23.53	0.0	26.86	0.0	0.0	24.27	13.5	10.5	13.86	1.44	0.0	53.74	43.91	17.88	0.34	6.42	3.26	48.32	0.0	57.13	152.41	21.42	20.74	20.51	40.69	86.0	25.83	14.48	36.4	33.97	37.42
Mtap7d2	14.26	45.31	0.0	0.0	0.0	3.27	122.62	130.15	149.65	0.0	0.0	0.0	35.58	109.89	68.33	102.4	159.22	61.79	129.06	115.72	70.64	108.86	60.26	136.45	129.61	42.87	58.56	40.54	114.12	149.62	49.93	71.66	96.35	59.11	136.63	25.63	42.19	197.17	47.43	59.01	67.84	211.88	222.72	59.98	291.08	158.05	130.85	121.72	191.0	165.88	165.95	164.5
Myo5a	0.0	4.61	0.0	0.0	0.0	39.33	42.77	42.06	25.16	0.06	0.05	0.0	53.44	45.27	11.11	69.14	40.3	61.52	71.73	46.76	73.9	75.09	51.28	65.61	68.38	41.79	55.97	46.56	69.17	55.96	9.71	57.57	28.13	36.2	71.79	73.22	8.9	114.15	51.0	65.75	42.57	64.91	48.43	71.71	38.28	108.11	63.26	145.14	193.59	70.29	63.74	42.52
