	Chrna2_tdTpositive_cell_2	Chrna2_tdTpositive_cell_19	Chrna2_tdTpositive_cell_37	Sst_tdTpositive_cell_88	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1600015I10Rik	0.0	0.0	0.0	0.0	0.04	0.0	0.04
1700003L19Rik	0.0	0.0	0.0	0.0	0.14	0.0	0.14
1700009J07Rik	0.0	0.0	0.0	0.0	0.11	0.0	0.11
1700061J05Rik	0.0	0.0	0.0	0.0	0.11	0.0	0.11
4930528F23Rik	0.0	0.0	0.0	0.0	0.06	0.0	0.06
4930529F24Rik	0.0	0.0	0.0	0.0	0.11	0.0	0.11
4930544D05Rik	0.0	0.0	0.0	0.0	0.16	0.0	0.16
4930555B11Rik	0.0	0.0	0.0	0.0	0.07	0.0	0.07
9230104L09Rik	0.0	0.0	0.0	0.0	0.16	0.0	0.16
Adamdec1	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Akr1c12	0.0	0.0	0.0	0.0	0.08	0.0	0.08
Amy2a2	0.06	0.09	0.05	0.2	0.26	0.19	0.21
Amy2a3	0.06	0.09	0.05	0.2	0.26	0.19	0.21
Amy2a4	0.06	0.09	0.05	0.2	0.26	0.19	0.21
Apob	0.0	0.0	0.0	0.0	0.01	0.0	0.01
Arhgap19	0.0	0.07	0.0	0.12	3.34	2.64	3.01
BC018242	0.0	0.66	1.67	0.21	148.85	160.32	156.13
Bahd1	0.0	0.0	0.0	0.0	29.7	27.75	26.96
Bpifb4	0.0	0.0	0.0	0.0	0.05	0.0	0.05
Capn13	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Ccl27b	0.0	19.81	5.76	10.5	30.63	28.29	22.96
Ccr3	0.0	0.0	0.0	0.0	0.03	0.0	0.03
Ceacam15	0.0	0.0	0.0	0.0	0.07	0.0	0.07
Clec12b	0.0	0.0	0.0	0.0	0.07	0.0	0.07
Cyp2c55	0.0	0.0	0.0	0.0	0.05	0.0	0.05
Cyp3a57	0.0	0.0	0.0	0.0	0.06	0.0	0.06
Cyyr1	0.0	0.0	0.0	0.0	3.47	2.83	2.85
Ddo	0.0	0.0	0.0	0.0	4.83	4.71	4.76
Diras2	0.57	0.12	0.0	0.38	212.34	197.14	211.74
Dnajc5b	0.0	0.0	0.0	0.0	0.11	0.0	0.11
Fam125b	0.0	2.45	0.0	0.0	57.54	59.6	60.07
Fcer2a	0.0	0.12	0.15	0.0	1.19	1.04	1.56
Fmo4	0.0	0.0	0.0	0.0	0.06	0.0	0.06
Fndc3c1	0.0	0.0	0.0	0.0	0.02	0.0	0.02
Gm12633	0.0	0.0	0.0	0.0	0.06	0.0	0.06
Gm13306	0.0	19.81	5.76	10.5	30.63	28.29	22.96
Gm1647	0.0	0.0	0.0	0.0	0.14	0.0	0.14
Gm2506	0.0	19.81	5.76	10.5	30.63	28.29	22.96
Gm4745	0.0	0.0	0.0	0.0	0.08	0.0	0.08
Gm7367	0.0	0.0	0.0	0.0	21.68	31.06	21.61
Gzma	0.0	0.0	0.0	0.0	0.12	0.0	0.12
Hal	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Kctd19	0.0	0.0	0.0	0.0	0.03	0.0	0.03
Kel	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Lect2	0.0	0.0	0.0	0.0	0.12	0.0	0.12
Ltf	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Mcm3ap	4.02	12.52	0.0	0.0	27.34	27.67	27.57
Muc4	0.0	0.0	0.0	0.0	0.02	0.0	0.02
Myog	0.0	0.0	0.0	0.0	0.07	0.0	0.07
Ncr1	0.0	0.0	0.0	0.0	0.07	0.0	0.07
Nox4	0.0	0.0	0.0	0.0	0.06	0.0	0.06
Olfr15	0.0	0.0	0.0	0.0	0.11	0.0	0.11
Otx2os1	0.0	0.0	0.0	0.0	0.14	0.0	0.14
Pacs1	0.16	5.7	0.0	0.0	53.18	53.52	54.5
Plcg1	0.0	0.0	0.0	0.0	47.58	47.21	51.72
Pnmal1	97.75	76.81	86.68	100.36	121.15	122.07	114.48
Prps1l1	0.0	0.0	0.0	0.0	0.06	0.0	0.06
Prr18	0.0	0.0	0.0	0.0	36.8	41.57	40.88
Rad54l2	0.0	0.0	0.0	0.0	11.32	10.45	11.72
Raet1d	0.0	0.0	0.0	0.0	0.16	0.0	0.16
Rasl11b	0.0	27.41	0.0	56.8	87.11	102.18	88.75
Sct	0.0	0.0	0.0	0.0	0.21	0.0	0.21
Slc4a1	0.0	0.0	0.0	0.0	0.02	0.0	0.02
Slco3a1	0.0	0.0	0.0	0.0	22.47	22.01	24.84
Slfnl1	0.0	0.0	0.0	0.0	0.06	0.0	0.06
Szt2	0.0	0.0	0.0	0.0	18.73	19.33	23.53
Tac4	0.0	0.0	0.0	0.0	0.08	0.0	0.08
Tas1r2	0.0	0.0	0.0	0.0	0.03	0.0	0.03
Tcstv1	0.0	0.0	0.0	0.0	0.12	0.0	0.12
Usp26	0.0	0.0	0.0	0.0	0.02	0.0	0.02
Vmn1r210	0.0	0.0	0.0	0.0	0.11	0.0	0.11
Vmn2r11	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Vstm2l	0.0	0.74	0.0	0.0	89.77	107.87	106.01
mt_AK166684	118.46	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	0.0	9032.87	8417.95	8583.15
