	Calb2_tdTpositive_cell_31	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_60
1700058G18Rik	4.16	0.0	0.0
1810007D17Rik	1.65	0.0	0.0
1810018F18Rik	0.4	0.0	0.42
2210010C04Rik	0.81	0.19	0.0
2610301G19Rik	0.15	0.0	168.06
4930405D11Rik	0.8	0.0	0.0
4930455C13Rik	22.84	0.0	0.0
4933426D04Rik	5.45	0.0	0.0
4933433G19Rik	17.44	0.0	0.0
4933437F05Rik	129.59	0.0	0.0
6530402F18Rik	9.19	0.0	0.0
6720456H20Rik	0.66	0.0	0.0
9030617O03Rik	0.36	0.0	0.0
A630075F10Rik	15.38	6.17	8.31
AA543186	1.56	0.0	0.74
Aanat	0.09	0.0	0.44
Abca12	1.02	0.0	0.0
Abcc9	1.71	0.19	1.44
Acss1	6.47	0.0	0.0
Adcy2	95.37	0.0	125.87
Agfg1	2.57	0.0	11.13
Ahcy	121.11	0.0	0.0
Aifm3	146.31	0.0	0.0
Aldh2	177.22	0.0	0.0
Ammecr1l	87.8	0.0	268.67
Ankdd1b	64.44	0.0	0.0
Ankle1	9.08	0.37	2.25
Asna1	351.27	0.0	174.13
Atp1b4	12.12	0.0	0.0
Bnc2	0.09	0.0	0.0
C1qbp	75.12	0.0	0.0
C8a	0.14	0.0	0.0
Cacna2d2	0.1	0.0	0.0
Ccdc96	0.53	0.0	0.0
Cct3	975.81	355.81	251.73
Cd55	0.46	0.1	0.0
Celf4	173.39	26.42	1.96
Celf5	79.87	17.97	16.64
Cenpt	225.15	0.0	0.0
Cercam	3.89	0.71	8.31
Ckap2l	3.12	0.0	0.0
Col5a1	11.04	0.0	0.22
D6Ertd474e	0.21	0.0	0.0
Dhx36	109.01	46.07	121.63
Dmrta2	38.67	0.0	0.0
Dos	94.94	0.0	33.98
Drd5	0.21	0.0	0.0
Dync1h1	82.94	52.36	0.04
E130310I04Rik	0.17	0.0	0.0
E2f6	0.24	51.08	0.0
Edc4	114.58	0.0	0.0
Egr4	19.34	0.0	0.0
Eif2ak2	53.21	12.83	39.45
Eif2b1	327.13	0.42	4.36
Eif3e	1013.58	539.07	236.89
Eif3m	980.45	0.0	0.0
Elk3	31.62	0.0	0.0
Ep400	57.74	0.0	1.04
Exph5	129.9	0.0	0.0
Fabp7	0.8	0.0	0.0
Fam166a	1.73	0.0	0.0
Fam70a	0.17	0.0	0.0
Fcer1g	160.78	0.0	0.0
Gm10825	0.13	0.0	0.0
Gm14023	0.31	0.0	0.0
Gm15987	1.1	0.0	0.0
Gm16294	0.34	0.28	0.0
Gnpat	105.48	0.0	0.0
Gnpda2	361.97	199.77	114.16
Hs6st2	17.88	0.0	0.0
Il5	0.38	0.0	0.0
Iqch	1.02	0.0	0.0
Kdm5d	33.76	0.0	89.11
Kif3a	366.9	326.81	154.24
LOC434825	0.52	0.0	0.0
Lbp	0.55	0.0	0.0
Lgi4	40.11	0.0	0.0
Lgr4	65.76	49.09	63.88
Lims2	0.35	0.0	0.0
Liph	1.34	0.11	0.44
Lrrc27	28.29	0.0	0.0
Mansc1	8.28	0.0	0.0
Map3k1	31.27	48.27	50.1
March8	135.78	0.0	0.0
Micalcl	0.24	0.0	0.0
Mpnd	0.34	0.0	0.0
Mybl2	25.55	0.0	0.0
Nap1l1	1270.57	723.25	766.63
Nfya	0.21	0.0	0.0
Nlrp1b	0.14	0.0	0.14
Nme5	241.47	0.0	0.0
Noc3l	43.75	2.34	0.32
Nubp2	308.41	0.0	307.8
Nup88	339.44	0.0	0.0
Olfr56	0.3	0.0	0.0
Parp3	0.21	0.0	0.0
Pcdha10	2.59	0.0	0.0
Pcdhgc3	103.31	0.0	0.0
Pcgf1	425.19	0.0	147.73
Pde10a	237.33	0.05	110.7
Pgs1	11.08	0.0	0.0
Phc3	52.92	0.0	1.75
Phlda1	68.24	0.0	0.0
Pin4	520.8	0.0	299.26
Polr3a	88.6	0.0	0.0
Ppm1f	78.75	0.0	0.0
Ppp1r17	0.63	0.0	0.0
Prm3	1.62	0.0	0.0
Psg25	1.2	0.0	0.21
Purb	269.7	86.94	152.89
Rad21	144.01	0.0	135.25
Rad23a	305.89	4.7	110.51
Repin1	35.23	2.34	19.85
Rpp14	359.9	0.0	0.0
Rrp12	82.08	0.0	0.0
Samd12	224.76	0.0	0.0
Secisbp2	1.78	0.0	0.0
Sema4c	1.36	0.0	0.0
Sephs2	75.74	0.0	25.37
Sh3d19	0.18	0.0	0.0
Siva1	239.95	0.0	218.06
Slc29a1	0.3	319.28	0.0
Slc35a3	0.23	0.0	0.0
Slc43a3	0.18	0.15	0.0
Smarcc2	131.74	0.09	9.85
Sostdc1	0.33	0.0	0.0
Sstr1	0.15	0.0	0.0
Tac2	0.0	14345.64	18688.4
Tbc1d20	1.2	0.0	0.0
Timd2	0.2	0.0	0.0
Tmed4	814.06	761.41	422.82
Tmem132d	0.4	0.0	0.0
Tmem149	3.0	0.0	0.0
Tmem158	41.77	0.0	0.0
Tnip1	0.22	0.0	0.23
Top2a	0.11	0.0	0.0
Trmt2b	122.06	0.0	0.59
Trp63	0.24	0.0	0.0
Trps1	48.33	0.0	0.0
Tspan1	0.29	0.0	0.0
Tspan11	55.59	0.0	0.0
Ttc16	0.4	0.0	0.0
Ttc30a1	0.4	0.0	0.0
Ube1y1	24.18	3.39	13.1
Ubtfl1	0.22	0.0	0.0
Uchl4	0.51	0.0	0.64
Uhrf2	142.19	12.05	0.0
Unkl	92.21	0.0	0.0
Usp35	0.14	0.0	0.0
Utp15	63.61	0.0	0.0
Utp18	53.22	0.0	2.64
Utp3	301.66	58.19	268.94
Vkorc1l1	63.89	0.0	0.0
Wdr4	20.91	0.0	0.0
Whamm	31.45	0.0	50.42
Wwtr1	0.12	0.0	0.0
Yipf4	92.72	0.0	0.0
Zfhx2as	0.23	0.0	0.0
Zfp652	1.08	0.0	0.0
Zfp839	71.33	0.62	1.16
Zfyve28	0.14	0.0	0.0
Zkscan17	149.4	0.0	16.56
Zscan22	43.38	0.0	0.0
