	Calb2_tdTpositive_cell_53	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_47	Gad2_tdTpositive_cell_55	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_17	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_21
0610010O12Rik	274.29	0.0	0.56	83.94	0.0	92.46	0.0	179.62	2.18	128.4	69.84	108.78	159.71	115.31	188.86	181.69	101.93	175.88	115.39	91.42	82.73	216.53	65.13	287.07	69.86	113.38	145.69	67.14	102.95	182.73	232.7	106.41	102.92	126.06	258.25	63.81	225.72	297.74	79.44	188.49	237.6	1.34	0.0	0.0
2300009A05Rik	0.0	0.0	0.0	0.0	0.0	12.92	0.0	0.0	0.0	3.22	0.0	61.45	16.72	1.03	0.0	0.0	3.46	17.2	0.0	62.03	35.26	82.49	0.0	53.92	50.62	58.73	40.99	7.79	60.91	85.83	56.74	12.21	13.59	0.0	45.82	0.0	0.0	30.48	27.66	97.41	28.44	556.39	0.0	0.0
Aggf1	0.0	0.0	0.0	6.98	0.0	10.46	0.0	0.0	0.0	24.03	6.52	0.0	0.0	0.0	9.51	23.59	2.38	1.48	16.91	11.74	49.81	0.0	3.72	64.39	7.98	47.42	24.1	3.16	2.23	13.69	19.36	3.39	6.08	0.0	5.43	1.37	0.0	22.94	7.31	6.48	89.64	0.0	0.0	0.0
Alkbh3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	1.28	0.48	41.36	0.0	0.0	44.84	57.08	1.99	0.0	144.19	0.0	60.56	18.95	120.96	4.39	0.0	25.65	25.5	0.0	14.37	5.84	0.0	0.0	0.0	0.45	86.63	0.0	0.0	0.0	0.31	0.0	0.0
B3gat1	0.0	0.0	0.18	0.0	0.0	3.9	0.0	0.0	0.35	19.29	0.22	6.39	0.0	10.12	1.43	15.22	5.91	7.81	0.88	3.99	6.23	21.75	10.4	16.26	4.93	21.78	10.39	0.0	2.29	8.48	0.0	0.0	22.09	6.96	0.36	1.74	3.61	10.34	0.0	0.39	3.4	0.0	0.0	0.0
Eif1ad	0.0	0.0	42.39	45.94	16.95	123.1	2.02	0.0	0.0	82.29	14.55	29.1	17.82	62.37	71.44	82.81	65.8	49.07	95.32	28.63	117.28	152.5	37.17	70.73	135.83	38.71	52.73	36.26	152.78	55.62	22.55	43.49	179.04	27.03	9.59	91.14	168.57	158.86	56.68	28.81	23.29	0.0	0.0	0.0
Elmod1	0.0	0.0	46.96	16.11	0.0	35.94	0.0	58.6	0.46	66.05	31.09	109.28	32.6	34.21	88.35	43.45	30.53	99.28	88.43	118.38	42.91	115.02	56.22	172.38	68.9	11.17	35.16	61.96	42.86	68.69	60.13	14.68	74.0	87.79	20.71	3.06	12.85	101.48	108.31	59.55	24.55	0.43	0.0	0.0
Fam57b	0.0	0.0	2.3	4.57	0.0	0.0	0.0	0.0	0.34	22.56	0.0	1.09	2.62	11.99	11.76	10.86	3.28	0.0	17.27	25.46	6.27	20.16	0.0	34.26	1.63	0.0	29.57	0.17	0.0	5.52	0.23	3.19	4.52	1.48	0.54	2.71	0.63	41.24	0.0	0.0	2.49	0.0	0.0	0.0
Fam69b	0.0	0.0	0.0	39.19	0.0	97.37	0.0	0.0	0.0	19.28	15.11	18.84	0.0	0.0	84.55	0.52	41.69	25.22	92.27	64.69	29.25	127.24	0.0	46.32	30.87	46.65	0.0	6.15	76.96	102.74	24.28	10.08	52.25	40.6	0.52	39.12	0.34	36.4	35.49	22.62	0.0	0.46	0.0	0.0
Fsd1	0.0	0.0	0.0	0.0	0.0	65.34	0.0	0.0	0.69	162.0	0.0	129.6	132.02	61.14	85.82	169.95	135.12	111.21	111.83	110.39	44.74	291.3	55.24	218.89	200.43	74.9	7.31	252.59	145.35	128.23	145.46	197.59	240.63	136.42	61.95	121.28	100.24	92.15	96.96	0.0	0.0	0.43	0.0	0.0
