	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Gad2_tdTpositive_cell_57	Htr3a_tdTpositive_cell_85	Ndnf_tdTpositive_cell_20	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	Rbp4_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1300002K09Rik	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.05	0.03
1700047I17Rik2	57.42	1.48	23.58	6.19	0.0	6.82	24.53	3.54	29.66	6.7	6.99	10.97	13.82	12.74	13.08	7.94	0.58	9.27	13.56	1.24	24.24	10.75	15.55	5.43	1.71	1.54	16.29	0.63	44.52	9.58	6.62	10.55	3.78	17.56	16.4	17.92
1810031K17Rik	0.0	0.0	63.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.4	0.0	0.0	0.74	1.96	0.0	0.0	0.0	53.09	0.0	13.45	26.11	9.44	0.75	20.52	21.0	0.0	0.0	0.0	0.0	12.54	0.0	28.06	22.47	21.79	22.66
2610002M06Rik	0.51	0.0	127.65	0.05	0.0	7.05	38.08	44.33	12.62	31.43	0.0	0.13	25.99	13.05	1.92	19.32	31.6	63.54	5.2	0.69	3.79	8.96	34.52	48.89	27.26	1.83	17.77	0.77	43.74	5.56	16.44	0.97	23.94	34.15	33.46	33.37
4930403N07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
6330545A04Rik	0.0	0.0	28.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.09	1.91	3.85
Accs	0.0	0.0	104.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.9	0.0	0.0	0.0	0.0	0.0	0.0	45.83	0.0	47.93	0.0	0.0	45.15	0.22	0.0	18.68	0.0	0.0	0.0	0.0	3.33	3.09	3.35
Adat2	0.0	0.0	115.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	2.54	0.0	20.86	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.09	9.16	9.72
Akap6	0.0	5.25	40.66	0.0	0.0	27.92	10.93	17.13	23.2	27.94	34.37	38.19	10.87	14.0	16.62	23.61	0.15	11.52	7.39	28.11	36.71	25.03	40.29	19.67	11.97	39.53	5.85	30.95	16.88	10.09	7.37	3.96	17.86	71.25	63.96	73.31
Apex2	0.0	0.0	89.53	143.32	0.0	0.0	26.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.95	0.0	0.2	0.0	0.0	0.0	0.0	1.16	0.97	0.0	0.0	4.58	4.22	4.46
Arap2	0.0	0.0	104.23	28.78	0.0	42.98	41.52	0.33	40.74	23.13	1.34	1.48	18.69	0.0	15.49	0.0	0.1	23.9	67.02	23.73	2.76	6.23	11.39	2.03	7.43	1.94	38.73	31.4	9.96	14.4	3.81	66.81	6.47	43.79	37.01	43.26
Arhgap1	0.0	0.0	233.48	75.25	0.0	16.67	0.24	35.7	38.0	108.59	79.67	24.41	38.62	16.72	0.21	20.97	0.0	0.0	0.0	51.53	101.02	47.65	26.64	39.02	41.51	24.48	55.49	42.18	12.86	2.62	0.0	64.95	0.0	60.32	63.91	62.07
Atad2	0.9	0.17	38.06	0.53	0.0	0.73	12.38	0.03	0.19	20.0	1.24	16.76	0.39	19.42	0.11	0.53	0.59	0.75	14.43	31.58	20.13	10.37	0.69	1.34	0.38	0.87	9.45	0.98	0.85	3.8	10.49	0.95	0.79	6.56	5.31	6.23
Atrnl1	0.0	7.5	52.91	1.08	0.0	26.5	16.19	0.3	7.46	23.35	14.09	2.84	11.15	11.81	30.3	0.49	13.08	2.46	5.5	0.0	41.62	30.03	46.14	0.67	31.35	44.86	3.46	11.38	2.51	2.43	12.67	16.16	26.53	61.86	59.81	61.57
BC003331	0.0	0.0	250.93	46.82	0.0	78.9	88.12	37.47	21.89	9.52	21.72	41.05	99.23	67.62	58.33	114.97	0.24	67.67	38.52	34.78	144.65	95.61	52.9	54.25	85.47	112.94	81.93	53.41	48.83	10.43	24.03	85.72	0.0	32.91	29.84	33.45
BC046331	0.0	0.0	32.47	0.0	0.0	0.0	0.0	0.08	0.29	0.0	0.0	0.0	0.0	0.0	0.0	11.06	0.0	0.0	0.0	0.0	0.0	14.57	0.0	0.0	0.0	0.0	1.46	0.13	0.0	0.16	0.0	0.0	0.0	25.23	24.71	26.39
Bcas1	0.0	0.0	30.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.58	94.3	106.69
Bin1	0.0	0.0	9.21	0.89	0.0	9.56	2.66	0.0	0.45	2.56	21.68	21.62	4.12	1.03	1.7	21.55	0.37	0.0	0.22	1.77	3.19	14.31	7.61	19.95	9.24	5.9	4.54	5.93	8.69	41.18	5.78	9.83	1.66	228.71	237.59	245.82
