	Cux2_tdTpositive_cell_75	Cux2_tdTpositive_cell_83	Ntsr1_tdTnegative_cell_37	Ntsr1_tdTnegative_cell_50	Ntsr1_tdTnegative_cell_52	Rbp4_tdTpositive_cell_146	Scnn1a.Tg2_tdTpositive_cell_10	Scnn1a.Tg3_tdTpositive_cell_59	Scnn1a.Tg3_tdTpositive_cell_84	Scnn1a.Tg3_tdTpositive_cell_96
4932414N04Rik	0.0	0.78	0.3	0.17	0.0	0.16	0.43	0.83	1.01	0.14
Arid1b	2.58	7.81	0.33	2.07	3.87	8.98	18.97	22.04	35.1	20.24
BC030476	0.0	0.31	0.0	0.0	0.29	1.02	0.47	0.94	2.19	0.08
Cass4	0.88	0.58	0.3	0.46	0.64	0.33	0.38	1.07	0.91	0.14
Ccdc80	65.2	92.89	0.0	0.0	0.0	90.1	0.0	140.17	238.39	22.79
Cdr2l	16.18	0.2	26.73	0.17	23.34	34.57	50.57	71.93	59.03	37.86
Cel	0.0	0.0	0.0	0.29	0.0	0.0	0.29	0.82	1.02	0.09
Crebzf	0.0	6.21	0.0	0.0	6.64	0.0	9.0	23.98	26.59	16.29
Eif5a2	0.0	56.61	0.0	0.0	11.02	6.42	2.85	150.26	75.63	0.0
Ell2	0.0	6.36	30.27	1.95	4.92	49.69	5.04	74.82	166.37	132.38
Ero1lb	0.0	0.0	0.0	0.0	0.43	0.23	25.02	60.76	43.65	0.04
Fahd2a	0.0	1.24	0.0	0.0	24.68	71.65	88.85	280.7	243.81	0.15
Fermt1	0.0	0.0	0.0	0.0	0.06	0.0	0.2	0.41	0.98	0.0
Gm11413	0.0	0.29	0.0	0.0	0.15	0.71	0.14	0.86	1.47	0.22
Gm14436	1.26	1.34	1.26	4.17	4.22	5.64	9.73	11.98	14.13	16.63
Golgb1	0.0	0.0	2.73	0.58	4.3	7.46	10.87	12.12	32.83	6.54
Hspa12a	0.0	0.89	78.86	5.33	33.95	0.17	6.43	64.38	45.21	36.51
Htatsf1	0.0	59.17	346.18	0.21	55.88	14.43	80.49	178.26	176.69	104.82
Ildr2	9.39	0.0	15.28	0.28	33.55	8.52	5.31	98.86	132.05	29.95
Lonrf3	0.0	0.1	0.0	2.55	0.0	7.31	0.03	16.63	19.0	10.47
Mapkbp1	0.3	0.69	0.16	0.43	6.42	5.66	19.47	12.7	9.43	0.34
Mir466i	0.0	0.0	9.17	0.0	20.46	14.3	0.0	58.43	47.95	2.63
Mir669h	0.0	0.0	0.0	1.57	52.92	0.0	60.13	73.8	82.57	41.31
Mtor	1.59	0.0	0.0	0.0	0.0	3.71	0.0	30.14	40.39	5.14
Nat8l	2.3	5.58	0.0	3.33	11.3	17.25	33.3	57.41	94.65	18.71
Nek1	0.0	0.51	15.46	12.18	13.96	35.98	60.68	43.43	40.02	31.97
Nlk	117.59	66.68	30.5	166.89	46.9	97.72	129.31	231.92	260.47	109.07
Pak1	1603.53	1860.58	2599.96	2557.48	1885.43	2153.51	1946.1	2101.54	1653.17	1941.57
Pcgf6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.97	74.05	41.23
Phf20l1	1.76	14.74	1.05	6.69	33.77	1.93	20.46	59.15	60.43	26.97
Plec	0.04	9.38	8.88	9.38	12.97	34.04	51.69	34.87	79.43	15.95
Ppapdc1b	0.0	14.8	0.0	0.0	14.52	39.46	62.61	175.05	157.02	1.0
Prkab1	0.0	0.0	0.0	0.0	0.0	0.0	0.19	118.95	81.9	0.09
Slc4a3	0.0	12.35	0.0	3.59	0.0	20.18	0.63	61.9	48.35	15.29
Yy1	45.09	0.0	0.0	0.0	0.0	0.0	0.08	63.39	65.77	0.62
Zc3h12a	0.0	0.63	1.91	2.27	1.78	0.0	2.47	1.97	3.31	1.86
c9_tRNA-Ala-GCY_	0.0	14.36	0.0	0.0	15.51	0.0	178.21	56.62	134.87	7.2
