	Ctgf_tdTpositive_cell_1	Ctgf_tdTpositive_cell_3	Gad2_tdTpositive_cell_44	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_24	Ntsr1_tdTnegative_cell_44	Pvalb_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_1	Rbp4_tdTnegative_cell_7	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_15	Rbp4_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_1	Scnn1a.Tg3_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_23	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2
1700052N19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.53	0.0	0.0	25.1	11.5	0.0	0.0	0.0	0.0	0.0	0.0	475.77	0.0	0.0	0.0	0.0	0.0	11.05	30.67	11.44	26.8	19.16	63.27	36.52	38.53	22.47	20.67
1810063B05Rik	0.0	0.0	0.0	0.0	0.0	0.68	0.0	0.0	0.0	28.72	54.55	0.0	0.0	174.22	0.0	0.0	0.0	163.36	0.0	0.0	0.0	0.0	0.0	18.75	55.35	22.51	42.66	18.86	30.21	34.38	25.54	36.74	37.64
2210015D19Rik	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	33.15	16.11	0.0	0.26	0.0	8.95	0.0	0.0	125.37	0.0	0.0	99.84	0.0	0.0	31.59	35.49	19.94	32.76	44.34	64.92	25.52	36.6	14.61	14.93
2310015D24Rik	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.14	0.18	0.15	0.44	0.0	0.24	0.0	0.15	0.0	0.0	1.43	0.2	0.0	0.0	0.24	0.0	0.12	0.0	0.0	0.0	1.88	3.99	0.12	0.95	0.15	0.41
2410002F23Rik	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.39	0.0	45.7	8.03	152.65	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.0	82.7	51.93	70.05	65.36	85.9	58.22	80.45	74.19	61.81	71.71
2410006H16Rik	0.0	0.0	139.39	354.91	0.0	417.48	0.0	0.0	305.1	91.87	128.51	0.0	262.67	0.0	0.0	530.62	0.0	666.45	177.2	0.0	0.0	0.0	0.0	139.18	53.77	75.2	101.95	81.08	100.52	73.48	63.22	33.54	36.33
2610316D01Rik	0.0	0.0	0.0	23.4	0.0	0.0	0.0	0.0	0.0	4.49	29.88	155.39	0.0	0.0	0.0	0.0	0.0	183.76	0.0	0.0	0.0	0.0	0.0	8.86	31.11	35.71	25.04	15.11	36.52	28.06	18.49	11.33	9.95
2610507B11Rik	59.69	0.0	0.02	0.0	0.0	0.0	0.32	0.0	0.0	9.05	13.02	60.48	0.06	0.0	119.52	0.08	0.0	195.76	0.0	0.0	0.06	0.0	0.0	6.49	11.0	7.55	10.23	14.13	6.86	9.12	8.88	108.1	104.63
2700089I24Rik	2.43	0.0	0.0	0.0	1.25	0.0	0.34	0.0	1.04	1.94	1.77	4.11	0.45	0.87	0.0	0.43	0.0	4.92	0.0	0.57	0.71	0.0	0.0	0.51	1.73	1.5	2.05	0.78	0.51	1.66	1.13	0.4	0.14
4930448K20Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.07
