	Calb2_tdTpositive_cell_53	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_24	PvalbD.Slc32a1_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_81	Rbp4_tdTpositive_cell_51
1190007I07Rik	0.0	0.0	0.0	0.82	1.09	18.86	84.89	179.2	0.78	35.15	1.92	73.69	16.38
2700070H01Rik	1.8	2.08	2.54	2.71	4.2	3.34	5.13	6.68	2.92	2.85	4.49	3.78	3.22
Acox3	0.0	0.0	0.6	9.45	64.73	1.95	22.06	37.17	0.0	0.14	0.0	2.28	0.64
Adamts3	0.0	0.0	0.0	26.64	60.35	3.62	33.63	40.85	0.0	31.87	40.69	25.85	62.96
Ankrd16	0.0	0.0	0.0	0.0	6.15	0.0	111.27	76.76	0.0	0.0	0.0	0.0	0.0
Apc	0.0	10.36	25.93	0.44	12.7	30.81	48.48	63.72	30.37	37.85	19.94	61.57	46.87
Arpc2	0.0	111.77	40.44	107.14	94.94	59.31	170.34	275.42	0.0	2.74	42.52	95.38	61.01
BC016423	0.0	13.01	1.19	0.44	7.51	1.84	21.42	26.86	3.42	23.72	3.05	4.59	3.77
Brox	0.0	22.56	26.57	108.45	0.71	57.94	34.35	138.28	31.16	85.76	11.58	239.59	38.77
Calm3	4.96	190.21	183.46	237.75	187.49	206.64	204.86	351.16	177.19	78.56	174.57	299.25	278.66
Camsap1	0.79	13.17	0.32	7.56	17.18	25.41	45.13	57.68	17.28	24.88	2.04	26.51	6.54
Clint1	0.0	0.0	0.0	3.06	0.99	13.84	60.4	62.61	0.0	0.0	0.0	33.88	0.0
Glrx2	37.07	43.48	68.6	110.67	73.41	93.71	144.85	248.06	64.0	24.37	93.35	130.29	72.68
Gm14430	0.0	0.0	14.72	3.07	11.03	13.57	0.8	29.67	4.08	0.54	8.34	25.3	2.38
Gm14434	0.0	0.0	14.72	3.07	11.03	13.57	0.8	29.67	4.08	0.54	8.34	25.3	2.38
Gm4724	0.0	0.0	14.72	3.07	11.03	13.57	0.8	29.67	4.08	0.54	8.34	25.3	2.38
Ldhb	7486.96	10118.08	10894.4	11261.44	10004.69	13571.31	4358.85	3362.7	12546.17	11010.48	10182.84	7830.1	11746.38
Lhfp	0.0	0.0	0.0	0.9	0.44	0.0	13.72	22.59	7.09	0.0	13.28	68.2	0.0
Myoz3	0.15	0.0	0.98	2.98	1.14	0.81	2.91	4.28	0.62	2.09	1.92	1.89	1.37
Ogdhl	0.0	0.0	0.0	0.0	8.15	0.16	62.7	116.57	0.0	1.09	1.7	23.54	5.33
Papolg	0.0	0.0	27.9	54.45	0.89	0.73	56.92	72.05	5.95	0.0	18.97	31.3	63.19
Parl	0.0	0.77	0.0	8.08	151.39	3.44	267.63	367.74	0.63	57.19	132.58	47.12	13.54
Pcsk1n	0.0	0.12	0.88	0.17	3.1	3.97	7.08	8.29	1.12	0.0	2.49	11.18	4.9
Ppp2r3a	0.0	0.0	0.0	11.67	1.61	0.07	21.96	55.18	0.13	0.0	24.63	53.9	18.1
Prrt3	0.0	0.0	0.87	2.7	2.22	0.67	45.63	46.75	0.0	0.0	0.0	0.0	0.47
Rab8b	0.55	0.06	19.51	20.26	1.29	6.87	92.73	90.7	56.65	1.1	39.72	19.38	3.75
Rbck1	0.0	0.0	0.0	19.92	0.83	6.36	74.95	52.38	0.0	0.48	0.0	10.9	2.71
Rinl	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.19	0.0	0.0	0.0	0.13	0.0
Rras2	0.0	0.0	0.0	0.0	0.0	3.8	55.44	85.41	0.0	0.0	37.5	0.0	0.0
Slc6a17	0.0	0.94	31.29	39.23	13.31	60.55	56.49	126.22	74.16	75.78	41.45	6.68	30.08
Slc9a8	0.0	0.06	15.13	0.17	0.0	1.62	32.51	16.99	14.1	0.6	0.0	0.73	0.0
Smc6	0.0	0.0	16.95	0.39	11.65	19.52	31.56	42.8	10.17	9.33	5.82	17.28	3.71
Snora31	0.0	0.0	0.0	0.0	0.0	0.0	79.93	94.01	0.0	0.0	24.43	38.43	20.17
Sprr2a1	0.0	0.03	0.2	0.6	0.23	0.2	0.53	0.81	0.0	0.3	0.13	0.49	0.03
Sprr2a2	0.0	0.03	0.2	0.6	0.23	0.2	0.53	0.81	0.0	0.3	0.13	0.49	0.03
Tspan17	0.0	0.0	0.0	9.74	26.47	0.0	40.13	24.01	0.0	0.0	0.0	0.0	0.0
Ube2u	0.0	0.0	0.0	0.0	0.0	0.0	0.56	0.36	0.23	0.0	0.3	0.49	0.0
Vstm2a	0.0	133.12	152.08	220.6	318.56	124.5	525.33	1011.05	141.42	118.65	152.81	532.96	332.95
Zmym2	2.72	21.12	7.73	0.48	27.53	10.55	51.58	105.04	12.28	7.2	32.08	54.6	18.21
c9_SSU-rRNA_Hsa	0.0	1.0	1.8	0.7	3.97	3.05	14.2	8.24	5.33	8.65	2.83	20.45	6.58
