	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_54	Gad2_tdTpositive_cell_13	Gad2_tdTpositive_cell_43	Ndnf_tdTpositive_cell_20	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_68	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_77	Pvalb_tdTpositive_cell_84	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_7	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Rbp4_tdTpositive_cell_89
1110008J03Rik	1.5	0.0	14.59	19.68	0.0	30.8	18.84	98.05	63.35	13.25	21.84	23.8	0.0	54.01	0.79	169.95	154.42	8.84	103.16	156.91	23.25	53.02	14.65	20.23	71.31	80.38	0.7
2310010M20Rik	10.92	6.72	1.63	14.59	0.0	19.31	0.36	8.85	13.15	13.88	8.9	11.64	18.76	16.86	12.31	33.4	20.47	11.67	9.03	21.1	13.54	13.33	20.52	15.87	12.29	9.04	1.06
6030422M02Rik	8.49	25.44	0.37	29.51	0.0	41.12	0.1	27.22	27.15	42.26	53.92	22.01	55.73	56.42	53.95	74.23	53.78	35.98	25.17	65.89	47.76	47.09	43.0	42.01	45.25	55.05	0.0
A630020A06	0.42	0.76	0.51	1.75	0.0	4.11	0.5	1.37	1.21	1.03	2.06	4.66	3.31	3.29	2.09	4.25	3.39	1.87	1.8	3.67	1.24	3.55	3.57	3.28	2.02	3.09	0.31
A730017L22Rik	12.26	24.03	0.56	47.54	0.0	47.05	0.58	38.88	35.76	50.61	50.48	32.28	68.07	64.62	49.83	90.43	75.37	33.49	40.4	68.6	47.63	61.96	63.84	121.21	52.73	51.44	0.0
Acp2	83.68	19.75	7.74	6.48	0.0	21.65	20.94	28.91	17.29	76.73	38.78	82.99	0.0	58.81	7.52	99.95	40.45	43.64	8.3	57.03	18.54	4.33	30.73	4.36	22.41	31.69	0.0
Adam19	0.01	0.0	0.0	0.1	0.0	14.91	0.0	0.0	0.84	0.89	0.17	0.0	0.0	0.0	0.0	57.75	0.1	0.0	0.0	24.03	0.25	0.16	0.07	0.0	0.0	0.0	0.04
Amy2a2	0.03	0.0	0.03	0.2	0.0	0.48	0.0	0.14	0.04	0.06	0.18	0.04	0.27	0.07	0.14	1.38	0.19	0.18	0.14	0.48	0.7	0.24	0.23	0.16	0.41	0.09	0.0
Amy2a3	0.03	0.0	0.03	0.2	0.0	0.48	0.0	0.14	0.04	0.06	0.18	0.04	0.27	0.07	0.14	1.38	0.19	0.18	0.14	0.48	0.7	0.24	0.23	0.16	0.41	0.09	0.0
Amy2a4	0.03	0.0	0.03	0.2	0.0	0.48	0.0	0.14	0.04	0.06	0.18	0.04	0.27	0.07	0.14	1.38	0.19	0.18	0.14	0.48	0.7	0.24	0.23	0.16	0.41	0.09	0.0
Ap1s3	1.32	3.35	0.0	2.89	3.42	9.58	0.27	6.4	4.31	4.33	2.49	5.46	5.65	4.17	5.14	16.35	20.57	5.91	2.2	13.24	5.49	2.61	5.15	3.11	5.03	5.73	0.0
Ap3b2	0.03	0.0	5.45	0.17	0.0	14.28	3.19	28.96	29.24	39.46	15.09	88.27	197.1	62.79	6.73	147.73	18.36	10.8	29.67	113.73	32.11	36.51	145.25	43.25	41.89	73.66	146.84
Atic	134.28	0.0	0.0	0.0	0.0	18.0	0.0	1.65	24.34	36.58	7.97	0.18	0.0	0.0	0.24	61.08	0.0	0.0	63.59	59.31	2.35	0.0	0.0	0.83	0.0	0.0	0.0
B3galt2	0.0	0.0	0.0	2.06	0.0	26.86	23.34	0.0	13.08	53.11	21.37	16.69	0.0	1.53	34.36	97.08	34.7	58.93	80.56	88.18	2.12	1.74	0.0	3.97	1.27	73.35	56.83
B3galt4	0.0	0.0	0.0	0.0	0.0	13.55	0.0	0.0	0.0	61.88	0.0	0.0	0.0	0.0	0.0	75.81	0.0	0.0	0.0	122.81	0.0	0.0	0.0	0.0	0.0	53.85	0.0
B4galnt2	0.8	0.54	0.28	1.52	0.0	4.11	0.26	4.27	1.59	4.97	3.46	2.14	6.75	5.98	3.1	4.7	3.96	2.43	2.13	10.23	1.45	5.4	2.58	2.1	4.29	3.22	1.21
C130036L24Rik	0.65	0.0	0.57	5.44	0.0	5.65	0.68	1.9	3.28	2.23	8.13	3.59	5.36	5.42	5.89	13.31	9.99	1.5	1.38	11.57	2.05	5.21	7.46	10.54	1.48	4.53	0.0
C1rl	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.29	0.0	0.22	0.0	0.0	0.35	0.09	0.45	0.0	0.0	0.0	1.2	0.14	21.54	0.32	0.29	0.15	0.17	0.0
C330024D21Rik	7.78	6.38	0.09	24.01	2.72	23.82	0.0	25.24	10.97	9.81	21.55	12.35	23.1	26.68	18.68	48.68	33.74	15.93	14.89	59.1	20.22	26.84	18.37	22.7	20.22	11.98	0.39
Ccbl1	0.0	0.0	0.0	0.0	0.0	140.43	28.07	0.0	46.18	0.0	45.63	0.0	186.49	23.46	0.16	267.26	0.0	0.0	0.0	129.75	0.0	0.0	0.0	0.0	47.39	1.05	0.0
Ccdc157	0.07	0.15	0.0	0.44	0.0	1.9	0.0	0.43	1.18	0.83	0.37	0.42	1.29	1.02	0.32	2.13	0.76	0.18	0.41	1.31	0.17	0.83	30.92	0.53	0.43	0.88	0.0
Cenpt	5.72	0.0	1.07	17.43	0.0	49.37	0.0	0.0	0.39	75.53	0.0	58.04	0.0	0.0	2.29	265.73	0.0	78.69	0.0	269.41	0.0	54.62	55.36	63.92	4.66	0.0	0.0
Chm	44.17	0.0	0.0	30.07	0.0	48.63	6.03	16.63	21.68	0.0	7.8	68.15	77.74	47.27	25.67	149.01	2.69	36.53	16.79	168.92	26.36	2.29	33.5	10.21	43.86	70.09	0.07
Clasp1	2.56	19.53	4.42	0.18	0.0	23.68	1.41	10.08	31.62	38.98	22.99	51.12	0.38	13.76	29.75	34.92	53.79	0.0	11.8	17.44	14.94	19.0	26.54	8.44	1.81	50.1	74.76
