	Htr3a_tdTpositive_cell_17	PvalbD.Slc32a1_tdTpositive_cell_6	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
1600015I10Rik	0.0	0.0	0.04	0.04
1700003L19Rik	0.0	0.0	0.14	0.14
1700009J07Rik	0.0	0.0	0.11	0.11
1700024P03Rik	0.0	0.0	0.21	0.21
1700061J05Rik	0.0	0.0	0.11	0.11
4930403N07Rik	0.0	0.0	0.04	0.04
4930455B14Rik	0.0	0.0	0.09	0.09
4930528F23Rik	0.0	0.0	0.06	0.06
4930544D05Rik	0.0	0.0	0.16	0.16
4930555B11Rik	0.0	0.0	0.07	0.07
9430041J12Rik	0.0	0.0	5.03	4.55
AU022754	0.0	0.31	3.34	3.41
Adamdec1	0.0	0.0	0.04	0.04
Akr1c12	0.0	0.0	0.08	0.08
Aldh1b1	0.0	0.1	9.63	10.25
Apob	0.0	0.0	0.01	0.01
Blk	0.0	0.0	0.04	0.04
Capn13	0.0	0.0	0.04	0.04
Ccr3	0.0	0.0	0.03	0.03
Ceacam15	0.0	0.0	0.07	0.07
Ces1a	0.0	0.0	0.05	0.05
Clec12b	0.0	0.0	0.07	0.07
Crlf2	0.0	0.0	18.3	20.21
Cyb5rl	0.0	0.0	3.48	3.27
Cyp3a57	0.0	0.0	0.06	0.06
Dcaf12	0.0	0.43	39.11	36.48
Dnajc5b	0.0	0.0	0.11	0.11
Ephb2	0.2	0.45	10.98	12.45
Ero1lb	0.0	0.0	15.1	15.52
Fan1	0.0	0.0	7.54	8.45
Fbxl12	0.0	0.0	11.29	12.01
Fchsd2	0.0	0.0	28.95	29.37
Fmo4	0.0	0.0	0.06	0.06
Fndc3c1	0.0	0.0	0.02	0.02
Gipc2	0.0	0.0	1.9	1.88
Gm12633	0.0	0.0	0.06	0.06
Gm1647	0.0	0.0	0.14	0.14
Gm17801	0.15	0.17	0.54	0.35
Gm20597	0.0	0.5	0.83	0.88
Gm4745	0.0	0.0	0.08	0.08
Gm7120	0.0	0.0	18.92	35.55
Gpr183	0.0	0.0	0.9	0.83
Gspt2	0.0	0.0	29.34	27.86
Gzma	0.0	0.0	0.12	0.12
H2-Ke6	0.0	0.0	32.23	39.89
Hal	0.0	0.0	0.04	0.04
Hist1h3f	0.0	0.0	0.14	0.14
Hoxd8	0.0	0.0	0.07	0.07
Hsf4	0.0	0.0	13.92	16.08
Il22ra1	0.21	0.22	0.51	0.53
Itgb6	0.0	0.0	0.1	0.04
Kctd19	0.0	0.0	0.03	0.03
Kel	0.0	0.0	0.04	0.04
Kera	0.0	0.0	0.05	0.05
Lao1	0.0	0.0	0.05	0.05
Lect2	0.0	0.0	0.12	0.12
Ltf	0.0	0.0	0.04	0.04
Mirlet7d	0.0	0.0	7.37	1.73
Muc4	0.0	0.0	0.02	0.02
Myo1d	0.0	0.0	8.31	8.53
Myog	0.0	0.0	0.07	0.07
Ncr1	0.0	0.0	0.07	0.07
Nhlrc3	0.0	3.43	5.88	7.78
Nox4	0.0	0.0	0.06	0.06
Olfr1372-ps1	0.0	0.0	0.23	0.32
Olfr15	0.0	0.0	0.11	0.11
Otud7b	0.08	0.59	19.77	19.81
Otx1	0.0	0.0	5.06	5.71
Otx2os1	0.0	0.0	0.14	0.14
Pappa	0.0	0.0	0.21	0.27
Pof1b	0.0	0.0	0.33	0.42
Prps1l1	0.0	0.0	0.06	0.06
Prr5	0.21	0.16	5.73	4.84
Prrt2	0.0	19.28	264.19	274.77
Rabl2	0.0	8.48	33.51	32.35
Rad54b	0.04	0.05	1.01	1.48
Raet1d	0.0	0.0	0.16	0.16
Rasl11b	0.0	0.0	87.11	88.75
Rnase13	0.0	0.0	0.17	0.17
Sct	0.0	0.0	0.21	0.21
Sil1	0.0	0.0	22.43	24.79
Slc35f3	0.0	4.83	31.43	30.67
Slc4a1	0.0	0.0	0.02	0.02
Slco6c1	0.0	0.0	0.04	0.04
Slfnl1	0.0	0.0	0.06	0.06
Tac4	0.0	0.0	0.08	0.08
Tas1r2	0.0	0.0	0.03	0.03
Tas2r137	0.0	0.0	0.1	0.1
Tcstv1	0.0	0.0	0.12	0.12
Ttc39d	0.0	0.0	0.05	0.05
Ubox5	0.0	0.0	8.96	9.38
Usp40	0.0	0.0	11.22	11.93
Vax2os2	0.0	0.0	0.07	0.07
Vezf1	0.0	0.0	21.39	21.47
Vmn1r210	0.0	0.0	0.11	0.11
Vmn2r11	0.0	0.0	0.04	0.04
Wdr48	28.64	0.66	59.3	56.68
Zbtb9	0.16	1.39	15.69	16.7
Zfp654	0.0	0.0	12.06	11.52
Zp3r	0.0	0.0	0.05	0.05
c11_5S	0.0	0.0	1.25	7.4
mt_AK131586	0.0	0.0	25813.35	24561.45
mt_AK166684	0.0	0.0	18796.57	18655.33
mt_BC104337	0.0	0.0	9032.87	8583.15
