	PvalbD.Slc32a1_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_71	PvalbF.Gad2_tdTpositive_cell_81	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1200009I06Rik	0.0	0.0	0.0	1.08	0.86	0.91
1700018A04Rik	0.0	0.0	0.0	0.14	0.14	0.3
1700123L14Rik	0.0	0.0	0.0	0.18	0.17	0.3
1810033B17Rik	0.0	0.0	0.0	0.36	0.25	0.18
2310043L19Rik	0.0	0.0	0.0	0.15	0.14	0.15
2810408I11Rik	0.0	0.0	0.0	1.01	1.22	0.15
4930448H16Rik	0.0	0.0	0.0	0.0	0.16	0.18
4930455B14Rik	0.0	0.0	0.0	0.09	0.0	0.09
4930456L15Rik	0.0	0.0	0.0	0.0	0.08	0.09
4930486L24Rik	0.0	0.0	0.0	0.36	0.07	0.3
4930526D03Rik	0.0	0.0	0.0	0.14	0.14	0.15
4930596M17Rik	0.0	0.0	0.0	0.42	0.0	0.15
4932702P03Rik	0.0	0.0	0.0	0.0	0.5	0.6
4933401P06Rik	0.0	0.0	0.0	0.8	0.32	1.17
5730420D15Rik	0.0	0.0	0.0	0.26	0.08	0.18
5830473C10Rik	0.0	0.0	0.0	0.18	0.17	0.09
A3galt2	0.0	0.0	0.0	0.32	0.19	0.18
A730020M07Rik	0.0	0.0	0.0	0.25	0.25	0.36
AW551984	0.0	0.0	0.0	4.19	4.75	4.8
Abcc6	0.0	0.0	0.0	1.48	1.55	1.2
Acsm4	0.0	0.0	0.0	0.14	0.09	0.09
Adam33	0.0	0.0	0.0	6.57	5.99	5.76
Adcy4	0.0	0.0	0.0	2.9	2.43	2.3
Adh7	0.0	0.0	0.0	0.19	0.18	0.15
Aldh3b2	0.0	0.0	0.0	1.92	1.69	0.98
Alx3	0.0	0.0	0.0	0.8	0.75	0.6
Ano7	0.0	0.0	0.0	0.09	0.23	0.09
Apol10b	0.0	0.0	0.0	0.5	0.47	0.36
Apold1	0.0	0.0	9.79	7.34	5.87	2.69
Apom	0.0	0.0	0.0	0.43	0.0	0.15
Aqp2	0.0	0.0	0.0	0.07	0.13	0.15
Arhgap10	0.0	0.0	0.0	20.74	20.65	19.65
Arhgap28	0.0	0.0	0.0	0.46	0.28	0.36
Arhgef16	0.0	0.0	0.0	0.29	0.17	0.3
Arpc1b	0.0	0.0	0.0	22.11	22.95	26.75
Asgr1	0.0	0.0	0.0	2.34	1.37	0.91
Asgr2	0.0	0.0	0.0	0.0	0.14	0.15
Atp6v0a4	0.0	0.0	0.0	0.19	0.24	0.23
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
BC055402	0.0	0.0	0.0	0.15	0.25	0.18
Bcas1	0.0	0.0	0.0	90.58	94.3	106.69
Bdkrb2	0.0	0.0	0.0	0.47	0.17	0.18
C030007H22Rik	0.0	0.0	0.0	0.35	0.66	0.36
C330006K01Rik	4.3	0.92	0.46	15.66	17.41	15.65
C7	0.0	0.0	0.0	1.06	1.0	0.6
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Cacng1	0.0	0.0	0.0	0.08	0.39	0.09
Car1	0.0	0.0	0.0	0.25	0.24	0.09
Casq1	0.0	0.0	0.0	0.79	0.55	1.2
Ccdc63	0.0	0.0	0.0	0.09	0.24	0.09
Ccdc69	0.0	0.0	0.0	0.49	0.46	0.36
Ccrl1	0.0	0.0	0.0	0.19	0.4	0.15
Cd244	0.0	0.0	0.0	0.05	0.05	0.05
Cd36	0.0	0.0	0.0	1.31	0.9	1.17
Cda	0.0	0.0	0.0	1.89	2.02	2.34
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Chst4	0.0	0.0	0.0	0.1	0.09	0.15
Cilp2	0.0	0.0	0.0	1.15	1.17	0.91
Cmtm2a	0.0	0.0	0.0	0.38	0.28	0.3
Cnksr3	0.0	0.0	0.0	4.79	4.49	4.68
Cpz	0.0	0.0	0.0	0.05	0.21	0.09
Creb3l3	0.0	0.0	0.0	0.87	0.2	0.36
Cryaa	0.0	0.0	0.0	0.09	0.16	0.18
Cuzd1	0.0	0.0	0.0	0.61	0.33	0.72
Cxcl13	0.0	0.0	0.0	0.17	0.0	0.09
Cyp27a1	0.0	0.0	0.0	5.04	5.59	4.12
D030025E07Rik	0.0	0.0	0.0	0.0	0.12	0.09
D6Ertd527e	0.0	0.0	0.0	0.0	0.08	0.09
D730039F16Rik	0.0	0.0	0.0	0.42	0.48	0.3
Depdc1a	0.0	0.0	0.0	0.08	0.07	0.09
Depdc1b	0.0	0.0	0.0	0.66	0.74	0.6
Dlec1	0.0	0.0	0.0	1.68	1.56	1.17
Dlx4	0.0	0.0	0.0	0.22	0.31	0.3
Dmgdh	0.0	0.0	0.0	0.77	0.56	0.3
Dmrt3	0.0	0.0	0.0	0.12	0.23	0.09
Dok2	0.0	0.0	0.0	0.75	1.04	0.72
Duox1	0.0	0.0	0.0	0.09	0.05	0.15
Dupd1	0.0	0.0	0.0	0.18	0.17	0.09
E2f7	0.0	0.0	0.0	0.16	0.25	0.15
Eda2r	0.0	0.0	0.0	0.14	0.16	0.15
Efcab6	0.0	0.0	0.0	5.74	6.15	5.76
Enpp3	0.0	0.0	0.0	0.46	0.4	0.36
Epx	0.0	0.0	0.0	0.26	0.28	0.15
F630111L10Rik	0.0	0.0	0.0	0.06	0.06	0.06
Fam160a1	0.0	0.0	0.0	2.19	2.76	2.4
Fam167b	0.0	0.0	0.0	0.43	0.91	0.66
Fam24a	0.0	0.0	0.0	0.29	0.0	0.3
Fam83h	0.0	0.0	0.0	2.27	2.57	2.06
Fam92b	0.0	0.0	0.0	0.93	0.72	0.09
Fat2	0.0	0.0	0.0	0.03	0.08	0.09
Fbxo24	0.0	0.0	0.0	0.6	0.47	0.66
Fcgr2b	0.0	0.0	0.0	3.58	5.05	4.68
Fgf16	0.0	0.0	0.0	0.36	0.34	0.33
Fgf17	0.0	0.0	0.0	0.35	0.44	0.3
Fgl2	0.0	0.0	0.0	1.67	1.82	1.83
Fgr	0.0	0.0	0.0	0.15	0.08	0.09
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Fscn2	0.0	0.0	0.0	0.29	0.38	0.3
Fzd8	0.0	0.0	0.0	3.18	3.3	3.55
Gal	0.0	0.0	0.0	0.15	0.69	0.15
Gbp5	0.03	0.0	0.0	3.46	2.25	2.96
Gipr	0.0	0.0	0.0	2.77	2.77	3.21
Glb1l2	0.0	0.0	0.0	0.43	0.43	0.36
Glra4	0.0	0.0	0.0	0.28	0.0	0.15
Gltpd2	0.0	0.0	0.0	0.17	0.24	0.09
Gm10474	0.0	0.0	0.0	0.14	0.27	0.15
Gm10510	0.0	0.0	0.0	0.0	0.13	0.15
Gm10684	0.0	0.0	0.0	0.17	0.15	0.18
Gm10714	0.0	0.0	0.0	0.35	0.11	0.36
Gm1082	0.0	0.0	0.0	0.04	0.07	0.15
Gm13238	0.0	0.0	0.0	1.31	1.18	2.85
Gm6225	1.06	9.78	0.0	2.97	2.27	3.5
Gm7244	0.0	0.0	0.0	1.14	1.62	1.03
Gm9054	0.0	0.0	0.0	0.0	0.14	0.15
Gpr30	0.0	0.0	0.0	2.87	2.56	2.4
Gpr65	0.0	0.0	0.0	0.15	0.05	0.15
Gstt3	0.0	0.0	0.0	2.54	2.4	2.3
Gtsf1	0.0	0.0	0.0	0.14	0.0	0.15
Gyltl1b	0.0	0.0	0.0	0.16	0.12	0.09
H2-K1	0.0	0.0	0.0	31.51	30.73	29.74
Hgfac	0.0	0.0	0.0	0.0	0.18	0.15
Hhipl2	0.0	0.0	0.0	0.43	0.61	0.3
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hpd	0.0	0.0	0.0	0.07	0.07	0.15
Htr1a	0.0	0.0	0.0	14.68	13.16	13.87
Icos	0.0	0.0	0.0	0.12	0.14	0.09
Il13	0.0	0.0	0.0	0.08	0.16	0.09
Il1f5	0.0	0.0	0.0	0.27	0.22	0.18
Il22	0.0	0.0	0.0	0.28	0.35	0.15
Insm2	0.0	0.0	0.0	0.25	0.27	0.36
Insrr	0.0	0.0	0.0	0.27	0.27	0.3
Irx1	0.0	0.0	0.0	0.34	0.32	0.6
Kcne2	0.0	0.0	0.0	0.29	0.17	0.36
Kcne4	0.0	0.0	0.0	2.37	2.08	0.91
Kcnk5	0.0	0.0	0.0	0.44	0.69	0.33
Kcnk7	0.0	0.0	0.0	0.18	0.0	0.09
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Kif1c	0.56	0.0	0.0	43.8	44.6	46.11
Kir3dl2	0.0	0.0	0.0	0.52	0.22	0.18
Krt18	0.0	0.0	0.0	0.57	0.34	0.66
Krt23	0.0	0.0	0.0	0.39	0.61	0.6
Krt83	0.0	0.0	0.0	0.16	0.06	0.09
Lamb3	0.0	0.0	0.0	1.31	1.14	1.03
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lcn12	0.0	0.0	0.0	0.14	0.0	0.15
Lmx1b	0.0	0.0	0.0	0.08	0.08	0.09
Lrrc43	0.0	0.0	0.0	0.63	0.91	0.6
Lta	0.0	0.0	0.0	0.0	0.27	0.15
Ltb4r1	0.0	0.0	0.0	0.57	0.34	0.3
Ltbp2	0.0	0.0	0.0	0.3	0.2	0.3
Ly6d	0.0	0.0	0.0	0.74	0.7	0.46
Lyve1	0.0	0.0	0.0	1.23	1.07	0.98
Madcam1	0.0	0.0	0.0	0.07	0.4	0.15
Mfrp	0.0	0.0	0.0	0.28	0.35	0.15
Mgst2	0.0	0.0	0.0	0.35	0.0	0.18
Mlkl	0.0	0.0	0.0	0.41	0.28	0.3
Mosc1	0.0	0.0	0.0	0.41	0.13	0.09
Msx1	0.0	0.0	0.0	3.73	3.8	2.88
Mybph	0.0	0.0	0.0	0.07	0.34	0.3
Mybphl	0.0	0.0	0.0	0.08	0.07	0.09
Myct1	0.0	0.0	0.0	0.85	0.68	0.92
Myh3	0.0	0.0	0.0	1.56	1.47	1.17
Myl12a	17.01	0.0	37.51	23.8	21.93	21.36
Myoz2	0.0	0.0	0.0	0.26	0.08	0.18
Naprt1	0.0	0.0	0.0	4.62	4.74	6.45
Neil3	0.0	0.0	0.0	0.35	0.12	0.36
Neurog2	0.0	0.0	0.0	1.43	1.22	1.2
O3far1	0.0	0.0	0.0	0.0	0.14	0.15
Oit3	0.0	0.0	0.0	0.11	0.0	0.15
Olfr316	0.0	0.0	0.0	1.09	1.35	2.06
Olfr464	0.0	0.0	0.0	2.32	0.88	1.82
Otop2	0.0	0.0	0.0	1.36	1.08	1.44
Otp	0.0	0.0	0.0	0.0	0.32	0.18
Otx2	0.0	0.0	0.0	0.17	0.16	0.18
Parp4	0.0	0.25	0.31	2.9	3.18	3.35
Parvb	0.0	0.0	0.39	13.85	15.05	16.87
Pawr	0.0	0.0	0.0	3.26	3.17	2.41
Pdia2	0.0	0.0	0.0	0.35	0.44	0.3
Pebp4	0.0	0.0	0.0	0.0	0.18	0.15
Phf11	0.0	0.0	0.0	0.11	0.27	0.15
Pmel	0.0	0.0	0.0	0.24	0.68	0.3
Pmp2	0.0	0.0	0.0	0.07	0.07	0.15
Prr15l	0.0	0.0	0.0	0.22	0.14	0.15
Rgag1	0.0	0.0	0.0	0.88	0.94	1.03
Rhcg	0.0	0.0	0.0	0.71	0.63	1.17
Rsph4a	0.04	0.0	0.27	2.16	2.12	2.16
Samd9l	0.0	0.0	0.0	1.91	1.63	2.07
Sbk2	0.0	0.0	0.0	0.18	0.25	0.09
Sds	0.0	0.0	0.0	1.21	1.55	1.96
Siglec5	0.06	0.0	0.0	0.49	0.72	0.63
Sit1	0.0	0.0	0.0	0.0	0.16	0.09
Slc12a1	0.0	0.0	0.0	0.04	0.08	0.15
Slc14a2	0.0	0.0	0.0	0.6	0.75	0.15
Slc22a7	0.0	0.0	0.0	0.1	0.23	0.36
Slc38a4	0.0	0.0	0.0	0.65	0.66	0.72
Slc45a3	0.0	0.0	0.0	1.13	1.37	1.2
Slc47a2	0.0	0.0	0.0	0.21	0.08	0.09
Slc6a3	0.0	0.0	0.0	0.2	0.16	0.18
Slco4c1	0.0	0.0	0.0	2.64	1.87	2.34
Sox15	0.0	0.0	0.0	0.0	0.08	0.09
Spink8	0.0	0.0	0.0	7.27	5.28	6.42
Stk33	0.0	0.0	0.0	0.83	1.01	1.15
Sult5a1	0.0	0.0	0.0	0.61	0.41	0.36
Sult6b1	0.0	0.0	0.0	0.14	0.18	0.15
Sun3	0.0	0.0	0.0	0.08	0.09	0.09
Tal2	0.0	0.0	0.0	0.18	0.33	0.18
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tfap2c	0.0	0.0	0.0	0.18	0.27	0.15
Tll2	0.0	0.0	0.0	0.44	0.52	0.6
Tmem171	0.0	0.0	0.0	0.17	0.25	0.18
Tmem30b	0.0	0.0	0.0	0.0	0.08	0.09
Tmem8c	0.0	0.0	0.0	0.37	0.39	0.15
Tnfrsf8	0.0	0.0	0.0	2.15	1.25	1.44
Tph1	0.0	0.0	0.0	0.23	0.28	0.18
Tph2	0.0	0.0	0.0	1.2	1.1	1.44
Tpsg1	0.0	0.0	0.0	0.0	0.16	0.09
Trap1a	0.0	0.0	0.0	0.0	0.08	0.09
Trdn	0.0	0.0	0.0	0.19	0.1	0.18
Treml4	0.0	0.0	0.0	0.12	0.16	0.18
Trim47	0.0	0.0	0.0	3.93	3.74	3.68
Tslp	0.0	0.0	0.0	0.09	0.17	0.09
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Txk	0.0	0.0	0.0	0.26	0.41	0.18
Tyrp1	0.0	0.0	0.0	0.04	0.1	0.15
Ugt1a6b	0.0	0.0	0.0	1.03	0.39	0.6
Usp50	0.0	0.0	0.0	0.34	0.21	0.18
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn1r206	0.0	0.0	0.0	0.65	0.2	0.3
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Vmn2r85	0.0	0.0	0.0	1.22	0.35	0.72
Wdr69	0.0	0.0	0.0	0.48	0.23	0.46
Wnt11	0.0	0.0	0.0	0.14	0.43	0.18
Wnt8b	0.0	0.0	0.0	0.12	0.14	0.09
Xpnpep2	0.0	0.0	0.0	0.25	0.08	0.09
Yipf7	0.0	0.0	0.0	0.08	0.08	0.09
Zar1l	0.0	0.0	0.0	0.7	0.66	1.2
Zfp583	0.0	0.0	19.55	6.32	5.11	4.27
Zmynd15	0.0	0.0	0.0	0.55	0.25	0.3
Zp2	0.0	0.0	0.0	0.18	0.08	0.09
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
