	Calb2_tdTpositive_cell_41	Calb2_tdTpositive_cell_44	Calb2_tdTpositive_cell_54	Calb2_tdTpositive_cell_59	Gad2_tdTpositive_cell_15	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_45	Gad2_tdTpositive_cell_54	Htr3a_tdTpositive_cell_21	Htr3a_tdTpositive_cell_31	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_41	Htr3a_tdTpositive_cell_47	Htr3a_tdTpositive_cell_68	Htr3a_tdTpositive_cell_81	Htr3a_tdTpositive_cell_90	Ndnf_tdTpositive_cell_15	Rbp4_tdTpositive_cell_165	Vip_tdTpositive_cell_4	Vip_tdTpositive_cell_6	Vip_tdTpositive_cell_9	Vip_tdTpositive_cell_25	Vip_tdTpositive_cell_26	Vip_tdTpositive_cell_27	Vip_tdTpositive_cell_29	Vip_tdTpositive_cell_37	Vip_tdTpositive_cell_44	Vip_tdTpositive_cell_47	Vip_tdTpositive_cell_49	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1500002O20Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.17	0.0	0.0	0.0	0.0	0.0	45.88	0.0	1.98	9.82	0.0	0.0	0.0	6.8	0.0	0.0	0.0	0.0	0.0	0.0	5.67	10.46	2.4	12.09	4.51	2.35	32.19	33.75	32.27
2310009A05Rik	43.71	105.67	35.54	0.0	0.0	0.0	0.0	136.93	0.0	0.0	2.26	0.0	0.0	0.0	0.0	0.0	98.75	0.0	117.69	42.16	0.0	0.0	0.0	0.0	192.91	198.7	0.0	0.0	42.32	0.0	32.54	73.42	95.11	57.31	82.19	82.19	14.97	19.14	18.33
2410127L17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.55	0.0	5.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.88	6.57	2.0	2.3	2.81	1.84	14.1	13.11	11.92
2510049J12Rik	0.33	0.29	0.29	1.12	3.34	1.35	1.76	2.22	0.0	0.9	0.0	0.81	1.78	0.6	1.05	0.44	7.46	1.33	0.94	0.72	0.0	0.0	2.02	0.0	0.18	1.76	1.69	0.0	0.37	0.78	0.96	0.21	0.59	0.8	2.12	1.11	2.97	1.96	2.14
2810410L24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.06	0.0	0.0	0.0	0.0	0.0	43.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.62	3.57	4.08
Actn1	0.0	1.64	2.01	0.15	24.91	0.0	0.0	8.76	18.22	24.27	28.2	3.81	0.0	0.0	21.97	13.72	22.68	0.0	35.64	0.0	0.0	3.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.87	31.97	66.19	38.87	41.49	36.84	72.48	66.41	70.2
Ano8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	44.01	50.03	48.35
Bcam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.85	14.28	10.6
C2cd4c	0.0	0.0	0.06	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.87	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.13	0.0	0.0	0.44	0.0	0.22	7.37	7.59	7.28
Cacng8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	79.14	89.85	96.85
Ccl27b	0.0	5.41	0.0	16.36	0.0	0.0	6.68	0.0	0.0	0.0	0.0	5.27	0.0	9.38	0.0	5.02	22.21	0.0	40.26	7.77	7.33	0.0	13.03	0.0	0.0	0.0	0.0	0.0	0.0	0.18	74.98	54.7	75.81	61.27	76.52	71.98	30.63	28.29	22.96
Coro2a	0.0	0.0	0.0	3.64	0.0	0.0	0.0	0.24	0.38	0.0	0.0	0.0	0.2	0.0	0.25	0.83	7.14	0.0	1.13	0.0	0.0	0.15	0.0	0.14	0.0	0.0	0.0	0.16	0.11	0.05	7.79	2.77	1.87	6.27	8.89	4.35	24.12	25.94	24.68
Crtac1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.75	0.0	16.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.46	4.54	0.38	4.57	2.5	2.26	62.95	67.27	66.8
Csnk1a1	159.78	2.06	0.0	10.43	0.0	2.49	0.17	44.67	81.5	0.0	0.0	32.88	187.08	11.38	89.04	150.76	251.83	0.0	39.4	0.0	0.0	0.0	2.79	0.0	47.86	0.0	49.35	0.0	1.4	0.25	78.25	44.05	29.29	66.5	58.75	64.85	245.55	230.34	231.46
Csrnp1	0.0	0.0	0.0	1.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.23	0.0	0.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.14	0.62	0.0	1.34	0.83	0.72	12.73	12.69	6.34
Ctnnb1	0.48	59.67	1.39	27.26	235.34	11.51	17.68	373.16	191.56	0.0	165.61	66.37	0.0	160.44	156.49	0.14	509.04	26.45	66.59	0.25	0.0	67.97	0.0	19.66	182.74	0.0	45.41	99.98	0.23	0.43	46.33	45.63	29.08	69.24	52.96	76.87	353.19	361.18	345.18
