	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_54	Gad2_tdTpositive_cell_15	Gad2_tdTpositive_cell_29	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_45	Gad2_tdTpositive_cell_54	Htr3a_tdTpositive_cell_21	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_41	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_47	Htr3a_tdTpositive_cell_57	Htr3a_tdTpositive_cell_68	Htr3a_tdTpositive_cell_81	Ndnf_tdTpositive_cell_20	Nr5a1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_78	Ntsr1_tdTnegative_cell_19	Rbp4_tdTpositive_cell_174	Rbp4_tdTpositive_cell_175	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTnegative_cell_22	Sst_tdTpositive_cell_24	Vip_tdTpositive_cell_4	Vip_tdTpositive_cell_9	Vip_tdTpositive_cell_16	Vip_tdTpositive_cell_18	Vip_tdTpositive_cell_27	Vip_tdTpositive_cell_29	Vip_tdTpositive_cell_38	Vip_tdTpositive_cell_49
4930511M06Rik	6.66	44.02	109.48	220.59	123.6	48.01	173.22	147.23	91.51	70.56	78.7	28.21	82.16	186.26	187.38	169.01	61.84	220.85	843.64	17.08	486.26	1120.28	264.98	4.67	73.99	145.38	151.44	0.0	102.82	93.65	42.9	149.59	88.29
6030422M02Rik	23.37	43.93	95.69	138.28	76.77	53.32	89.07	99.98	95.36	45.4	63.68	71.54	46.95	139.65	146.38	148.14	0.0	196.47	452.6	18.19	223.49	544.11	214.24	6.45	18.05	113.96	91.7	10.95	116.27	84.9	10.41	94.11	74.04
8430403D17Rik	0.0	0.43	0.96	0.14	0.0	0.07	0.0	0.0	0.5	0.0	0.0	0.6	0.0	0.0	0.0	0.19	0.0	1.14	0.58	0.0	1.84	2.84	0.62	0.0	0.09	0.28	0.19	0.0	0.0	0.3	0.0	0.23	0.0
A430107P09Rik	23.73	32.96	51.87	143.42	72.3	42.67	89.77	106.99	106.27	61.34	52.77	13.23	49.52	189.21	136.37	89.4	0.0	222.11	560.09	29.82	428.86	662.58	435.22	0.0	41.39	75.62	86.83	8.72	98.4	69.32	9.91	101.94	123.91
Acnat1	3.05	7.01	32.07	36.28	23.98	16.86	36.21	24.05	27.13	13.65	14.54	5.32	22.13	40.47	26.72	19.65	0.0	48.95	115.76	2.03	124.44	202.55	61.34	0.0	15.91	23.86	23.64	6.0	14.85	11.82	7.87	24.92	27.53
Adam28	1.0	1.01	5.46	6.93	5.47	2.03	0.9	2.64	1.58	3.61	2.93	1.38	1.82	4.23	4.9	2.7	1.12	10.22	26.0	2.89	28.28	35.08	5.57	0.0	0.79	1.92	2.35	0.12	2.31	1.59	2.49	4.05	1.67
Aqp7	0.91	3.36	1.08	5.72	4.66	0.37	5.05	3.34	3.69	3.54	3.34	1.94	3.37	9.22	6.27	2.99	0.0	20.36	34.86	5.29	41.39	38.54	17.71	1.24	1.63	4.1	2.72	0.3	5.53	3.78	0.63	4.87	7.49
Bmp8b	0.0	0.13	1.36	0.76	1.38	0.61	0.25	0.96	1.94	0.28	0.1	0.0	0.0	2.16	0.76	0.64	0.0	1.47	10.45	0.19	3.62	9.8	6.11	0.0	0.25	0.16	0.52	0.0	0.64	0.0	0.39	0.45	0.0
Car5b	1.88	4.77	4.52	8.51	5.96	3.49	3.88	2.66	4.4	4.23	2.16	1.81	3.16	6.47	4.27	6.08	0.0	14.12	36.15	1.12	27.35	31.65	15.61	0.28	2.61	3.98	2.79	0.33	4.76	3.51	0.42	4.89	6.08
Cbln3	1.14	0.4	4.09	3.71	2.56	1.06	0.36	2.86	1.23	1.73	0.82	0.61	1.06	1.35	2.0	0.84	0.0	5.55	7.69	2.18	5.52	10.25	6.02	0.15	0.72	1.54	1.44	0.0	1.02	0.9	0.29	1.28	1.74
