	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_2	Ndnf_tdTpositive_cell_20	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700047I17Rik2	1.48	11.61	0.0	17.56	16.4	17.92
5830433M19Rik	0.0	0.0	0.0	8.78	7.3	7.42
6330407J23Rik	0.06	2.6	0.0	49.96	45.74	58.4
AU018091	0.0	0.0	0.0	0.06	0.06	0.06
Alox12	0.0	0.0	0.0	0.71	0.51	0.96
Amica1	0.0	0.0	0.0	0.53	0.66	0.05
Amy2a2	0.0	0.0	0.0	0.26	0.19	0.21
Amy2a3	0.0	0.0	0.0	0.26	0.19	0.21
Amy2a4	0.0	0.0	0.0	0.26	0.19	0.21
Antxr2	0.0	0.0	0.0	1.4	1.36	1.33
Bag1	0.19	0.0	0.0	146.96	156.33	154.32
Brap	0.13	0.0	0.0	39.73	39.84	40.7
C1ra	0.0	0.0	0.0	2.46	2.46	3.03
Ccl27b	0.54	0.0	0.0	30.63	28.29	22.96
Ccr9	0.25	0.0	0.0	0.38	0.66	0.73
Cd244	0.0	0.0	0.0	0.05	0.05	0.05
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Ctnnal1	4.83	0.0	0.0	12.31	12.28	13.35
Diras2	0.14	0.0	0.0	212.34	197.14	211.74
Dll3	0.11	0.0	0.0	2.19	2.12	2.24
F630111L10Rik	0.0	0.0	0.0	0.06	0.06	0.06
Fam175a	0.0	0.0	0.0	5.05	4.04	4.49
Fam177a	1.48	11.61	0.0	17.56	16.4	17.92
Fam54a	0.15	0.0	0.0	0.46	0.53	0.44
Fbxw8	0.0	0.0	0.0	22.44	24.04	24.28
Foxo4	0.0	0.0	0.0	14.7	14.61	14.28
Furin	0.0	0.0	0.0	18.09	20.87	17.74
Gm13306	0.54	0.0	0.0	30.63	28.29	22.96
Gm14015	0.17	0.0	0.0	0.55	0.48	0.54
Gm14431	0.0	0.0	0.0	8.87	7.17	8.34
Gm2506	0.54	0.0	0.0	30.63	28.29	22.96
Gm5803	0.0	0.0	0.0	0.7	0.39	0.65
Gm8898	0.0	0.0	0.0	8.87	7.17	8.34
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Hyal2	0.0	0.0	0.0	8.97	10.88	8.82
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Kif5b	0.15	2.02	0.0	117.91	103.31	125.36
Klhl2	0.0	0.0	0.0	186.83	191.01	181.66
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Ldlrad3	0.0	0.0	0.0	9.04	7.94	8.8
Lrrc47	0.0	0.0	0.0	38.19	42.67	38.86
Lsm14b	0.68	0.0	0.0	66.75	73.07	69.63
Mapkbp1	0.0	0.38	0.0	28.61	27.57	30.3
Nat9	0.22	0.0	0.0	19.41	22.32	20.14
Phf12	0.0	0.0	0.0	34.51	36.87	35.45
Pop5	0.0	0.0	0.0	68.3	76.5	66.07
Ranbp10	0.0	0.0	0.0	20.22	19.31	20.42
Rnaseh2c	0.0	0.0	0.0	31.49	34.78	33.82
Sirt7	7.04	0.0	0.0	42.98	45.07	44.95
Stau1	0.0	0.0	0.0	56.08	56.43	52.97
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tm9sf2	0.0	0.0	0.0	117.92	122.27	115.06
Tmem150c	0.0	0.0	0.0	32.53	32.76	31.22
Tmem29	0.0	0.0	0.0	25.48	22.61	23.6
Trib2	0.0	0.0	0.0	29.1	25.99	14.95
Trim28	0.08	0.0	0.0	86.22	96.76	85.68
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Usp47	0.0	0.0	0.0	50.06	49.08	47.58
Wnt5b	0.0	0.0	0.0	1.58	2.2	1.72
Zcchc6	0.0	0.0	0.0	30.73	27.71	31.01
Zfp830	0.25	0.96	0.0	9.6	8.15	8.84
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
Zufsp	0.0	0.0	0.0	7.0	6.35	6.35
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
