	Chrna2_tdTpositive_cell_62	Htr3a_tdTpositive_cell_85	Pvalb_tdTpositive_cell_20	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_34	Pvalb_tdTpositive_cell_44	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_56	Pvalb_tdTpositive_cell_66	Pvalb_tdTpositive_cell_68	Pvalb_tdTpositive_cell_69	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110065P20Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.39	0.0	0.0	0.0	61.88	75.89	73.29
1700109H08Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.68	0.0	0.0	0.0	1.91	2.56	2.62
2310040G24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.27	0.0	0.0	0.0	1.19	1.62	1.63
4930403N07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
4933412E12Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	6.01	6.43	6.1
Abtb2	0.0	15.85	2.45	0.0	0.0	0.0	0.0	23.39	0.0	0.0	0.0	7.15	8.36	8.29
Accn1	0.14	0.12	0.0	15.52	0.0	0.0	0.0	2.94	0.14	0.0	0.0	50.26	51.96	53.47
Acss3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.68	0.0	0.0	0.0	0.75	0.65	1.06
Aoah	0.13	0.0	0.0	0.22	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.23	0.35	0.25
Ap1g2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	5.51	4.63	6.54
Aqp11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.74	22.41	22.88
Arhgef16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.29	0.17	0.3
Arid2	0.08	0.0	0.0	14.88	0.0	0.0	0.2	10.07	11.44	0.0	0.0	14.88	13.97	15.09
Ascc2	0.0	0.0	0.0	0.0	8.6	16.45	0.0	0.0	0.0	0.0	0.0	18.34	16.82	17.46
Blk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Bmx	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.82	0.93	1.25
C730036E19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.11	0.0	0.07
Cenpk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.04	0.91	0.77
Ces1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Clip2	0.0	0.0	0.0	0.0	0.52	1.68	0.0	17.13	0.0	0.0	0.0	80.06	84.47	83.45
Cnpy3	42.31	0.0	0.0	0.68	0.0	0.0	0.0	47.83	0.23	0.0	0.0	69.08	74.04	71.36
Colec10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.13	0.06	0.04
Cpsf2	9.44	0.06	0.0	17.17	24.52	0.0	4.86	52.13	22.4	0.0	5.0	28.27	27.34	28.46
Crtc3	0.58	0.47	0.52	0.1	0.44	0.39	0.56	0.58	0.43	0.25	1.05	9.68	10.12	10.56
Csnk1g2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.99	0.0	0.0	0.0	137.78	153.43	144.53
Efr3b	23.5	0.05	24.2	9.72	1.48	76.21	13.61	15.93	3.33	14.03	0.84	94.67	93.25	100.15
Eif4g3	27.79	4.35	27.58	60.7	30.56	7.43	2.87	55.07	10.22	9.06	24.96	124.17	120.05	133.13
Fam55c	13.33	0.05	0.23	0.8	3.24	0.64	0.09	34.58	0.0	0.0	0.46	17.07	17.23	16.38
Fgfbp3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.28	0.0	0.0	0.0	6.12	9.55	9.29
Gabra6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.08
Gabrb3	0.0	0.0	31.12	51.73	0.24	38.87	0.2	39.31	34.51	0.32	80.46	154.37	138.99	149.04
Gdf6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Gm15545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.09	0.0	0.0	0.0	1.32	1.61	1.57
Gpr81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	1.02	0.88	0.93
Grik4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.83	0.0	0.0	0.0	18.45	18.49	20.93
Hist1h3f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.14	0.14
Hmgcs2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	4.99	6.59	6.1
Hoxd8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Ikzf4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.26	0.28	0.0	0.0	9.24	8.38	8.65
Irgq	0.91	42.7	0.11	0.95	0.82	0.0	0.82	0.05	0.92	0.46	0.15	67.22	66.07	66.39
Kcnh5	0.0	0.0	0.0	0.0	0.31	0.0	0.0	29.19	0.0	0.0	0.0	15.05	12.6	18.03
Kcnn2	0.73	0.0	0.0	0.0	1.26	0.0	0.0	2.69	0.0	116.64	8.07	42.19	43.41	41.94
Kera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Lao1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Mdk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.67	0.0	0.0	0.0	24.5	33.44	27.76
Mir5133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.01	0.0	0.0	0.0	9.73	4.58	10.05
Msh4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Noxo1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.43	0.0	0.0	0.0	2.15	2.0	2.15
Osbp2	0.27	0.99	0.0	6.67	0.0	0.0	15.59	11.5	0.0	0.0	0.09	65.44	64.47	63.93
Pbxip1	0.0	0.14	0.0	0.22	0.15	0.0	0.0	0.43	0.08	0.0	0.08	31.86	30.67	32.85
Pcdhb11	0.1	0.0	0.0	0.0	0.0	0.0	0.0	55.26	0.0	0.0	0.0	3.33	3.64	2.52
Pcsk5	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.95	7.01	8.22
Pdzd4	0.0	5.89	0.0	0.0	0.8	0.0	0.0	27.04	0.0	3.0	0.0	76.76	78.8	74.09
Phip	0.51	0.0	0.0	0.76	0.0	0.52	11.07	14.69	11.0	0.42	0.82	15.73	12.23	16.44
Ppp1r37	0.0	0.0	0.0	0.0	1.5	0.46	0.0	3.96	0.0	0.0	0.0	117.35	129.34	126.81
Psd	7.92	12.24	5.16	11.91	0.33	3.87	8.34	3.66	15.56	11.58	4.68	244.15	283.01	270.01
Rnf187	11.55	156.85	7.02	54.97	13.97	0.36	6.63	64.36	140.41	25.06	10.86	373.18	417.68	414.67
Sema6c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.95	0.0	0.0	0.0	14.99	16.94	16.69
Sept14	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.17	0.0	0.0	0.0	0.27	0.14	0.12
Sez6l	0.06	3.63	0.0	0.32	10.6	0.0	0.0	15.22	4.72	0.0	8.58	100.96	101.75	107.49
