	Chrna2_tdTpositive_cell_84	Cux2_tdTnegative_cell_12	PvalbF.Gad2_tdTpositive_cell_73	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001K23Rik	0.0	0.0	0.0	0.22	0.2	0.22
2810046L04Rik	0.0	0.0	0.0	18.15	16.7	18.41
4921511H03Rik	0.0	0.0	0.0	0.1	0.0	0.0
4930483O08Rik	5.81	0.0	0.41	0.97	0.74	0.5
4931423N10Rik	0.0	0.0	0.0	0.22	0.2	0.22
Adora1	0.08	0.0	0.0	120.56	116.02	119.72
Ank2	27.56	0.0	80.95	250.02	222.38	264.29
Anks1b	40.58	0.0	24.62	136.15	132.0	139.16
Arntl	0.0	0.0	0.0	28.72	27.5	32.93
Astn2	0.05	0.0	11.68	24.18	24.75	22.11
Asxl1	0.49	0.0	0.0	25.8	24.29	26.11
Atp6v0a2	0.0	0.0	0.0	49.1	51.56	49.64
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Cd244	0.0	0.0	0.0	0.05	0.05	0.05
Cebpb	4.52	0.0	0.0	4.05	6.69	6.58
Cenpk	0.0	0.0	0.0	1.04	0.91	0.77
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Comtd1	0.0	0.0	0.0	6.62	8.94	8.53
Dbn1	0.0	0.0	0.0	181.07	196.52	190.0
Dnm1	12.71	0.0	39.79	785.48	840.55	821.55
Dph1	0.0	0.0	0.0	16.49	22.37	22.3
Dspp	0.0	0.0	0.0	0.11	0.1	0.11
Dync2li1	0.0	0.0	0.0	26.63	26.71	26.4
E530001F21Rik	0.0	0.0	0.0	4.8	3.18	4.67
Ehd3	0.11	0.0	1.0	66.6	66.44	70.45
Erc2	0.07	0.0	0.99	83.33	78.03	78.63
Fam174a	0.0	0.0	0.0	53.03	55.28	53.4
Fbxl3	1.21	2.61	0.89	57.07	55.37	56.55
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
G6pdx	4.47	0.0	0.0	25.45	26.74	26.03
Ggt7	11.83	0.0	12.47	112.55	122.34	119.47
Gm10471	0.87	0.0	0.0	0.97	0.59	0.59
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hoxc8	0.0	0.0	0.0	0.04	0.04	0.09
Ipo8	0.08	0.0	23.26	28.64	27.58	27.5
Kera	0.0	0.0	0.0	0.05	0.05	0.05
LOC624759	16.02	0.83	1.58	2.35	1.67	2.31
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lipm	0.0	0.0	0.0	0.11	0.1	0.11
Lrfn5	5.45	0.0	0.0	33.06	33.08	33.97
Lrp8	0.11	0.0	0.3	30.76	28.84	34.22
Lrrc38	0.0	0.0	0.0	1.74	2.16	2.45
Map2k3	0.0	0.0	0.0	14.58	15.72	12.6
Mpv17l2	0.0	0.0	0.0	23.54	33.46	28.35
Mycl1	0.0	0.0	0.0	11.76	12.95	13.2
Myo10	0.0	0.0	0.0	12.04	13.83	12.89
Nkx2-1	0.21	0.0	0.85	2.36	1.89	1.79
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Ogfod2	0.0	0.0	30.45	31.69	35.86	33.59
Olfr1420	0.0	0.0	0.0	0.11	0.1	0.11
Pcca	0.0	0.0	0.0	24.77	24.12	22.52
Pcf11	0.07	10.76	6.93	16.32	16.59	13.44
Phf23	0.0	0.0	31.34	40.96	38.3	34.76
Pitrm1	0.0	0.0	32.64	27.61	26.93	25.99
Poc1a	0.0	0.0	0.0	9.79	9.44	10.41
Rad9	0.83	0.0	0.21	9.89	10.94	9.68
Rai2	1.34	0.0	4.65	9.96	10.39	9.98
Rap1gap2	0.0	0.0	0.0	119.99	111.59	120.64
Rps2	0.87	0.0	0.0	595.68	661.67	632.58
Rtel1	0.0	0.0	0.0	13.05	11.71	12.29
Sec11c	0.0	0.0	2.79	100.65	96.56	99.24
Sec22c	0.16	0.08	0.12	22.99	22.86	22.18
Sh3pxd2a	0.0	0.0	1.42	19.99	19.21	19.26
Slc30a5	0.13	0.0	0.38	38.13	40.47	38.12
Slc44a1	7.82	0.0	6.67	53.42	53.04	59.96
Snapc4	0.0	0.0	0.0	27.77	29.82	29.1
Sphk1	0.0	0.0	0.0	4.27	4.64	3.8
Tacr2	0.0	0.0	0.0	0.13	0.31	0.18
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Thap3	0.0	0.0	0.0	19.07	24.6	18.38
Timm13	67.5	0.0	149.04	75.79	86.98	80.43
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Uhmk1	0.0	0.0	0.0	88.22	83.8	88.49
Vezt	4.89	0.0	2.16	30.2	29.5	31.65
Vmac	0.13	0.0	0.0	8.64	10.91	11.02
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Wfs1	0.0	0.0	0.0	94.55	92.85	94.87
Xiap	2.85	0.0	0.0	45.99	41.82	43.87
Zfp410	7.42	1.35	17.3	20.41	18.35	16.89
Zfp622	1.64	0.0	0.0	29.77	31.42	29.21
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	0.0	3744.02	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
