	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_10	Nr5a1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_78	Ntsr1_tdTnegative_cell_18	Pvalb_tdTpositive_cell_4	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_174	Rbp4_tdTpositive_cell_175	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_23	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_24
2610005L07Rik	39.86	51.08	323.44	59.43	78.1	8.38	2.83	341.13	427.1	0.17	85.23	175.47	1.38	0.98	881.91	0.0	238.12	187.75	125.06	0.0	14.42
4931428L18Rik	0.0	0.0	4.33	1.71	2.82	0.0	0.0	15.13	21.23	0.36	10.96	0.0	17.0	0.0	0.21	0.0	5.77	1.93	0.0	0.0	10.69
9130221F21Rik	3.94	0.0	29.57	69.12	7.08	0.0	0.18	30.93	48.98	2.06	40.91	27.32	17.53	1.5	34.32	2.86	1.34	4.31	1.35	0.0	0.0
A630075F10Rik	16.13	1.86	65.6	74.35	6.79	0.0	4.5	38.23	179.33	6.55	23.53	19.92	84.42	12.66	81.31	8.99	0.94	4.13	8.07	0.0	8.66
AU019990	0.0	0.0	1.31	3.96	0.0	0.0	0.0	2.08	2.01	0.0	1.19	0.57	2.4	0.89	0.31	0.11	1.21	0.53	0.0	0.0	0.0
Amy2a2	0.08	0.06	0.29	0.5	0.0	0.0	0.0	2.48	1.87	0.02	11.44	0.52	1.29	0.2	0.71	0.0	0.0	0.16	0.63	0.0	0.0
Amy2a3	0.08	0.06	0.29	0.5	0.0	0.0	0.0	2.48	1.87	0.02	11.44	0.52	1.29	0.2	0.71	0.0	0.0	0.16	0.63	0.0	0.0
Amy2a4	0.08	0.06	0.29	0.5	0.0	0.0	0.0	2.48	1.87	0.02	11.44	0.52	1.29	0.2	0.71	0.0	0.0	0.16	0.63	0.0	0.0
Aplf	1.26	0.0	100.77	69.25	35.93	0.0	0.11	177.28	182.89	0.0	8.4	33.97	78.34	0.0	15.04	0.16	0.0	3.95	0.0	0.0	3.84
B020004C17Rik	0.0	0.0	2.69	2.13	0.0	0.0	0.0	6.11	3.65	0.0	2.18	6.39	0.0	0.0	0.58	0.0	0.32	0.0	0.25	0.0	0.0
Btbd16	27.26	0.0	75.83	148.6	7.3	0.25	1.99	80.39	145.4	13.64	42.27	28.11	53.0	17.33	75.72	9.0	5.48	5.37	5.64	0.32	1.52
C1qb	14442.59	0.0	0.0	0.0	13803.66	0.0	0.0	0.0	0.0	13550.44	4.26	14723.82	7965.92	8222.94	13134.55	11850.43	16023.06	14400.66	13629.03	0.0	12872.3
Cand2	0.8	0.0	1.36	4.16	0.17	0.0	0.0	1.5	10.28	0.96	1.52	1.45	1.42	1.26	3.51	0.42	0.24	1.24	1.09	0.0	0.56
Cd22	10.02	0.0	3.93	13.89	0.0	0.0	0.0	5.33	13.39	0.59	5.54	8.3	2.6	0.15	3.88	4.65	0.0	5.58	0.16	0.0	0.0
