	Cux2_tdTnegative_cell_11	Gad2_tdTpositive_cell_15	Ntsr1_tdTpos_10cell_6	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001K23Rik	0.0	0.0	0.0	0.22	0.2	0.22
4922505E12Rik	0.0	0.0	0.0	0.05	0.0	0.1
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4930432K21Rik	0.0	0.0	0.0	2.73	2.99	2.72
4931423N10Rik	0.0	0.0	0.0	0.22	0.2	0.22
4933430M04Rik	0.0	0.0	0.0	0.0	0.39	0.14
9030204H09Rik	0.0	0.0	0.0	0.16	0.32	0.32
9330151L19Rik	0.0	0.0	8.97	22.66	23.63	26.04
A230070E04Rik	0.0	0.0	1.58	16.6	19.01	17.56
A930011G23Rik	0.0	0.0	0.09	0.82	1.08	0.82
Adcy3	0.0	0.0	0.0	39.07	40.04	37.65
Apba3	0.0	0.0	0.0	17.6	19.89	18.64
Atp2a2	0.0	100.85	118.91	513.24	490.71	517.28
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
BC100451	0.0	0.0	0.0	0.25	0.24	0.21
Blk	0.0	0.0	0.0	0.04	0.04	0.04
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Calhm1	0.0	0.0	0.0	0.1	0.09	0.1
Caprin1	1.65	22.09	20.12	140.83	135.83	136.58
Cd244	0.0	0.0	0.0	0.05	0.05	0.05
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Col8a1	0.0	0.0	0.0	1.77	1.64	1.41
D6Mm5e	0.0	0.0	0.0	0.1	0.09	0.1
Dspp	0.0	0.0	0.0	0.11	0.1	0.11
Dyrk4	0.0	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.0	0.1	0.09	0.1
Esrra	0.0	0.0	0.54	43.22	51.27	47.48
Fam189b	0.0	0.0	4.99	35.65	38.7	42.02
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Foxp4	0.0	0.0	0.0	18.34	21.45	18.34
Frmd5	0.0	138.63	0.0	19.48	18.99	21.43
Gdf6	0.0	0.0	0.0	0.03	0.03	0.06
Gm4745	0.0	0.0	0.0	0.08	0.0	0.08
Grb2	0.0	0.0	34.96	133.21	134.34	136.09
Gria4	0.0	42.61	6.05	74.65	71.26	73.91
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hnrnpu	114.93	214.37	164.75	301.12	288.67	297.97
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Inhbc	0.0	0.0	0.0	0.05	0.05	0.1
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Khsrp	7.38	26.55	14.45	57.01	58.93	59.96
Kif5c	0.0	71.79	40.21	410.62	385.0	413.29
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lipm	0.0	0.0	0.0	0.11	0.1	0.11
Lrrc10b	0.13	0.0	0.0	48.67	53.01	45.61
Mapk9	0.0	0.0	11.5	154.54	146.91	148.44
Msh4	0.0	0.0	0.0	0.03	0.03	0.06
Myo5a	0.08	28.63	43.3	147.23	132.38	154.8
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nron	0.0	0.0	0.0	0.03	0.03	0.06
Nsg2	0.0	127.23	43.79	642.61	673.47	621.36
Obox5	0.0	0.0	0.0	0.15	0.14	0.16
Olfr1419	0.0	0.0	0.0	0.1	0.09	0.1
Olfr1420	0.0	0.0	0.0	0.11	0.1	0.11
Peg13	0.0	67.52	84.72	183.32	183.44	176.4
Plekhg5	0.0	0.0	17.59	54.79	56.74	54.57
Ptprn2	0.09	142.25	34.49	221.75	226.44	219.46
Purb	0.0	73.46	66.22	202.04	181.97	195.46
Ric8b	0.0	0.21	6.8	45.42	45.68	43.24
Rundc3a	0.0	0.0	11.17	259.19	288.36	272.51
Sephs2	0.0	33.22	23.51	33.96	38.32	36.32
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Snap91	0.0	13.33	40.81	254.03	253.8	241.24
Spnb1	0.0	0.34	1.25	53.65	51.12	57.7
Spock1	0.26	43.07	69.58	143.7	145.55	144.61
Stxbp1	0.0	649.07	282.41	685.86	704.66	673.08
Syngr1	0.0	102.73	55.13	373.26	376.32	379.56
Syp	0.0	132.15	316.68	1149.48	1186.08	1128.2
Syt1	0.0	551.73	348.43	931.59	920.94	916.63
Syvn1	0.0	2.12	3.87	39.85	39.11	39.72
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tcp10b	0.0	0.0	0.0	0.48	0.35	0.5
Tm9sf3	0.0	72.07	15.29	83.98	79.45	86.75
Tmem121	0.0	0.0	0.11	21.36	26.4	26.49
Tmem134	0.0	0.0	0.0	28.74	31.09	31.77
Tmem86b	0.0	0.0	0.0	9.2	8.74	9.75
Tnfrsf25	0.0	0.0	0.38	11.56	10.34	5.71
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn1r45	0.0	0.0	0.0	0.03	0.03	0.06
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Wbscr16	0.0	0.0	7.43	12.91	13.88	15.34
Zdhhc18	0.0	0.0	0.95	22.2	21.34	22.92
Zfand3	0.0	0.0	1.95	55.03	62.08	56.61
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
