	Nr5a1_tdTpositive_cell_17	Scnn1a.Tg3_tdTpositive_cell_99	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
1600015I10Rik	0.0	0.0	0.04	0.04
1700003L19Rik	0.0	0.0	0.14	0.14
1700009J07Rik	0.0	0.0	0.11	0.11
1700024P03Rik	0.0	0.0	0.21	0.21
1700061J05Rik	0.0	0.0	0.11	0.11
4930455B14Rik	0.0	0.0	0.09	0.09
4930528F23Rik	0.0	0.0	0.06	0.06
4930544D05Rik	0.0	0.0	0.16	0.16
4930555B11Rik	0.0	0.0	0.07	0.07
9230104L09Rik	0.0	0.0	0.16	0.16
Adamdec1	0.0	0.0	0.04	0.04
Adarb1	1.85	0.61	89.82	96.44
Akr1c12	0.0	0.0	0.08	0.08
Aldh1l2	0.0	0.0	3.07	3.45
Apob	0.0	0.0	0.01	0.01
Arap2	11.46	0.37	43.79	43.26
Arfgap3	0.0	0.09	19.69	18.84
Capn13	0.0	0.0	0.04	0.04
Ccl2	0.0	0.0	0.13	0.13
Ccr3	0.0	0.0	0.03	0.03
Cd22	0.52	0.53	1.15	0.96
Ceacam15	0.0	0.0	0.07	0.07
Cel	0.0	0.0	0.19	0.05
Ces1a	0.0	0.0	0.05	0.05
Clec12b	0.0	0.0	0.07	0.07
Cyp3a57	0.0	0.0	0.06	0.06
Dnajc5b	0.0	0.0	0.11	0.11
E330016A19Rik	0.13	0.4	1.5	1.32
Fmo4	0.0	0.0	0.06	0.06
Fndc3c1	0.0	0.0	0.02	0.02
Gm12185	0.06	0.5	0.65	0.61
Gm12633	0.0	0.0	0.06	0.06
Gm1647	0.0	0.0	0.14	0.14
Gm4745	0.0	0.0	0.08	0.08
Gzma	0.0	0.0	0.12	0.12
Hal	0.0	0.0	0.04	0.04
Hemgn	0.0	0.0	0.04	0.04
Herc2	17.71	34.62	67.41	69.15
Hic2	0.0	0.03	4.56	4.6
Hist1h3f	0.0	0.0	0.14	0.14
Hmga1-rs1	0.0	1.04	47.68	34.99
Hoxd8	0.0	0.0	0.07	0.07
Il17rd	0.0	0.1	2.68	2.51
Kctd19	0.0	0.0	0.03	0.03
Kel	0.0	0.0	0.04	0.04
Kera	0.0	0.0	0.05	0.05
Kl	0.03	0.04	2.87	2.39
Lao1	0.0	0.0	0.05	0.05
Lect2	0.0	0.0	0.12	0.12
Ltf	0.0	0.0	0.04	0.04
Mink1	0.0	15.15	186.96	192.9
Muc4	0.0	0.0	0.02	0.02
Myog	0.0	0.0	0.07	0.07
Ncr1	0.0	0.0	0.07	0.07
Nox4	0.0	0.0	0.06	0.06
Olfr15	0.0	0.0	0.11	0.11
Otx2os1	0.0	0.0	0.14	0.14
Pkib	0.03	0.54	3.75	3.72
Pold2	0.0	0.14	17.33	14.24
Prps1l1	0.0	0.0	0.06	0.06
Raet1d	0.0	0.0	0.16	0.16
Rnase13	0.0	0.0	0.17	0.17
Sct	0.0	0.0	0.21	0.21
Slc4a1	0.0	0.0	0.02	0.02
Slfnl1	0.0	0.0	0.06	0.06
Supt6h	0.02	26.02	82.51	84.8
Tac4	0.0	0.0	0.08	0.08
Tas1r2	0.0	0.0	0.03	0.03
Tas2r137	0.0	0.0	0.1	0.1
Tcstv1	0.0	0.0	0.12	0.12
Tnfaip8	0.06	0.06	3.8	3.57
Ttc39d	0.0	0.0	0.05	0.05
Usp26	0.0	0.0	0.02	0.02
Vax2os2	0.0	0.0	0.07	0.07
Vmn1r210	0.0	0.0	0.11	0.11
Zp3r	0.0	0.0	0.05	0.05
mt_AK166684	0.0	0.0	18796.57	18655.33
mt_BC104337	4.42	0.0	9032.87	8583.15
