	Chrna2_tdTpositive_cell_31	Ctgf_tdTpositive_cell_6	Cux2_tdTpositive_cell_98	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_26	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_101	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2010106G01Rik	0.0	0.34	113.29	0.38	0.0	43.52	0.01	0.0	0.11	0.16	0.16	0.12	0.2	12.7	7.08	4.07	0.29	0.17	0.64	0.92	0.2	2.21	9.4	0.0	0.21	10.98	0.59	0.33	18.09	5.8	26.97	23.48	24.69
2410004P03Rik	0.0	0.57	5.59	0.84	0.0	1.18	0.75	0.0	1.09	1.69	0.28	0.6	1.07	0.0	1.43	2.05	4.15	0.93	0.49	0.0	3.54	3.96	0.65	0.28	1.41	1.26	0.0	3.56	10.09	0.05	5.25	5.57	6.2
2700023E23Rik	21.89	0.0	106.86	0.0	0.0	0.0	0.0	0.0	24.29	0.0	0.0	0.0	0.0	0.0	31.42	0.0	0.0	0.0	2.78	0.0	2.55	0.0	0.66	0.0	0.0	0.0	0.0	25.65	69.63	23.93	6.14	4.86	6.34
4930526I15Rik	0.0	0.0	15.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.0	0.25	0.0	0.0	0.0	8.53	0.24	0.0	0.0	0.0	0.0	9.85	11.43	11.1
5730409E04Rik	14.8	0.0	126.1	2.68	0.0	14.66	0.3	0.0	7.73	0.68	2.39	96.61	41.97	2.75	60.4	29.17	22.02	7.64	6.9	13.23	66.32	1.55	31.55	53.12	4.38	0.97	49.91	1.63	11.59	1.54	76.02	78.84	72.68
Agk	63.37	0.0	485.7	0.0	0.0	168.68	0.0	0.0	102.03	47.22	65.88	44.21	51.45	88.06	36.97	101.27	64.22	82.93	67.59	11.9	0.0	252.28	144.34	109.94	159.81	7.91	65.09	84.02	472.0	379.75	41.42	40.02	42.44
Ap2s1	4.52	0.0	242.4	9.89	0.0	190.91	0.0	0.0	129.25	4.25	106.99	137.25	114.17	161.81	152.6	129.54	101.01	67.5	191.62	0.0	281.41	146.47	84.08	20.87	39.29	39.18	113.7	92.0	213.16	133.5	233.7	274.11	254.17
B3gat3	46.07	0.0	141.01	0.0	0.0	56.38	0.0	0.0	22.27	1.22	8.21	27.5	28.88	63.21	33.13	8.05	71.42	28.31	52.04	11.69	55.57	19.53	22.99	32.61	98.72	150.79	26.65	50.07	95.97	2.89	138.52	165.08	159.06
C030023E24Rik	0.95	0.52	56.18	0.0	0.0	0.2	0.0	0.0	0.13	0.38	10.67	0.26	0.08	2.92	0.1	0.39	0.12	0.0	0.0	0.09	0.2	0.23	0.0	0.0	0.28	6.42	0.22	0.49	0.27	0.0	20.03	14.92	17.8
Cbfb	0.0	0.0	122.72	0.0	0.0	16.71	0.0	0.0	0.0	0.0	0.0	0.04	0.0	31.83	23.62	34.85	15.28	25.67	0.0	0.0	20.82	29.17	0.0	28.84	0.0	0.0	0.0	0.0	73.09	0.0	20.18	19.15	19.24
