	Gad2_tdTpositive_cell_71	Nkx2.1_tdTpositive_cell_3	Pvalb_tdTpositive_cell_10	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610039K10Rik	0.0	0.0	0.0	0.72	0.67	0.75
1110019D14Rik	0.0	0.0	0.0	2.27	2.45	2.13
1700001C19Rik	0.0	0.0	0.0	0.0	0.31	0.26
1810026J23Rik	0.0	0.0	0.24	48.11	51.84	46.45
2410018M08Rik	0.0	0.0	0.0	7.62	7.26	7.47
2700050L05Rik	0.0	0.0	0.0	15.84	14.42	12.98
4430402I18Rik	0.0	0.0	0.0	3.08	3.85	3.81
4933408J17Rik	0.0	0.0	0.0	0.06	0.38	0.12
9130409I23Rik	0.0	0.0	0.0	0.28	0.17	0.43
A530016L24Rik	0.0	0.0	0.0	0.26	0.32	0.43
AI429214	0.0	0.0	0.0	3.3	3.29	3.74
Abcb4	0.0	0.0	0.55	4.16	4.22	4.44
Abcb6	0.0	0.0	0.0	17.38	18.47	17.91
Adcy10	0.0	0.0	0.0	0.28	0.3	0.43
Ank1	0.0	0.0	3.39	19.24	22.06	23.05
Arhgap24	0.0	0.0	0.0	4.44	4.97	4.42
Arhgef10	0.0	0.0	0.0	21.91	22.22	25.99
Arsi	0.0	0.0	0.0	0.81	0.82	0.95
B3gat2	0.0	0.0	0.0	7.96	8.07	9.18
Car8	0.0	0.0	0.0	5.21	4.26	5.44
Car9	0.0	0.0	0.0	0.46	1.05	0.87
Ccdc120	0.0	0.0	0.0	8.32	7.71	7.36
Ccdc57	0.0	0.0	0.0	7.35	8.83	8.33
Cd244	0.0	0.0	0.0	0.05	0.05	0.05
Cdc42ep3	0.0	0.0	0.0	21.38	23.09	19.0
Cep68	0.0	0.0	0.0	17.27	16.32	17.75
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Cldn10	0.0	0.0	0.0	53.64	54.76	57.81
Cln5	0.0	0.0	0.0	11.71	13.05	11.92
Clpb	0.0	0.0	0.0	26.35	25.52	25.42
Cnnm2	0.0	0.0	0.0	25.24	27.57	26.02
Cox18	0.0	0.0	0.0	16.78	19.06	17.33
Cubn	0.0	0.0	0.0	0.23	0.2	0.21
Cxcl16	0.0	0.0	0.0	1.61	1.39	1.16
D930020B18Rik	0.0	0.0	0.0	0.61	0.37	0.19
Duxbl	0.0	0.0	0.0	0.92	2.0	1.18
Elac2	0.0	0.0	0.0	26.18	26.9	27.02
Eri1	0.0	0.0	0.0	7.8	7.4	7.51
Ext2	0.0	0.0	0.0	28.71	33.1	31.52
F630111L10Rik	0.0	0.0	0.0	0.06	0.06	0.06
Fanci	0.0	0.0	0.0	1.15	1.35	0.9
Fancl	0.0	0.0	0.0	8.42	9.2	7.81
Fbxw8	0.0	0.0	0.0	22.44	24.04	24.28
Fiz1	0.0	0.0	0.0	14.93	18.1	16.77
Gcnt2	0.0	0.0	0.0	24.49	23.67	23.19
Gm10125	0.0	0.0	0.0	2.78	2.68	3.07
Gm13375	0.0	0.0	0.0	16.83	19.2	17.22
Gm833	0.0	0.0	0.0	0.34	0.07	0.14
Gm973	0.0	0.0	0.0	3.47	3.4	4.02
Grb14	0.0	0.0	0.0	24.39	27.83	25.64
Grm7	0.0	0.0	0.0	38.61	37.39	39.11
Gtpbp3	0.24	0.81	0.44	17.5	18.14	20.41
H2-Ke6	0.0	0.0	0.0	32.23	38.73	39.89
Hdac11	0.88	0.88	3.35	163.09	171.47	168.04
Igf2bp2	0.0	0.0	0.0	1.23	0.97	1.26
Itpr2	0.0	0.0	0.0	6.05	5.63	7.73
