	Chrna2_tdTpositive_cell_4	Ctgf_tdTpositive_cell_12	Ctgf_tdTpositive_cell_17	Ctgf_tdTpositive_cell_20	Cux2_tdTnegative_cell_5	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_72	Htr3a_tdTpositive_cell_79	Htr3a_tdTpositive_cell_86	Htr3a_tdTpositive_cell_96	Htr3a_tdTpositive_cell_99	Htr3a_tdTpositive_cell_108	Htr3a_tdTpositive_cell_121	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_26	Nos1_tdTpositive_cell_56	Ntsr1_tdTpositive_cell_2	Ntsr1_tdTpositive_cell_7	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_25	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_28	Ntsr1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_77	Ntsr1_tdTnegative_cell_3	Rbp4_tdTpositive_cell_17	Rbp4_tdTpositive_cell_41	Rbp4_tdTpositive_cell_76	Rbp4_tdTpositive_cell_80	Rbp4_tdTpositive_cell_99	Rbp4_tdTpositive_cell_107	Rbp4_tdTpositive_cell_121	Rbp4_tdTpositive_cell_148	Rbp4_tdTpositive_cell_181	Scnn1a.Tg3_tdTpositive_cell_62	Slc17a6_tdTpositive_cell_24	Slc17a6_tdTpositive_cell_34	Slc17a6_tdTpositive_cell_40	Sst_tdTpositive_cell_55	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_6	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610010B08Rik	7.28	1.77	0.0	14.71	0.06	4.29	2.69	19.2	42.96	2.99	6.21	39.29	2.13	5.13	0.86	0.0	0.09	22.62	1.05	105.57	11.74	0.14	4.82	1.38	2.86	0.0	0.89	0.2	1.8	0.23	0.19	0.07	27.79	0.0	8.45	39.68	25.76	3.72	0.15	20.27	0.23	21.4	0.19	1.5	0.0	65.62	8.51	7.46	1.79	9.75	10.33	5.83	30.76	17.92	5.74	19.64	3.14	11.05	7.57	16.68	9.05	12.04	0.42	0.3	7.26	0.0	11.65	0.18	2.34	6.72	0.0	0.03	22.39	18.34	25.87
Arf5	0.0	0.68	0.0	0.0	0.0	1.61	23.59	0.0	0.0	0.0	0.0	53.06	0.0	0.0	0.0	0.0	0.0	14.19	0.0	0.4	0.39	17.63	0.0	0.72	0.0	104.09	0.0	0.0	0.85	0.39	0.0	33.98	88.99	0.0	115.93	0.0	84.24	0.0	1.75	127.11	0.0	0.0	1.41	0.0	0.0	0.0	0.0	0.0	46.73	21.07	9.22	5.99	18.35	26.1	29.55	1.29	21.95	3.32	12.61	14.36	6.93	15.92	0.72	184.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	212.82	242.07	231.34
Atp9b	0.0	44.39	0.0	3.0	0.0	0.0	17.26	0.08	0.0	0.0	0.0	8.06	0.46	1.16	0.94	0.0	0.0	2.03	0.0	0.06	0.0	0.0	0.0	5.09	0.0	0.0	0.0	5.69	2.12	0.0	0.0	0.0	0.03	0.0	60.58	0.0	54.98	19.82	0.0	59.07	0.0	61.32	10.49	56.86	0.0	24.15	12.01	6.8	0.0	12.96	13.17	4.81	6.18	4.31	11.25	5.02	9.4	0.23	5.4	7.5	6.46	6.32	30.21	0.0	21.34	0.0	0.0	0.0	0.0	0.0	0.0	32.11	36.48	36.02	38.24
Bcl9	0.0	0.0	0.0	0.0	0.0	0.0	0.63	0.0	0.08	0.0	0.0	6.33	0.06	0.04	2.18	0.0	0.0	0.0	2.09	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	5.34	0.0	0.0	0.0	0.0	32.38	0.0	2.88	0.12	0.0	0.0	0.13	2.99	0.14	0.0	1.13	0.46	2.64	1.84	0.94	1.98	2.93	0.27	6.73	0.38	0.76	0.37	2.52	0.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.2	28.0	25.61	27.6
Cdk5r1	4.46	46.99	0.0	26.84	0.0	43.78	26.84	23.29	9.48	23.17	41.96	18.07	6.09	9.35	0.02	82.45	4.01	11.77	29.11	0.0	26.67	16.19	0.0	11.59	8.56	5.8	35.2	7.5	12.97	25.8	8.59	49.74	5.88	0.0	89.51	13.33	28.38	46.99	0.08	79.27	25.31	57.29	14.46	12.52	73.83	26.05	14.61	6.9	47.86	19.69	23.81	27.79	31.89	34.8	31.44	26.89	14.06	8.2	17.93	23.43	19.83	22.85	3.41	15.51	12.12	2.72	29.42	48.01	18.92	21.75	50.28	11.51	215.41	232.31	213.19
Clec16a	0.61	45.96	0.0	1.9	0.0	1.76	11.43	1.18	1.34	1.3	0.15	21.74	0.31	14.9	0.05	0.0	0.0	6.63	71.25	0.0	0.0	0.0	0.0	0.0	4.97	0.0	14.91	0.0	0.67	0.0	1.61	1.76	0.06	0.0	9.64	2.25	0.58	27.98	0.05	44.45	0.0	1.43	27.11	14.98	7.73	0.0	0.0	22.54	0.0	19.67	7.19	16.62	14.1	14.05	17.79	9.81	16.82	6.92	8.01	23.13	15.68	12.91	2.86	0.0	0.16	0.0	0.38	0.09	0.0	0.0	0.0	0.0	41.91	40.8	43.19
Dbn1	0.22	0.0	0.0	31.45	0.0	0.0	0.76	1.0	7.23	0.11	1.97	14.78	0.29	0.0	0.0	1.79	0.8	0.06	0.0	0.0	0.12	0.23	0.0	0.17	3.73	0.0	34.49	0.0	1.59	0.85	0.0	0.44	42.67	0.0	8.13	0.76	33.63	73.34	0.0	45.51	0.0	3.08	24.91	17.16	0.0	24.16	0.0	17.55	0.0	12.97	7.51	16.04	4.24	12.6	4.02	6.02	8.81	6.96	3.66	8.41	2.05	5.09	1.33	1.66	0.71	0.4	3.39	1.02	0.0	0.0	0.0	0.0	181.07	196.52	190.0
Ddx54	0.0	0.0	0.0	9.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	32.88	0.0	0.0	0.0	12.14	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	7.37	0.07	0.0	5.07	0.08	0.0	0.26	0.0	7.47	0.0	0.35	3.91	0.0	6.77	0.0	19.0	0.32	0.16	0.0	0.0	0.0	0.56	0.0	2.15	0.54	6.77	1.09	0.6	7.05	0.07	5.28	1.75	1.4	0.53	1.04	1.58	0.0	0.0	0.0	0.0	0.0	11.6	0.0	0.0	0.0	0.0	28.29	33.01	31.66
Dhx38	0.0	0.0	0.0	0.0	0.0	0.17	0.0	10.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	96.38	0.08	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.7	0.0	13.27	0.0	67.39	0.0	0.0	71.46	46.69	5.38	0.0	0.0	0.0	23.22	0.0	0.0	0.0	9.5	1.61	7.21	9.94	7.92	3.84	6.25	1.71	3.42	2.34	4.8	1.22	4.52	0.0	0.35	0.0	0.0	0.0	0.0	0.1	0.0	0.0	1.24	22.37	22.56	23.56
Dhx57	0.0	0.49	15.12	19.11	0.0	0.0	25.76	22.38	0.97	0.0	0.0	15.54	0.0	0.0	0.0	0.0	0.09	1.76	0.0	0.0	0.78	0.0	0.0	0.03	0.0	0.05	1.15	1.23	1.32	0.0	0.0	0.6	0.28	0.0	16.97	5.9	1.2	0.12	0.0	11.47	0.0	0.0	0.3	0.5	0.0	0.0	0.0	5.23	0.0	3.8	0.29	4.72	6.34	10.43	12.75	2.15	3.45	2.89	1.91	5.23	2.71	2.77	0.58	0.0	0.0	0.0	0.63	0.0	0.0	0.0	0.0	1.76	29.97	28.8	29.34
