	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_28	Chrna2_tdTpositive_cell_31	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_68	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_70	Ntsr1_tdTpositive_cell_7	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_182	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2310044H10Rik	11.85	0.0	3.69	2.98	26.9	31.01	1.11	4.17	3.71	0.0	2.4	26.56	0.66	23.86	3.68	4.06	0.67	3.82	1.93	12.09	3.47	7.42	20.27	2.33	51.36	29.19	48.3	0.78	2.87	0.0	50.62	2.3	2.6	0.66	215.98	240.68	232.45
6430706D22Rik	14.81	54.99	79.24	0.0	197.47	16.06	0.0	16.11	0.19	0.0	0.0	0.0	4.56	0.41	0.0	2.0	0.0	0.0	0.0	20.21	14.27	0.0	0.0	0.0	0.0	6.6	0.35	0.0	23.63	0.0	61.09	0.26	21.35	1.13	34.55	34.43	34.12
A330021E22Rik	0.0	0.0	0.15	0.0	45.29	0.0	0.0	0.0	0.0	0.0	14.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.43	25.58	0.09	4.64	0.0	110.54	0.0	0.0	0.0	10.83	10.38	12.28
Adipor1	16.25	21.04	0.24	10.22	160.0	15.82	2.26	37.86	4.22	0.62	1.23	10.69	30.65	3.54	20.45	25.61	16.51	28.1	25.67	0.0	3.55	21.44	2.32	0.0	8.74	13.14	1.82	5.34	49.1	6.72	175.34	0.93	4.62	31.73	76.62	83.36	79.95
Adpgk	0.0	0.0	0.0	0.0	130.46	0.0	0.0	0.0	0.0	0.0	20.01	0.0	0.12	0.0	0.0	2.32	0.0	0.12	12.43	0.0	0.0	0.0	0.0	0.0	0.0	8.4	50.55	1.16	49.56	0.0	197.89	0.0	0.0	0.0	14.56	14.32	13.66
Ccdc153	1.04	0.35	1.41	0.0	2.04	0.49	0.43	0.0	0.2	0.32	0.0	0.77	1.15	0.37	0.29	0.52	0.21	0.31	0.0	0.0	0.24	0.0	0.0	0.24	0.0	1.26	1.01	0.27	0.0	0.72	2.51	0.24	0.0	0.0	3.6	4.61	4.59
Cdr1	0.0	2.85	17.49	1.19	123.36	24.02	1.07	13.49	0.0	23.27	3.35	1.58	8.23	19.53	43.59	5.83	11.36	0.0	3.78	0.0	6.75	44.51	0.0	4.39	2.58	65.17	74.38	8.08	15.19	2.93	89.14	1.42	0.0	10.02	51.06	27.55	52.78
Cutc	0.0	49.15	0.0	0.0	137.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.74	0.0	0.0	0.0	0.0	110.27	0.0	0.0	0.0	7.39	6.11	8.65
D3Bwg0562e	82.61	61.36	46.77	86.4	222.27	206.12	74.43	1.8	24.65	31.78	47.62	33.55	27.76	7.12	29.19	87.62	52.01	48.36	7.09	4.62	9.09	4.55	31.46	19.18	171.03	84.8	88.56	28.49	25.38	16.06	94.56	63.76	63.13	11.96	121.62	116.8	128.52
Dhdh	0.0	0.15	0.22	0.0	0.71	0.75	0.59	0.27	0.06	0.1	0.26	0.49	0.47	0.01	0.48	0.44	0.36	0.79	0.0	0.11	0.74	0.18	0.6	0.1	0.9	1.49	2.64	0.27	0.11	0.11	0.82	0.37	2.86	0.22	8.62	9.3	9.67
Dock3	6.03	8.05	5.47	15.26	84.7	73.68	1.25	15.2	0.31	0.03	9.71	10.87	11.97	2.74	0.73	3.59	7.16	17.67	1.09	0.26	0.17	8.7	1.67	1.53	121.89	21.91	20.4	11.37	1.34	7.66	17.43	4.49	15.09	0.23	112.39	109.71	116.14
Dusp7	15.92	0.0	0.0	0.0	73.98	2.23	0.0	0.03	0.0	0.0	0.77	0.0	0.28	0.0	0.0	3.24	33.8	0.0	0.0	0.0	0.0	25.29	0.0	0.0	44.08	15.82	0.41	0.0	0.07	0.0	52.64	0.0	0.0	0.0	56.88	61.62	57.76
Erlin1	0.0	0.0	0.0	0.0	139.27	0.0	30.31	0.0	0.0	0.0	0.0	0.0	0.0	1.35	0.0	0.0	0.0	0.19	0.0	0.0	0.0	34.19	0.0	0.0	0.0	11.28	0.42	0.0	0.0	0.0	95.94	0.0	0.0	0.0	23.43	21.0	19.76
Fbxo34	0.0	0.0	0.54	0.0	87.13	0.0	0.0	0.29	0.0	46.13	10.0	22.24	1.12	0.0	0.0	0.0	0.0	0.0	0.0	1.85	0.0	15.17	0.0	17.07	45.61	11.5	143.49	6.99	0.0	0.0	123.47	0.0	3.37	4.02	66.01	70.66	70.82
Gm4710	0.3	0.0	0.4	0.0	0.63	0.0	0.0	0.29	0.0	0.22	0.0	0.0	0.0	0.0	0.49	0.0	0.0	0.0	0.24	0.23	0.0	0.94	0.72	0.0	0.26	1.34	0.28	0.0	0.0	0.71	1.47	0.0	0.19	0.0	0.37	0.34	0.35
Golph3l	0.0	144.93	0.0	0.0	159.09	0.0	0.0	0.0	0.0	35.9	2.37	0.0	0.0	0.0	2.67	0.0	0.0	6.35	0.0	58.96	0.0	2.51	0.12	0.0	0.0	0.23	0.0	0.0	37.58	0.0	176.38	0.0	0.0	0.0	15.76	14.55	14.31
Hmgxb3	8.32	6.72	0.0	0.0	89.46	80.12	0.0	0.03	0.0	0.83	0.0	15.64	0.0	0.0	23.09	0.0	0.0	0.0	0.0	0.04	0.05	0.0	18.31	0.0	0.06	1.71	0.28	0.0	0.0	0.97	71.41	0.0	5.36	0.0	26.22	26.76	26.53
Hs3st4	0.0	0.0	0.0	0.0	46.23	75.01	0.0	0.07	0.0	0.11	0.12	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.89	0.27	0.78	0.0	0.0	0.0	0.37	0.0	0.0	0.0	55.2	59.87	55.44
Ints6	1.44	0.07	1.54	0.55	90.74	3.64	5.16	1.3	0.53	0.86	0.37	0.86	17.16	5.78	20.56	0.97	0.82	0.29	2.28	0.17	0.49	0.4	0.35	1.11	7.06	7.94	2.49	0.28	1.27	5.38	75.78	3.13	0.1	14.81	11.18	9.78	11.42
Kcnj5	0.0	0.0	0.0	0.0	0.34	0.13	0.0	0.03	0.04	0.0	0.24	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.05	0.2	0.27	0.14	0.09	0.0	0.0	0.31	0.0	0.0	0.0	0.53	0.69	0.74
Kcns1	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.29	0.05	0.0	0.0	0.11	0.4	0.0	0.0	0.09	14.64	18.65	18.42
Kctd12b	0.22	0.08	0.0	0.0	0.15	0.11	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.05	0.0	0.0	0.06	0.0	0.0	0.12	0.19	0.0	0.0	0.28	0.73	0.0	0.05	0.06	2.85	2.84	2.38
Lif	0.16	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.02	0.0	0.06	0.0	0.0	0.0	0.06	0.08	0.0	0.08	0.08	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.07	0.08	0.0	0.0	0.31	0.0	0.0	0.0	0.36	0.44	0.48
Mlf2	40.52	102.41	0.0	78.61	192.7	149.26	72.73	97.31	3.33	7.25	53.56	90.2	30.85	44.4	78.59	114.94	26.74	132.09	8.72	6.28	2.38	77.23	38.2	38.42	137.82	54.25	133.7	28.31	71.69	5.68	170.26	72.91	32.04	37.01	601.77	641.42	627.04
Myo16	10.65	0.57	0.0	20.09	44.39	0.16	0.0	21.06	0.52	0.0	3.79	0.51	3.88	2.33	6.8	0.0	0.0	0.0	1.16	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.22	3.36	79.96	0.0	0.76	3.24	15.68	15.48	17.03
Nckipsd	0.0	0.0	0.0	7.15	92.94	3.21	32.9	0.8	0.12	19.3	44.89	0.0	55.14	0.0	2.06	0.0	0.0	0.0	0.0	0.0	0.0	12.38	0.1	0.0	20.41	14.88	8.82	23.33	42.21	46.98	129.76	0.0	23.31	0.42	60.26	64.42	62.51
Ndfip2	59.92	4.49	21.5	64.04	149.54	208.08	26.0	67.83	11.54	0.0	29.43	27.88	3.86	0.0	37.12	38.02	8.19	55.58	15.17	0.18	0.0	114.97	2.05	0.0	81.76	58.01	141.11	36.26	0.0	121.81	263.63	14.76	34.27	19.16	136.28	128.92	133.72
Npy	138375.8	64781.64	9073.51	173305.25	82245.2	42632.64	6792.77	149629.49	130357.56	132052.33	122154.33	126501.28	117863.77	102118.34	130527.91	173863.58	101365.79	126989.03	166048.87	191162.16	124150.07	153405.37	141010.39	151963.58	60.86	985.16	3.52	145032.54	180453.32	128781.07	8484.11	7487.26	137945.15	137580.94	214.21	196.57	200.76
Nr1d1	16.34	74.68	3.89	44.59	239.46	5.66	2.36	0.33	0.25	0.0	0.31	2.47	40.58	0.0	105.37	0.0	131.39	0.0	0.0	0.0	59.81	41.06	3.75	2.63	138.33	73.01	78.11	0.11	3.14	1.12	211.9	0.0	0.0	0.12	179.63	206.02	174.77
Papss2	0.24	0.08	0.43	0.5	0.52	1.08	0.11	0.2	0.0	0.36	0.0	17.18	0.0	0.11	0.53	0.0	0.09	0.3	0.0	0.0	0.2	0.13	0.0	0.14	0.5	0.47	0.65	0.14	0.13	0.23	1.39	0.0	0.06	0.09	9.31	8.81	11.68
Prosapip1	10.15	1.12	0.96	0.58	68.6	26.22	36.18	0.87	3.7	1.41	7.74	2.33	24.91	0.52	0.32	0.31	33.22	1.24	0.5	0.45	1.28	0.48	9.1	18.65	1.08	16.9	11.8	5.74	2.09	0.67	65.53	1.55	15.03	0.72	163.03	169.8	159.81
Ralgapb	17.73	0.0	0.0	0.56	26.06	10.74	13.57	0.0	0.0	0.0	5.75	1.72	22.96	0.0	0.0	0.96	0.53	0.0	3.5	0.0	0.36	0.65	0.55	0.78	44.82	1.89	0.78	0.0	0.67	11.93	4.12	0.0	4.01	0.04	55.12	50.01	54.12
Serinc3	12.98	21.08	1.03	50.14	37.78	10.39	3.24	50.61	9.05	23.99	9.57	16.67	9.11	5.04	17.72	23.65	0.66	7.45	14.55	11.91	12.24	60.77	11.07	4.99	104.59	75.99	67.96	10.94	2.55	31.91	78.94	15.11	14.39	6.05	199.4	197.55	189.33
