	Chrna2_tdTpositive_cell_5	Chrna2_tdTpositive_cell_11	Chrna2_tdTpositive_cell_64	Chrna2_tdTpositive_cell_65	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_10	Cux2_tdTnegative_cell_9	Gad2_tdTpositive_cell_71	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_20	Nkx2.1_tdTpositive_cell_16	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_15	Pvalb_tdTpositive_cell_18	Pvalb_tdTpositive_cell_19	Pvalb_tdTpositive_cell_31	Pvalb_tdTpositive_cell_36	Pvalb_tdTpositive_cell_37	Pvalb_tdTpositive_cell_38	Pvalb_tdTpositive_cell_50	Pvalb_tdTpositive_cell_53	Pvalb_tdTpositive_cell_60	Pvalb_tdTpositive_cell_62	Pvalb_tdTpositive_cell_64	PvalbD.Slc32a1_tdTpositive_cell_9	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_28	PvalbF.Gad2_tdTpositive_cell_41	PvalbF.Gad2_tdTpositive_cell_94	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_22	Vip_tdTpositive_cell_69	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610010B08Rik	0.0	25.04	4.12	0.0	0.0	0.0	36.33	13.05	0.66	0.0	0.06	1.11	54.49	21.59	8.51	5.35	9.63	2.49	4.38	4.17	66.32	8.03	1.06	29.55	8.29	9.06	26.47	11.97	7.31	18.85	17.29	0.26	0.0	1.79	22.39	18.34	25.87
4632415L05Rik	2.04	6.58	0.45	4.67	2.03	0.44	13.68	0.11	1.19	0.0	0.89	0.19	3.88	2.19	4.36	5.52	2.74	3.07	1.01	46.23	40.11	1.55	4.6	13.15	1.71	0.2	0.88	3.99	3.88	30.61	0.88	0.64	0.0	0.6	18.82	18.88	18.43
Amy2a2	0.0	0.08	0.03	0.11	0.0	0.0	0.98	0.0	0.06	0.0	0.0	0.0	0.25	0.38	0.15	0.12	0.11	0.98	0.24	0.33	0.34	0.12	0.12	0.1	0.0	0.18	0.15	0.09	0.19	0.11	0.29	0.04	0.0	0.04	0.26	0.19	0.21
Amy2a3	0.0	0.08	0.03	0.11	0.0	0.0	0.98	0.0	0.06	0.0	0.0	0.0	0.25	0.38	0.15	0.12	0.11	0.98	0.24	0.33	0.34	0.12	0.12	0.1	0.0	0.18	0.15	0.09	0.19	0.11	0.29	0.04	0.0	0.04	0.26	0.19	0.21
Amy2a4	0.0	0.08	0.03	0.11	0.0	0.0	0.98	0.0	0.06	0.0	0.0	0.0	0.25	0.38	0.15	0.12	0.11	0.98	0.24	0.33	0.34	0.12	0.12	0.1	0.0	0.18	0.15	0.09	0.19	0.11	0.29	0.04	0.0	0.04	0.26	0.19	0.21
Arf5	0.0	0.0	9.3	0.0	0.0	0.0	1.53	0.0	0.0	0.0	0.0	1.95	0.0	0.68	0.0	0.0	0.0	53.57	0.0	0.0	14.34	0.0	4.88	3.71	4.02	0.0	0.83	0.0	0.0	54.63	10.9	0.0	0.0	46.73	212.82	242.07	231.34
Arl8a	32.44	50.49	3.24	3.07	0.0	0.0	50.96	0.0	0.0	0.0	0.0	58.54	84.15	8.67	2.73	16.19	1.89	27.35	71.13	59.77	22.13	1.1	0.0	66.74	37.35	58.2	1.5	23.35	29.46	54.09	6.45	0.0	0.0	0.0	213.09	227.57	217.08
Armcx5	0.0	0.0	0.0	1.14	0.0	0.0	38.25	81.87	0.0	0.0	0.0	32.87	90.25	40.51	64.66	0.0	0.0	0.0	0.0	10.58	0.0	29.32	58.62	3.01	0.0	43.04	39.49	9.69	1.59	138.08	0.08	0.0	0.0	8.94	25.02	25.6	25.33
Bcl2l2	0.0	2.24	1.1	0.23	0.0	0.0	3.66	0.76	0.0	0.0	47.13	2.08	42.89	25.14	9.06	18.85	2.27	19.43	31.02	61.15	0.09	0.0	0.0	9.77	0.0	0.0	4.14	0.79	41.86	29.16	23.58	0.0	0.0	0.0	106.04	105.91	103.99
Cacna1b	0.0	0.0	0.28	0.78	0.0	0.0	1.49	2.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.3	0.0	0.0	0.1	0.0	0.0	5.77	0.0	0.0	0.0	0.0	1.36	0.0	0.69	10.66	1.98	0.0	0.0	0.0	49.92	43.71	54.19
Ccdc67	0.0	0.0	0.14	0.0	0.0	0.0	0.03	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.35	0.16	0.31
