	Pvalb_tdTpositive_cell_75	PvalbF.Gad2_tdTpositive_cell_73	PvalbF.Gad2_tdTpositive_cell_76	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700018A04Rik	0.0	0.0	0.0	0.0	0.14	0.14	0.3
4930403N07Rik	0.0	0.0	0.0	0.0	0.04	0.04	0.04
4930526D03Rik	0.0	0.0	0.0	0.0	0.14	0.14	0.15
4930550C14Rik	0.0	0.0	0.0	0.0	0.08	0.08	0.59
9530053A07Rik	0.0	0.0	0.0	0.0	0.04	0.04	0.05
Abca7	0.51	2.98	1.29	0.0	10.95	11.18	12.84
Abcc4	0.0	0.0	2.28	0.0	5.69	5.7	6.49
Adipoq	0.0	0.0	0.0	0.0	0.08	0.08	0.25
Alox15	0.0	0.0	0.0	0.0	0.04	0.04	0.13
Asmt	0.0	0.0	0.0	0.0	0.08	0.08	0.09
Atp8b3	0.0	0.0	0.0	0.0	0.04	0.04	0.09
BC049715	0.0	1.12	0.37	0.0	1.62	2.13	2.06
Blk	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Bloc1s3	2.11	5.21	4.09	2.09	16.15	16.72	15.16
C8b	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Calcrl	0.15	0.0	0.0	0.0	4.21	3.24	4.58
Ceacam-ps1	0.0	0.0	0.0	0.0	0.14	0.14	0.0
Cnga4	0.0	0.0	0.0	0.0	0.96	1.13	1.56
Col4a3	0.0	0.0	0.0	0.0	0.16	0.16	0.29
Coro2a	0.0	0.1	0.1	0.0	24.12	25.94	24.68
Cym	0.0	0.0	0.0	0.0	0.08	0.08	0.25
Dnase2b	0.0	0.0	0.0	0.0	0.04	0.04	0.13
Dsg1c	0.0	0.0	0.0	0.0	0.32	0.32	0.43
Duox2	0.0	0.0	0.0	0.0	0.02	0.02	0.03
E030010A14Rik	0.35	0.41	0.37	0.39	1.21	1.66	0.45
F11	0.0	0.0	0.0	0.0	0.04	0.04	0.05
Foxi1	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Gabra6	0.0	0.0	0.0	0.0	0.04	0.04	0.08
Gipr	0.0	0.0	0.0	0.0	2.77	2.77	3.21
Gm4814	0.0	0.0	0.0	0.0	0.28	0.28	0.9
Gm572	0.0	0.0	0.0	0.0	0.14	0.14	0.07
Gm884	0.0	0.0	0.0	0.0	0.02	0.02	0.0
Gnaz	0.0	29.21	8.43	0.0	56.74	56.71	56.07
Grhl1	0.0	0.0	0.0	0.0	12.77	12.77	12.33
H2-Q10	0.0	0.0	0.0	0.0	0.07	0.07	0.0
Hhla1	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Hpd	0.0	0.0	0.0	0.0	0.07	0.07	0.15
Hsd3b7	0.0	2.32	0.0	0.0	9.05	11.19	9.85
Kif2c	0.0	0.0	0.0	0.0	0.28	0.28	0.42
Lipk	0.0	0.0	0.0	0.0	0.04	0.04	0.0
Lmx1b	0.0	0.0	0.0	0.0	0.08	0.08	0.09
Megf8	0.03	4.39	4.06	2.25	58.28	58.89	62.16
Ms4a4b	0.0	0.0	0.0	0.0	0.08	0.08	0.0
Nkd1	0.0	0.0	0.0	0.0	9.09	10.05	10.24
Nkx6-3	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Nr1i2	0.0	0.0	0.0	0.0	0.04	0.04	0.0
Perp	0.0	0.0	0.0	0.0	5.12	5.12	4.69
Pgc	0.0	0.0	0.0	0.0	0.07	0.07	0.0
Pmp2	0.0	0.0	0.0	0.0	0.07	0.07	0.15
Pon2	0.0	0.66	0.0	0.0	45.75	47.84	54.54
Rnf183	0.0	0.0	0.0	0.0	0.07	0.07	0.0
Scnn1a	0.0	0.0	0.0	0.0	3.6	3.6	3.34
Sema3c	0.0	0.0	4.75	0.0	13.41	14.04	14.1
Slco6c1	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Tead1	0.06	0.09	0.12	0.0	5.49	5.49	6.28
Tpte	0.0	0.0	0.0	0.0	0.04	0.04	0.16
Vax2os2	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Vmn2r118	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Yipf7	0.0	0.0	0.0	0.0	0.08	0.08	0.09
Zfp36l3	0.0	0.0	0.0	0.0	0.04	0.04	0.12
mt_AK131586	0.0	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	9.1	0.0	0.0	9032.87	8417.95	8583.15
