	Chrna2_tdTpositive_cell_75	Nos1_tdTpositive_cell_38	Nos1_tdTpositive_cell_56	Ntsr1_tdTpositive_cell_10	Ntsr1_tdTpositive_cell_12	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_33	Ntsr1_tdTpositive_cell_35	Ntsr1_tdTpositive_cell_37	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_40	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_51	Ntsr1_tdTpositive_cell_57	Ntsr1_tdTpositive_cell_59	Ntsr1_tdTpositive_cell_61	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_5	Rbp4_tdTpositive_cell_41	Rbp4_tdTpositive_cell_44	Rbp4_tdTpositive_cell_50	Rbp4_tdTpositive_cell_62	Rbp4_tdTpositive_cell_96	Rbp4_tdTpositive_cell_108	Rbp4_tdTpositive_cell_154	Rbp4_tdTpositive_cell_170	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_40	Scnn1a.Tg3_tdTnegative_cell_20	Slc17a6_tdTpositive_cell_3	Slc17a6_tdTpositive_cell_24	Slc17a6_tdTpositive_cell_30	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_16	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610012G03Rik	36.16	4.14	0.82	3.0	1.43	143.45	1.84	1.55	2.44	9.79	3.19	47.99	1.18	1.27	0.81	0.95	0.0	3.49	0.69	26.08	6.87	144.37	14.44	3.02	47.93	0.04	0.76	64.17	2.68	0.87	3.8	5.4	4.07	3.47	0.57	1.83	2.43	2.05	13.15	3.39	5.98	6.39	6.63	3.07	1.84	11.26	3.68	11.27	7.52	16.24	2.63	0.82	1.93	4.8	2.68	36.91	15.36	0.86	45.02	53.85	52.5
1700003M07Rik	0.0	54.88	1.24	1.13	1.5	1.48	0.01	0.56	2.28	2.03	0.59	0.15	1.35	0.69	0.46	1.04	0.74	3.7	2.51	0.55	2.33	1.59	25.44	0.6	1.07	2.29	3.46	99.84	2.03	0.21	2.42	2.55	2.43	2.09	2.45	2.87	2.18	1.58	4.68	4.38	0.93	0.35	0.93	0.56	0.79	0.65	5.2	3.11	0.71	1.99	1.09	0.81	0.3	5.0	0.06	0.81	0.48	0.64	16.32	15.13	17.66
1700007F19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.63	0.0	0.0	0.0	0.0	69.63	0.2	0.0	0.21	0.0	0.0	2.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.09	0.0	0.0	0.0	0.61	0.74	0.43	0.0	0.0	0.0	0.0	0.0	0.0	17.41	0.0	0.0	0.0	0.49	0.37	0.88
1700028E10Rik	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.0	0.51	0.14	0.83	0.48	0.46	0.0	0.0	1.2	0.38	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	18.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.0	0.0	0.0	0.0	1.8	0.73	0.0	0.0	0.0	0.0	0.32	1.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.49	0.4
2810055F11Rik	0.0	44.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.21	0.0	0.0	0.0	0.0	41.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.34	3.68	0.0	0.0	0.0	1.02	1.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.33	2.53	4.22
2810403D21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.9	0.0	0.0	0.4	0.0	31.74	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	48.82	0.66	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.98	0.0	0.0	2.45	0.0	0.27	0.0	4.5	0.31	0.71	1.44	0.0	0.0	60.48	0.0	0.0	0.0	0.0	0.0	0.16	1.42	1.46	1.35
4930568K20Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	1.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56	0.0	0.0	5.53	0.15	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0
4932412D23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.61	0.0	0.0	0.16	0.0	0.0	0.07	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.41	0.0	0.02	0.07	0.1
8030462N17Rik	0.0	0.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4	0.0	0.0	0.08	0.0	2.87	0.63	2.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	283.13	1.96	0.0	0.3	0.0	0.3	0.0	0.0	0.96	1.4	2.23	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.52	19.12	20.03
A830082K12Rik	4.16	10.23	1.74	4.65	14.05	0.52	0.0	4.45	1.01	5.39	1.66	39.15	13.25	4.08	8.87	1.5	1.89	66.14	54.13	3.98	8.98	29.34	17.62	69.44	5.04	0.42	10.63	209.1	8.93	1.54	6.32	74.22	50.13	67.07	1.94	2.78	1.78	2.54	25.73	25.66	13.93	14.42	10.32	21.59	19.97	16.19	12.37	12.35	7.57	8.15	28.79	4.49	6.05	0.64	0.78	6.06	2.02	2.93	12.0	10.76	11.26
