	Ctgf_tdTpositive_cell_6	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_5	Gad2_tdTpositive_cell_16	Ndnf_tdTpositive_cell_3	Nos1_tdTpositive_cell_54	Ntsr1_tdTnegative_cell_56	Rbp4_tdTnegative_cell_15	Scnn1a.Tg2_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_24
Alx4	0.05	0.0	0.26	1.72	0.29	0.29	4.55	0.15	0.18	3.47	0.0	0.0
Amy2a2	0.0	0.0	0.27	0.1	0.06	0.52	0.95	0.08	0.04	1.05	0.0	0.0
Amy2a3	0.0	0.0	0.27	0.1	0.06	0.52	0.95	0.08	0.04	1.05	0.0	0.0
Amy2a4	0.0	0.0	0.27	0.1	0.06	0.52	0.95	0.08	0.04	1.05	0.0	0.0
C2cd2	0.08	0.0	0.23	1.55	0.1	1.71	1.67	0.04	0.95	2.29	0.0	0.0
Dhx37	0.41	0.0	3.7	2.37	1.35	4.21	5.16	0.71	0.51	7.26	0.0	0.0
Dub1	0.93	0.61	6.38	7.62	4.65	6.67	16.86	0.73	11.29	23.62	0.0	0.5
Gm19782	0.07	0.0	5.49	25.83	2.1	4.17	16.31	0.54	3.21	30.42	0.0	1.31
Lpp	0.25	0.0	17.94	6.73	0.66	47.75	14.94	0.51	134.16	4.56	0.07	0.36
Mageb16-ps1	0.0	0.0	6.68	11.96	3.24	1.36	1.91	0.69	7.55	21.16	0.41	0.0
Mc1r	0.41	0.43	1.48	11.54	2.03	2.03	7.07	1.24	2.38	7.43	0.14	0.34
Nphs1	2.83	0.25	4.0	36.86	3.58	6.12	19.73	2.96	6.55	9.29	0.13	2.29
Nt5dc3	0.04	0.4	3.93	9.63	2.17	2.72	11.95	1.44	2.73	8.95	0.0	0.0
Pttg1	1085.41	1141.94	1572.88	1461.33	1556.21	1214.99	1110.8	499.8	1160.0	899.63	347.56	412.75
Rgs9bp	0.0	0.0	0.07	0.08	0.02	0.2	0.18	0.0	0.0	1.47	0.0	0.0
Skint4	0.29	0.0	5.37	22.39	1.34	5.94	12.72	3.54	8.51	35.76	0.0	2.35
Tirap	9.58	0.58	18.0	27.61	9.6	24.28	24.61	13.19	18.88	95.09	0.0	6.85
Ube2j2	3.09	0.26	4.8	8.87	4.56	5.09	5.63	3.37	4.74	5.04	0.76	2.0
