	Ctgf_tdTpositive_cell_4	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_65	Cux2_tdTnegative_cell_14	Ndnf_tdTpositive_cell_2	Nr5a1_tdTpositive_cell_30	Nr5a1_tdTpositive_cell_36	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_6	Ntsr1_tdTpositive_cell_12	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_31	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_52	Rbp4_tdTpositive_cell_54	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_183	Slc17a6_tdTpositive_cell_30	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_39	CAV_LP_Ipsi_tdTpos_cell_41
0910001L09Rik	0.0	0.0	154.88	37.89	141.83	0.0	0.0	59.44	141.61	110.7	0.0	73.12	3.73	0.0	118.24	135.2	112.94	74.77	0.0	58.41	52.59	87.72	22.11	54.36	67.61	101.25	114.27	86.88	88.26	87.31	111.34	68.97	75.92	87.93	0.0	0.0	0.0	94.89	113.46	0.46	32.36	68.9	126.3
1700063D05Rik	0.0	0.0	0.0	2.15	5.83	7.65	0.0	0.0	0.63	0.0	0.0	9.83	0.0	5.99	0.0	0.0	0.0	5.23	0.0	2.34	7.81	1.57	1.26	0.53	2.19	1.0	2.16	0.0	2.27	1.58	1.78	0.45	1.55	2.61	0.0	0.0	12.59	0.0	0.0	0.0	0.0	5.43	0.53
1700123O20Rik	0.0	0.2	60.55	57.28	108.74	178.91	0.0	94.53	0.0	0.22	0.0	0.0	51.88	60.79	177.24	72.56	0.27	106.71	111.43	37.46	1.02	47.51	0.0	46.27	90.6	69.94	86.97	44.78	55.41	32.77	55.83	48.96	48.96	45.12	0.0	0.21	0.0	46.16	113.03	118.88	34.47	21.61	0.0
1810027O10Rik	0.0	114.8	332.88	189.13	597.59	107.78	143.94	676.5	170.62	241.69	0.0	231.47	235.41	241.2	472.79	136.24	162.42	213.89	246.66	389.28	425.49	434.82	251.01	270.11	262.64	208.35	266.28	223.06	244.51	229.25	326.44	215.84	264.79	258.64	270.3	460.69	243.07	382.34	390.41	279.23	118.17	249.11	196.71
2210039B01Rik	0.0	10.91	2.13	0.3	35.22	5.73	0.8	0.6	3.39	0.97	0.35	2.69	2.21	13.98	21.99	0.0	7.74	6.05	6.84	11.66	2.56	19.36	41.27	10.8	5.43	9.38	5.28	5.24	6.67	9.83	10.46	4.25	5.95	6.0	8.19	0.56	3.97	0.0	0.0	7.78	0.0	2.33	2.93
2310003C23Rik	0.18	0.72	0.83	2.03	21.54	1.15	2.77	1.51	1.41	1.36	4.22	0.91	0.0	1.57	1.52	0.58	1.33	2.17	0.0	10.76	7.77	5.22	1.71	8.11	16.0	42.65	15.33	7.33	19.32	21.92	2.15	13.86	15.79	19.43	0.16	0.31	0.0	0.66	0.66	0.63	2.94	2.76	73.59
2310067B10Rik	0.0	0.0	0.0	0.48	1.0	0.0	0.79	0.15	0.33	0.0	1.05	0.2	0.14	0.2	0.27	0.35	0.08	0.6	0.0	2.67	0.2	12.18	0.17	3.38	1.06	0.46	2.22	5.42	6.84	7.31	6.15	4.2	4.09	6.47	0.06	0.17	0.0	0.06	0.1	0.0	0.36	0.24	0.0
2700060E02Rik	1.4	0.75	20.68	69.41	228.85	49.84	87.0	0.0	47.62	2.36	0.0	97.73	46.96	12.4	40.32	58.55	75.42	42.0	0.24	81.12	96.94	149.54	107.24	83.3	92.51	55.29	49.44	44.88	83.54	83.74	41.71	37.22	48.71	47.05	73.61	0.0	1.19	139.39	37.07	0.0	99.64	122.94	63.0
4632415L05Rik	0.0	3.22	2.92	0.79	6.95	1.27	6.31	0.87	0.76	0.83	0.54	1.49	1.8	1.66	0.58	0.3	1.1	2.38	0.0	4.55	17.9	5.29	4.4	13.84	4.06	4.11	2.81	2.63	2.63	5.3	4.05	3.66	6.65	2.03	0.0	0.55	0.45	0.89	0.27	0.0	4.83	6.43	2.0
4930506M07Rik	0.0	0.29	0.0	2.52	60.77	0.0	5.04	0.09	5.85	2.77	0.0	0.0	0.0	0.0	0.0	0.0	6.24	3.34	0.0	0.89	0.12	2.17	0.0	15.85	3.5	7.24	8.42	18.46	15.2	16.88	7.68	13.93	9.35	7.88	0.0	0.0	35.2	5.38	0.0	2.64	3.7	12.56	0.0
