	Ctgf_tdTpositive_cell_3	Nos1_tdTpositive_cell_16	Pvalb_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001K23Rik	0.0	0.0	0.0	0.22	0.2	0.22
1700020L24Rik	0.0	0.0	0.0	1.96	3.69	1.69
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4931423N10Rik	0.0	0.0	0.0	0.22	0.2	0.22
9230116N13Rik	0.21	0.16	0.0	0.29	0.42	0.53
9430020K01Rik	0.12	0.07	0.0	74.16	66.09	69.17
A430088P11Rik	0.0	0.06	0.0	0.2	0.15	0.2
Aard	0.0	0.0	0.0	4.08	2.94	2.84
Adcy2	0.0	51.24	0.0	100.5	101.82	105.41
Ampd2	0.0	0.09	0.31	43.08	46.45	44.94
Ankrd53	0.0	0.0	0.0	2.35	1.75	1.3
Asb2	0.0	0.0	0.0	3.01	2.66	2.2
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
Bahd1	0.0	1.07	0.0	29.7	27.75	26.96
Bean1	0.0	0.0	0.0	10.89	11.52	10.31
Bend3	0.0	0.0	0.0	3.3	3.43	3.81
Blk	0.0	0.0	0.0	0.04	0.04	0.04
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Calhm1	0.0	0.0	0.0	0.1	0.09	0.1
Capn1	0.0	1.16	0.0	20.82	21.05	20.65
Ccdc99	0.0	0.0	0.0	0.28	0.3	0.49
Cd276	0.0	6.5	0.0	11.13	11.56	11.55
Cd46	0.0	0.0	0.0	4.22	3.27	4.7
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Chga	0.0	134.22	25.47	171.57	179.76	168.57
Chid1	0.99	13.59	0.0	31.8	32.99	30.25
Cideb	0.0	0.0	0.0	3.43	4.52	4.96
Cldn23	0.0	0.0	0.0	0.54	0.96	1.05
Clec12a	0.0	0.0	0.0	0.98	0.97	0.92
Clpx	0.0	2.53	0.0	25.38	26.13	25.1
Cryaa	0.0	0.0	0.0	0.09	0.16	0.18
Cyp4v3	0.0	0.0	0.0	5.18	6.97	5.11
D6Mm5e	0.0	0.0	0.0	0.1	0.09	0.1
Dazl	0.0	0.0	0.0	3.69	3.12	3.15
Dspp	0.0	0.0	0.0	0.11	0.1	0.11
Dusp19	0.0	8.58	0.0	23.2	18.78	23.96
Dyrk4	0.0	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.0	0.1	0.09	0.1
Efcab9	0.0	0.0	0.0	0.4	0.5	0.83
Ermap	0.55	1.58	1.47	1.74	1.96	2.22
Evc	0.0	0.0	0.0	5.42	5.4	6.13
Fads6	0.0	0.0	0.0	17.09	15.26	16.72
Fam155a	0.13	30.86	9.78	68.35	71.84	72.94
Fam179a	0.0	0.0	0.0	2.19	2.75	2.32
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Fpgs	0.0	0.0	0.0	7.35	7.59	8.17
Frat2	0.0	0.0	0.0	7.51	8.93	8.29
Gabrr2	0.0	0.0	0.0	0.55	0.72	0.85
Gdf6	0.0	0.0	0.0	0.03	0.03	0.06
Glipr1	0.0	0.53	0.0	2.53	2.18	2.29
Glt25d2	0.0	0.0	0.0	5.16	5.27	5.3
Gm10125	0.0	0.45	0.0	2.78	2.68	3.07
Gm10823	0.0	0.0	0.0	0.0	0.35	0.14
Gpr45	0.0	0.0	0.0	5.04	5.83	5.31
Grid2	0.0	0.0	0.1	7.2	8.47	8.34
Hadh	0.0	0.0	0.0	25.68	29.81	29.14
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hist2h2aa2	0.0	0.0	0.0	0.76	17.27	0.0
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Hydin	0.0	0.0	0.0	0.28	0.39	0.43
Inhbc	0.0	0.0	0.0	0.05	0.05	0.1
Iqcg	0.1	0.0	0.0	2.25	2.38	1.89
Kcnk10	0.0	0.0	0.0	4.25	4.33	3.7
Kdm4a	0.0	1.27	0.0	33.21	34.05	34.15
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Khdrbs3	0.0	3.37	0.77	170.44	167.93	173.76
Klf11	0.0	0.09	0.0	6.11	6.52	6.05
L2hgdh	0.0	0.06	2.84	15.54	15.82	15.55
Lair1	0.0	0.0	0.0	5.1	5.25	5.32
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lass3	0.0	0.0	0.0	0.42	0.2	0.22
Limk1	0.0	0.0	0.0	41.44	42.72	43.54
Lipm	0.0	0.0	0.0	0.11	0.1	0.11
Lrfn3	0.0	16.39	0.0	20.54	21.55	19.57
Lrig1	0.0	0.0	0.0	20.22	19.51	21.42
Ly9	0.0	0.0	0.0	0.2	0.15	0.25
Mageb18	0.0	0.05	0.0	0.19	0.13	0.21
Mark4	0.0	2.32	0.0	61.37	67.18	65.64
Mblac1	0.0	0.0	0.0	4.14	5.92	6.56
