	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_5	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_8	Gad2_tdTpositive_cell_30	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_5	Ndnf_tdTpositive_cell_6	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_28	Ntsr1_tdTnegative_cell_33	Ntsr1_tdTnegative_cell_56	PvalbF.Gad2_tdTpositive_cell_4	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_89	PvalbF.Gad2_tdTpositive_cell_90	PvalbF.Gad2_tdTpositive_cell_91	PvalbF.Gad2_tdTpositive_cell_92	Rbp4_tdTpositive_cell_17	Rbp4_tdTpositive_cell_174	Rbp4_tdTnegative_cell_14	Rbp4_CTX_10pg_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2
100043387	0.0	0.0	0.79	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	8.49	0.0	15.03	24.66	0.0	0.0	0.0	20.52	5.89	39.64	53.56	71.2	31.81	6.83	0.93	0.0	58.82	11.37	28.38	0.0	0.0	6.41	4.3	2.63
2210021J22Rik	1336.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	133.63	36.41	16.3	0.0	43.72	57.17	0.0	0.0	0.0	0.0	0.21	64.39	0.0	0.0	24.87	15.84	16.64
2810008D09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	268.99	0.0	0.0	15.13	0.0	0.0	192.81	23.6	0.0	0.0	0.0	105.91	8.58	42.91	14.63	65.86	65.09	0.82	267.03	135.2	211.2	130.93	137.51	522.84	0.0	12.18	42.36	49.35
8430410A17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.72	0.0	0.0	0.43	0.76	8.7	0.0	31.95	0.0	9.77	0.0	1.16	2.17	0.0	0.61	0.12	157.49	0.0	0.0	0.0	21.53	26.03
8430419L09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.89	1.23	135.91	0.05	0.0	0.28	16.35	110.91	33.73	52.15	47.26	44.54	47.81	1.83	9.39	14.16	10.3	24.98	71.34	2.28	0.15	135.14	139.39	141.01
Aacs	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	35.07	0.27	0.0	0.56	0.0	0.0	0.0	13.01	0.0	11.69	9.03	11.66	0.27	0.08	0.16	0.0	1.64	851.29	0.2	129.26	36.46	39.78
Ache	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.29	0.0	0.0	0.48	0.63	0.0	5.88	0.0	0.0	5.86	1.78	0.26	0.0	0.0	51.77	27.4	0.0	0.0	0.06	55.65	63.55
Actr6	0.0	0.0	0.0	0.0	676.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	36.15	0.0	0.0	0.0	0.63	5.69	0.0	76.5	87.93	45.96	11.72	266.33	157.76	56.72	0.1	46.56	78.59	470.9	0.0	22.72	25.59	24.11
Adap1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.18	0.0	3.3	8.44	0.0	0.0	0.44	6.63	4.18	21.73	0.29	15.85	23.34	12.74	0.12	1.61	0.14	13.08	101.96	1.99	0.0	53.18	195.41	208.11
Atcay	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9	0.07	7.35	1.73	0.0	0.0	1.71	0.12	4.38	32.41	4.48	30.19	60.72	31.58	0.81	0.9	22.04	0.1	58.41	7.68	0.0	86.54	152.84	156.79
