	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_7	Cux2_tdTpositive_cell_6	Ndnf_tdTpositive_cell_11	Ndnf_tdTnegative_cell_7	Nr5a1_tdTpositive_cell_35	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_16	Rorb_tdTpositive_cell_19	Scnn1a.Tg2_tdTpositive_cell_20
Atp5c1	258.23	0.35	484.66	0.48	11.41	311.39	1457.14	1630.01	968.43	1150.69	983.15	1103.03	654.24	1758.38	1048.63	0.6	30.94	0.0	0.0	0.93	1069.41	14.08
Atp6v0b	4.72	1372.82	1035.59	0.0	0.0	951.09	1662.3	1069.93	1143.38	1379.66	958.22	595.04	936.59	1154.38	2093.43	284.03	1145.04	10.46	1015.31	5.48	1568.44	1586.66
Bex2	0.0	0.0	766.69	0.64	0.0	317.76	779.62	487.73	727.85	351.61	799.69	766.61	742.69	796.94	989.57	0.0	10.33	30.0	0.0	0.41	857.82	701.76
Ccl27b	0.0	0.0	113.94	0.0	0.0	10.7	54.72	30.68	0.23	50.62	21.3	114.35	145.03	118.2	75.28	0.0	0.0	0.0	0.0	0.0	150.8	49.16
Cops3	0.0	0.0	313.22	0.0	0.0	353.05	469.91	217.65	67.93	0.26	365.33	0.59	319.46	294.49	497.26	0.0	0.0	0.0	61.94	0.23	357.37	0.97
Csnk2a2	0.0	0.0	0.67	0.3	0.16	13.34	0.46	5.71	0.0	20.36	1.46	4.31	0.74	0.15	20.34	0.31	0.0	0.21	0.0	0.0	0.42	4.6
Epha4	0.0	0.0	213.48	0.14	0.3	59.4	9.03	88.02	37.89	57.62	43.6	246.65	3.58	80.11	214.14	0.38	1.56	1.01	0.22	0.06	161.92	409.16
Fam5b	0.0	0.0	86.97	0.0	0.0	4.08	0.0	0.0	7.98	0.0	7.48	29.65	0.0	0.0	5.41	0.0	0.0	0.0	24.86	0.09	0.6	75.41
Gm13306	0.0	0.0	113.94	0.0	0.0	10.7	54.72	30.68	0.23	50.62	21.3	114.35	145.03	118.2	75.28	0.0	0.0	0.0	0.0	0.0	150.8	49.16
Gm14430	0.0	0.0	11.58	0.0	0.0	1.33	4.76	8.15	0.0	6.89	0.0	0.0	12.82	0.2	0.0	0.0	0.0	0.0	0.0	0.12	13.33	13.93
