	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_43	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_25	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	Rbp4_tdTpositive_cell_51	Rbp4_tdTpositive_cell_89
1700025K24Rik	0.0	0.0	0.0	0.0	0.0	1.91	0.0	0.0	1.74	1.06	0.0	0.0	0.0	0.75	0.0	0.0	0.7	0.0
1700128F08Rik	0.0	17.86	0.48	14.13	24.6	51.75	26.58	50.7	57.73	82.74	45.69	13.72	35.98	53.96	36.9	35.79	35.37	5.79
4932438A13Rik	0.0	2.47	9.3	10.4	13.45	12.74	2.45	0.0	41.61	14.58	20.33	7.39	18.5	1.0	5.56	10.47	8.44	1.03
4933413L06Rik	0.0	38.76	0.0	37.33	53.65	49.3	21.24	42.82	159.93	43.55	42.92	7.55	10.17	37.24	8.68	9.27	116.02	0.0
5730577I03Rik	0.0	13.46	0.0	14.82	23.35	38.25	23.23	19.34	47.4	25.59	24.7	9.39	26.61	17.37	23.18	17.57	25.78	0.0
A730017L22Rik	0.0	47.54	0.58	38.88	49.34	65.94	34.74	49.98	63.73	64.62	49.83	40.4	47.63	121.21	52.73	53.84	51.44	0.0
Apbb2	0.0	52.21	4.86	13.91	19.63	18.44	17.65	0.0	111.28	19.41	25.7	24.52	10.02	39.42	52.51	37.85	22.52	30.65
Arx	0.0	0.0	0.0	0.0	0.0	60.68	3.9	0.0	39.99	13.39	9.45	1.63	10.77	0.0	31.29	0.09	0.43	0.0
Atg5	0.0	0.0	84.13	85.22	34.26	84.21	92.99	1.65	231.05	143.14	96.64	22.4	53.31	49.24	106.08	69.43	28.96	0.0
Bdp1	0.0	12.4	0.0	9.82	0.54	18.86	0.25	0.08	25.34	0.92	0.03	1.76	11.47	8.89	11.3	5.98	11.65	0.0
