	Calb2_tdTpositive_cell_53	Cux2_tdTnegative_cell_6	Ndnf_tdTnegative_cell_7	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_56	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_6	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_88	Rbp4_tdTnegative_cell_1
1700040L02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.87	34.24	0.0	27.39	0.0	0.0	0.0	0.0	0.0
9130019O22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aacs	0.0	0.0	0.0	0.0	0.1	35.07	0.27	0.0	44.75	0.0	0.0	13.01	0.0	11.69	9.03	11.66	0.15
Accn2	0.0	0.0	0.0	0.0	0.0	0.78	0.06	1.59	16.51	0.18	0.0	0.12	0.0	2.06	21.9	0.12	0.0
Acp1	16.57	0.0	0.0	12.02	0.05	13.01	74.72	2.52	385.79	161.36	66.88	121.87	69.95	83.05	152.81	156.0	171.89
Armc7	0.0	0.0	0.0	0.0	0.0	0.0	1.15	0.0	26.47	0.0	0.0	0.59	0.0	8.23	0.0	0.61	0.0
B4galnt4	0.0	0.0	0.0	0.0	0.0	1.27	1.31	0.0	29.59	0.0	2.02	14.01	16.32	0.0	17.01	0.07	0.0
BC031361	0.0	0.33	0.28	0.14	0.0	102.23	0.0	0.0	19.25	7.83	0.0	0.17	0.0	0.0	0.38	0.16	0.11
Calm1	285.44	0.23	190.35	865.87	1550.48	778.0	1107.75	197.73	1732.94	1161.64	1328.97	1811.05	1061.53	1297.53	1213.83	830.32	395.42
Capn7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	41.74	25.18	0.0	10.95	0.49	0.0	18.58	0.0	0.0
