	Ctgf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_7	Sst_tdTpositive_cell_106	Tac2_tdTpositive_cell_4	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110004E09Rik	0.0	0.0	0.0	113.12	41.06	48.94	39.53
1700001J03Rik	0.0	0.0	0.0	0.84	0.53	0.37	0.68
1700013F07Rik	0.0	0.0	0.0	46.57	2.1	2.31	1.45
1700022P22Rik	0.0	0.0	0.0	73.74	0.75	0.94	1.03
1700024P03Rik	0.0	0.0	0.0	16.44	0.21	0.0	0.21
1700097N02Rik	0.0	0.0	0.0	0.77	0.0	0.0	0.0
1810010H24Rik	0.0	0.0	0.0	90.93	3.76	5.37	5.01
2510003E04Rik	0.0	0.0	0.0	129.47	178.04	190.65	180.04
4930434J06Rik	0.0	0.0	0.0	0.41	0.0	0.0	0.0
4930474H20Rik	0.0	0.0	0.0	0.85	0.0	0.0	0.0
4930539E08Rik	0.86	16.88	4.73	32.54	9.63	8.55	9.86
4930545H06Rik	0.0	0.0	0.0	0.85	0.0	0.0	0.0
4930578M01Rik	0.0	0.0	0.0	3.57	1.56	2.21	2.19
4931408D14Rik	0.0	0.12	0.0	0.57	0.76	0.49	0.59
4932415G12Rik	0.0	0.0	0.0	145.0	22.26	22.71	20.89
4933416E03Rik	0.0	0.0	0.0	0.57	0.0	0.0	0.0
5730419I09Rik	0.0	0.0	22.93	161.96	42.57	40.84	43.63
5730522E02Rik	0.0	0.0	0.0	12.45	4.0	3.34	5.49
A230020J21Rik	0.0	0.0	0.0	15.26	0.19	0.49	0.55
AA467197	0.0	0.0	0.0	2.08	0.48	0.91	0.5
AI854517	0.0	0.0	0.5	43.69	22.64	22.37	22.72
Aasdhppt	1.28	0.39	1.7	200.92	27.25	24.71	25.34
Afap1l1	0.0	579.35	0.0	59.51	21.46	22.36	22.78
Aloxe3	0.0	0.0	0.0	53.1	5.1	5.87	5.73
Amdhd1	0.0	0.0	0.0	31.07	0.53	0.23	0.63
Amz1	0.0	0.0	0.0	54.98	13.41	14.58	12.37
Aplf	0.0	0.11	0.0	65.14	14.39	12.8	15.31
Armcx6	0.0	0.0	0.0	89.99	6.63	6.19	6.04
Arxes2	0.0	0.0	1.15	442.46	79.06	83.26	73.01
Aste1	0.0	0.0	0.0	93.72	5.86	5.03	6.46
Atp6v1g3	0.0	0.0	0.0	0.33	0.0	0.0	0.0
B3gnt4	0.0	0.0	0.0	22.11	1.04	1.1	1.51
BC046331	0.0	0.0	0.0	57.88	25.23	24.71	26.39
Bcl10	0.0	0.0	0.0	73.45	14.74	16.44	13.35
Bcl9l	0.0	0.0	0.0	7.14	18.51	19.52	18.72
Btg4	0.0	0.0	0.0	43.58	0.0	0.0	0.0
C130026L21Rik	0.0	0.0	0.0	4.09	6.59	4.79	6.36
C330021F23Rik	0.0	0.0	0.0	1.11	0.19	0.22	0.16
Cab39l	0.0	0.0	0.23	226.75	21.41	21.13	20.76
Calcb	0.0	0.0	0.0	117.45	0.32	0.2	0.11
Carf	0.0	0.0	0.0	107.03	13.12	11.07	10.53
Casp7	0.0	0.0	0.0	73.64	3.66	3.29	3.43
Ccdc160	0.0	0.0	0.23	39.41	3.12	2.87	3.02
Ccdc46	0.0	0.0	0.0	37.42	1.91	1.36	2.68
Cdca4	0.0	0.0	0.0	92.79	5.8	6.66	6.5
Cercam	0.4	0.0	0.0	4.67	6.14	6.73	8.5
Cidea	0.0	0.0	0.0	187.01	3.71	3.01	2.76
Crb3	0.0	0.0	0.0	35.37	0.7	0.49	0.63
Ctsf	0.0	0.0	0.0	267.19	60.93	67.95	62.8
D2hgdh	0.0	0.0	0.0	43.9	10.41	10.44	9.61
Dear1	0.0	0.0	0.0	73.84	1.68	1.03	1.9
Dgka	0.0	0.0	0.0	76.88	8.34	8.44	9.21
Diap2	0.05	0.92	0.13	22.49	11.58	10.44	11.07
Dusp28	0.0	0.0	0.0	61.83	26.98	31.47	29.99
E130003G02Rik	0.0	0.0	0.0	8.42	17.1	18.6	20.92
E2f3	0.0	0.0	0.0	40.71	15.93	16.73	15.67
Ednra	0.0	0.28	0.0	0.51	2.85	3.15	3.32
Ehhadh	0.0	0.0	0.0	60.44	3.21	3.05	3.45
Entpd2	0.0	0.0	0.18	47.15	10.25	11.24	10.95
Etaa1	0.0	0.0	0.0	9.69	5.25	5.89	5.8
Fam107b	0.0	0.0	0.0	91.92	8.13	7.55	7.11
Fam110c	0.0	0.0	0.0	1.39	0.11	0.28	0.15
Fam120c	0.0	0.0	0.49	44.84	32.54	29.06	31.11
Fancb	0.0	0.0	0.0	101.99	2.93	2.32	2.66
Fbxo36	0.0	0.0	0.0	85.74	4.06	5.1	4.42
Fbxo7	0.0	0.0	0.37	197.86	27.69	29.75	30.81
Fhod1	0.0	0.0	0.0	8.29	3.89	4.06	3.96
Filip1	0.0	0.0	0.0	49.88	11.37	11.9	11.71
Filip1l	0.0	0.0	0.0	69.15	2.94	2.8	2.5
Fndc1	0.0	0.0	0.0	36.83	2.71	2.53	3.06
Fuk	0.0	0.09	0.0	13.34	12.3	14.05	13.61
Fus	0.0	1.71	33.9	36.7	236.98	238.88	232.01
Gabrr3	0.0	0.0	0.0	1.3	0.07	0.06	0.07
Galnt7	0.0	0.0	0.0	51.88	7.46	7.03	6.73
Gda	0.0	0.0	0.0	29.91	173.69	169.3	165.34
Gga2	1.96	1.39	0.45	35.32	18.05	18.84	18.09
Glb1l	0.0	0.0	0.0	2.54	6.38	7.81	7.17
Gm17801	0.0	0.73	0.51	2.28	0.54	0.54	0.35
Gm19710	0.0	0.0	0.0	75.04	1.94	1.79	1.72
Gm20063	0.0	0.0	0.0	2.35	7.4	6.97	9.55
Gm3696	0.0	0.0	0.0	120.13	8.77	8.4	8.13
