	Chrna2_tdTpositive_cell_11	Chrna2_tdTpositive_cell_64	Ctgf_tdTpositive_cell_10	Cux2_tdTnegative_cell_4	Ndnf_tdTpositive_cell_20	Nkx2.1_tdTpositive_cell_6	Nos1_tdTpositive_cell_73	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_15	Pvalb_tdTpositive_cell_19	Pvalb_tdTpositive_cell_31	Pvalb_tdTpositive_cell_36	Pvalb_tdTpositive_cell_38	Pvalb_tdTpositive_cell_50	Pvalb_tdTpositive_cell_53	Pvalb_tdTpositive_cell_60	Pvalb_tdTpositive_cell_62	PvalbD.Slc32a1_tdTpositive_cell_9	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_41	Rbp4_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_15
1700128F08Rik	54.67	41.73	0.0	0.0	0.0	61.02	227.35	0.48	41.94	39.17	29.26	38.13	37.67	42.8	36.52	14.07	50.78	12.78	35.2	21.88	48.38	20.41	98.54	5.92
2700097O09Rik	85.8	1.34	0.0	0.0	0.0	212.04	14.32	0.0	0.0	0.0	168.63	69.19	0.0	0.0	13.23	0.0	35.85	0.0	55.99	0.0	154.96	0.0	10.23	0.0
Amy2a2	0.08	0.03	0.0	0.0	0.0	0.63	0.71	0.0	0.25	0.15	0.12	0.11	0.24	0.33	0.34	0.12	0.12	0.0	0.18	0.15	0.09	0.11	0.26	0.04
Amy2a3	0.08	0.03	0.0	0.0	0.0	0.63	0.71	0.0	0.25	0.15	0.12	0.11	0.24	0.33	0.34	0.12	0.12	0.0	0.18	0.15	0.09	0.11	0.26	0.04
Amy2a4	0.08	0.03	0.0	0.0	0.0	0.63	0.71	0.0	0.25	0.15	0.12	0.11	0.24	0.33	0.34	0.12	0.12	0.0	0.18	0.15	0.09	0.11	0.26	0.04
Atg4d	22.22	0.79	0.0	0.0	0.0	48.11	3.01	0.0	3.6	0.45	36.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.65	37.59	0.0	49.34	0.0
C030034L19Rik	1.97	0.1	0.9	0.0	0.0	1.4	1.89	0.0	1.52	0.64	2.68	0.61	0.24	1.74	1.27	0.16	0.8	0.83	1.31	1.72	0.31	0.0	2.22	0.0
Ccl27b	11.2	0.0	0.0	0.0	0.0	0.31	17.08	0.0	1.45	4.61	0.0	4.09	4.46	3.01	0.0	0.0	11.2	0.0	0.0	0.0	2.09	0.0	42.8	0.0
D630013N20Rik	2.12	0.0	0.0	0.0	0.0	2.44	0.29	0.0	1.12	0.0	3.57	0.35	0.0	0.14	0.2	0.26	0.0	0.47	0.0	0.51	0.55	0.0	2.18	0.0
F830016B08Rik	25.82	10.15	0.46	0.0	0.0	23.7	110.89	0.07	17.93	22.06	9.88	19.74	17.37	32.38	11.1	3.76	6.36	5.25	18.87	5.13	23.32	10.9	44.18	1.08
Fam131a	46.43	7.48	0.0	0.0	0.0	64.85	14.64	0.0	0.0	44.56	59.05	2.63	1.54	79.6	48.45	0.0	0.0	0.61	56.08	5.05	0.61	0.0	188.15	0.0
Fdxr	48.39	0.0	0.0	0.0	0.0	62.04	21.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.75	0.0
Gm13306	11.2	0.0	0.0	0.0	0.0	0.31	17.08	0.0	1.45	4.61	0.0	4.09	4.46	3.01	0.0	0.0	11.2	0.0	0.0	0.0	2.09	0.0	42.8	0.0
Gm2506	11.2	0.0	0.0	0.0	0.0	0.31	17.08	0.0	1.45	4.61	0.0	4.09	4.46	3.01	0.0	0.0	11.2	0.0	0.0	0.0	2.09	0.0	42.8	0.0
Gm6320	0.91	0.0	0.0	0.0	0.0	1.46	0.87	0.0	0.41	0.36	0.96	0.0	0.31	0.6	0.0	0.2	0.28	0.18	0.79	0.32	0.0	0.0	0.35	0.0
Ick	2.59	0.78	0.0	0.0	84.92	0.49	1.63	0.0	0.29	0.26	1.1	0.0	0.31	14.57	0.05	0.0	0.23	0.1	0.1	0.29	0.42	0.27	1.35	0.0
Ifi203	1.11	1.04	0.37	0.0	0.0	2.48	13.33	0.21	2.28	1.09	2.76	1.82	0.86	2.26	1.09	0.47	2.52	0.46	2.41	2.15	1.9	0.83	5.35	0.0
Il17rd	0.15	0.0	0.0	0.0	0.0	0.34	0.24	0.03	0.0	0.07	0.15	0.07	0.0	0.13	0.28	0.03	0.0	0.04	0.04	0.04	0.0	0.0	0.32	0.0
Irf2	19.61	0.0	0.0	0.0	0.0	25.65	21.92	0.1	15.62	0.0	21.93	0.0	0.0	0.0	0.0	0.0	0.0	16.42	4.96	0.06	0.0	0.0	89.93	0.0
Itgb1bp3	5.46	3.79	0.28	1.32	0.0	7.02	14.41	0.0	5.07	4.03	2.83	4.62	1.97	1.68	3.93	0.11	3.12	0.2	0.78	2.97	4.55	3.07	11.19	2.72
Kcnq1ot1	52.97	31.7	28.7	0.45	16.2	59.05	175.97	0.7	77.51	48.88	55.06	42.51	40.0	43.49	33.38	20.29	47.13	34.9	36.33	36.75	57.71	34.89	131.2	14.5
Lmf1	1.35	0.0	0.0	0.0	0.0	93.69	163.78	0.0	0.0	0.0	53.87	0.0	0.0	0.0	0.0	0.0	42.59	0.0	0.0	41.67	0.0	0.0	0.0	0.0
Mll5	44.99	45.34	0.0	0.05	0.0	80.47	55.78	0.89	4.52	53.61	8.23	44.56	13.3	3.37	2.41	15.17	41.67	13.42	7.9	15.99	31.58	9.48	42.25	0.0
Pi15	19.2	8.96	0.75	0.1	0.0	21.97	51.24	0.58	24.11	12.45	15.12	12.54	12.39	13.25	11.79	6.87	12.58	7.9	13.01	13.58	14.81	11.71	44.51	6.47
Pisd-ps2	21.97	0.0	0.0	0.0	0.0	47.47	78.83	0.0	30.51	8.43	50.11	9.87	4.87	18.27	37.36	3.75	18.26	0.2	4.15	3.52	3.85	10.03	0.97	0.0
Rdh1	34.45	10.37	6.15	3.52	0.0	33.59	74.51	1.36	33.51	15.97	27.38	18.75	19.88	23.88	17.5	13.07	27.26	10.79	17.41	20.84	21.46	23.01	72.8	12.06
Rint1	0.77	2.02	0.0	0.0	0.0	37.4	5.28	7.35	1.63	1.88	27.9	9.5	2.27	0.93	12.27	0.67	38.4	2.03	0.4	41.19	25.08	31.37	34.66	0.44
Rnasel	2.13	0.66	0.87	0.0	0.0	2.54	9.5	0.0	1.64	1.68	1.6	1.25	2.62	1.58	1.71	0.56	2.53	0.63	1.47	0.92	1.8	0.87	3.38	0.29
Saal1	23.93	0.0	0.0	0.0	0.0	60.49	0.1	0.0	8.99	0.0	30.77	0.13	5.14	0.0	11.24	2.1	0.07	0.0	0.0	0.06	1.35	0.0	35.44	0.0
Sfrs18	172.0	35.12	0.0	0.0	0.0	163.35	168.06	13.41	163.06	90.15	84.16	92.47	88.03	102.42	44.35	9.95	64.51	53.51	124.82	100.15	115.96	46.5	124.29	0.13
Skint3	0.5	0.16	0.0	0.0	0.0	0.76	1.75	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.39	0.08	0.12	1.1	0.0
Sprr2a1	0.82	0.2	0.0	0.0	0.0	0.25	0.42	0.03	0.0	0.08	0.35	0.43	0.29	0.07	0.09	0.06	0.09	0.46	0.13	0.23	0.06	0.06	1.8	0.0
Sprr2a2	0.82	0.2	0.0	0.0	0.0	0.25	0.42	0.03	0.0	0.08	0.35	0.43	0.29	0.07	0.09	0.06	0.09	0.46	0.13	0.23	0.06	0.06	1.8	0.0
