	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_24	Rbp4_tdTnegative_cell_1	Rbp4_tdTnegative_cell_7	Rbp4_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_1	Scnn1a.Tg3_tdTnegative_cell_3	Scnn1a.Tg3_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_23	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
4930471M23Rik	0.0	0.0	0.0	0.0	0.0	0.14	373.32	0.0	0.17	137.09	0.0	0.0	0.0	21.56	24.72	21.61	23.1	24.25
Alkbh1	0.0	0.36	0.0	0.2	0.71	0.59	1.21	0.0	0.85	1.77	0.0	0.91	1.45	0.51	16.18	13.36	12.36	12.7
Ccdc89	0.0	0.0	0.0	0.0	0.0	0.0	452.01	0.0	0.0	290.56	0.0	0.0	0.0	8.34	1.15	0.59	0.36	0.82
Cdk13	0.0	0.0	0.0	0.0	0.0	0.0	30.67	0.0	0.0	71.21	0.0	0.0	0.0	3.79	2.45	20.34	20.34	20.77
Cyfip2	0.08	0.31	92.35	0.07	0.22	0.2	290.11	0.0	0.0	356.59	0.0	0.0	0.0	108.04	125.07	420.97	405.91	440.68
Dcc	0.0	0.05	0.0	0.02	0.06	0.08	0.13	0.0	0.0	0.16	0.0	0.0	0.0	1.1	2.56	10.36	8.6	9.7
Eif5b	12.48	0.0	0.08	17.16	11.68	0.0	105.79	4.43	0.0	216.15	36.43	0.0	23.83	16.48	26.58	22.9	21.14	24.07
Fscn1	10.68	10.34	4.75	17.6	21.98	8.4	91.63	0.0	3.93	134.74	25.16	1.33	1.5	10.73	7.72	187.25	206.18	214.83
Gabrb3	0.0	0.09	0.0	0.04	0.17	0.09	0.88	0.0	0.0	0.19	0.0	0.0	0.0	32.6	100.98	154.37	138.99	149.04
Gm14430	0.0	0.04	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	3.28	4.14	7.67	5.07	7.49
Gm14434	0.0	0.04	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	3.28	4.14	7.67	5.07	7.49
Gm4724	0.0	0.04	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	3.28	4.14	7.67	5.07	7.49
Gphn	0.0	41.91	133.87	48.84	0.29	0.37	516.69	11.63	0.0	472.56	0.26	0.0	0.0	46.28	75.98	61.66	55.14	59.78
Helb	0.0	0.22	0.0	0.55	0.07	0.12	0.9	1.88	0.16	3.16	0.48	0.08	0.0	0.51	0.47	3.44	3.38	3.72
Hsf2bp	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.07	0.1	0.24	0.26	0.14
Ints3	0.0	0.0	0.0	0.0	0.16	0.29	114.51	0.0	0.0	407.47	0.0	0.0	0.0	8.32	0.73	40.59	40.97	41.35
Ipo9	0.0	1.41	0.0	122.63	88.73	0.2	301.2	0.0	0.08	305.41	1.4	0.0	0.0	32.49	45.22	81.59	77.26	80.76
Kcnj16	0.0	0.0	0.19	0.31	0.22	0.23	0.56	0.0	0.0	0.69	0.0	0.0	0.0	6.4	0.35	14.84	14.96	14.83
Kif3c	0.0	0.0	0.13	110.18	0.07	0.0	68.51	0.0	0.0	336.69	0.06	0.0	0.0	11.44	20.85	111.23	112.9	114.1
Map2k2	15.48	0.0	0.0	0.0	0.0	0.0	56.48	0.24	0.0	45.09	0.0	0.0	0.0	1.09	5.42	60.47	69.16	67.5
Oip5	0.0	0.3	1.59	0.91	0.1	1.35	2.98	1.1	1.03	3.28	0.0	1.69	0.0	0.73	2.74	1.4	1.74	1.5
Pptc7	0.0	0.0	0.0	0.2	17.09	0.09	20.03	0.0	0.0	30.57	0.0	0.0	0.0	11.72	17.25	40.75	41.4	36.47
Ptgds	26584.93	48907.82	54843.26	56522.07	60719.49	32699.18	38022.65	24184.0	47873.29	55284.07	39774.1	53160.05	16003.23	0.0	0.0	1497.69	1644.65	1231.28
Rbm34	4.96	11.36	5.06	10.05	6.77	4.44	12.16	7.17	4.68	27.05	3.59	3.27	4.07	9.83	13.32	15.54	16.14	15.95
Sall1	0.0	0.0	0.0	0.04	0.04	0.0	31.25	0.0	3.81	67.04	0.0	0.07	0.0	0.0	0.0	12.24	12.82	13.17
Sec31a	0.0	0.12	0.14	0.22	0.28	0.1	207.07	0.0	8.86	111.92	0.0	0.0	0.0	8.63	24.51	59.39	56.09	57.46
Sprr2a1	0.0	0.0	0.0	0.0	0.0	0.0	0.88	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.08	0.08	0.25	0.13
Sprr2a2	0.0	0.0	0.0	0.0	0.0	0.0	0.88	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.08	0.08	0.25	0.13
Stk36	0.0	0.0	0.0	0.0	0.0	0.0	41.49	0.0	0.0	9.09	0.0	0.0	0.0	0.0	0.17	2.17	2.26	2.75
Tmem132b	0.0	0.04	0.0	0.18	0.06	0.05	235.65	0.0	0.0	0.06	0.0	0.0	0.0	8.76	14.62	63.03	59.03	67.55
Uba7	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.16	0.0	0.0	0.0	0.06	0.19	2.8	2.73	3.5
Wdr33	0.0	0.0	0.0	0.08	0.21	0.89	512.06	0.0	0.08	660.43	21.89	0.32	0.0	74.02	100.66	39.04	35.37	36.8
Zfp131	0.0	0.0	0.0	0.16	0.0	3.05	455.32	0.0	0.0	261.28	0.14	0.0	0.0	28.48	32.65	33.51	30.45	32.98
Zfp446	0.24	0.46	0.41	0.85	7.31	1.19	1.57	0.16	0.18	1.39	0.59	67.07	0.44	2.86	4.5	6.42	6.43	6.43
mt_AK137202	14.8	0.0	6.59	2.8	0.0	20.19	84.94	0.0	45.01	88.65	0.0	3.41	0.0	14.31	17.19	363.87	211.46	248.44
