	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_38	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_54	Calb2_tdTpositive_cell_60	Ctgf_tdTpositive_cell_3	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_34	Htr3a_tdTpositive_cell_14	Htr3a_tdTpositive_cell_27	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_56	Htr3a_tdTpositive_cell_71	Htr3a_tdTpositive_cell_104	Ndnf_tdTpositive_cell_20	Rbp4_tdTpositive_cell_165	Vip_tdTpositive_cell_6	Vip_tdTpositive_cell_32
1810074P20Rik	0.0	177.32	0.0	0.08	0.0	0.0	61.33	0.09	0.0	0.11	0.0	0.07	25.45	0.0	357.04	204.12	0.0	14.17	0.39	65.34
5730419I09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61	0.0	0.0	0.0	0.0	88.62	221.35	0.0	0.0	34.32	147.0	12.95
A430107P09Rik	26.75	50.43	23.73	32.96	96.35	6.27	0.15	42.67	88.56	68.66	61.34	41.9	13.23	90.18	100.73	106.63	0.0	74.64	94.79	98.4
Alas2	0.0	0.0	0.0	0.0	13.38	0.0	0.0	0.0	0.0	0.0	0.0	5.46	0.0	0.0	43.09	40.71	0.0	2.03	0.0	0.0
Aldh7a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	124.1	2.24	0.0	2.83	175.35	516.04	386.99	0.0	11.1	0.0	2.21
Arhgap15	168.75	0.0	167.72	82.16	0.0	0.0	0.0	164.57	0.0	0.0	0.0	71.64	0.0	0.0	0.0	372.91	0.0	30.12	0.22	134.6
Atg7	0.0	96.62	0.22	0.0	0.0	0.0	0.09	0.18	116.84	0.0	0.0	0.0	1.23	0.0	0.11	373.83	0.0	4.38	232.51	213.52
BC031361	0.45	0.14	0.0	0.0	0.26	0.03	0.0	0.16	0.0	0.09	0.06	0.0	0.09	0.0	0.67	1.44	0.0	0.3	1.22	0.0
Bbs1	3.08	4.16	0.36	5.05	11.46	1.61	0.06	7.5	4.55	3.18	7.21	3.51	3.18	5.22	12.06	10.49	0.0	9.94	10.36	8.06
Bclaf1	210.36	0.06	60.55	166.46	87.47	12.46	0.0	92.75	439.51	47.72	161.92	158.68	70.69	232.57	587.98	647.67	0.0	177.91	402.84	99.94
Bcmo1	0.26	0.83	0.0	0.32	2.26	2.11	0.0	0.0	0.53	0.74	1.73	0.71	0.71	0.25	4.2	7.04	0.0	1.37	0.77	1.42
