	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_55	Gad2_tdTpositive_cell_75	Ndnf_tdTnegative_cell_5	Nkx2.1_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_30	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_9	Pvalb_tdTpositive_cell_16	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_20	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_29	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_65	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_89	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_26	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_16	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_39	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_44	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_71	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_12	Tac2_tdTpositive_cell_8
1700047I17Rik2	0.92	1.48	0.31	10.03	1.23	0.72	20.07	15.39	5.52	3.54	29.66	11.16	4.04	9.65	21.56	5.97	13.82	12.74	8.93	7.94	0.58	13.56	15.72	3.32	1.24	24.09	24.24	13.99	19.03	10.75	15.55	2.95	5.43	1.71	16.29	15.25	44.52	9.58	0.75	16.38	4.74	6.62	4.17	11.31	10.55	2.33	3.78	0.28	4.55	0.26	3.65
Actr3	0.05	0.1	0.0	16.24	31.84	0.12	162.6	147.04	0.7	37.05	30.77	49.31	69.42	0.0	107.55	11.77	38.13	26.47	36.09	44.35	93.0	56.0	20.27	70.38	87.37	7.43	0.12	106.49	0.0	54.46	57.81	79.61	6.4	0.0	42.4	42.09	29.39	58.23	4.53	169.27	19.06	20.21	47.02	49.91	28.98	18.95	10.23	0.0	0.14	0.0	0.0
Arfgef2	0.0	0.0	0.0	0.0	6.32	0.0	0.0	0.18	0.0	0.0	4.29	0.0	6.64	1.18	2.14	0.0	10.23	6.2	14.14	4.37	0.09	9.58	0.2	0.1	6.95	11.75	9.37	19.68	2.11	2.17	15.04	12.89	14.45	2.9	0.0	9.86	10.95	13.27	13.78	14.7	11.51	4.36	0.0	11.93	5.29	1.65	0.61	0.0	0.29	0.0	0.0
Arxes2	0.0	0.16	0.0	1.14	120.44	0.0	26.14	35.17	0.0	0.19	0.0	29.97	0.49	16.11	105.39	0.0	110.74	11.16	145.89	183.08	0.0	44.0	40.23	0.0	57.97	61.82	74.1	13.17	28.44	0.53	68.44	58.35	21.84	1.24	2.3	35.4	9.27	4.63	35.56	172.23	64.31	0.0	0.0	0.0	55.23	4.33	44.92	0.0	1.71	0.0	12.66
Ehbp1	0.0	0.0	0.0	8.56	0.24	0.0	6.27	7.43	0.0	0.0	0.0	0.27	24.28	1.43	10.88	0.15	17.83	36.14	11.01	0.0	0.0	6.78	0.29	0.0	0.59	6.39	4.89	4.43	0.07	2.71	4.92	5.64	16.35	12.76	4.34	0.25	15.23	0.21	12.26	14.29	0.22	0.0	0.21	0.22	4.81	0.0	14.61	0.0	0.07	0.0	0.0
Eif5a	75.16	15.09	29.65	56.35	168.97	0.51	250.55	398.51	0.0	42.29	114.68	104.68	285.97	29.31	361.15	152.39	146.33	149.03	188.25	148.1	8.47	405.51	72.18	12.98	94.81	304.91	194.05	200.67	83.47	171.03	226.79	359.18	227.76	145.27	94.53	95.94	287.33	46.01	114.57	281.49	282.9	170.29	68.9	124.76	201.89	71.83	205.63	12.51	1.4	0.0	36.18
Epb4.1l1	6.52	0.0	0.0	10.76	37.93	0.0	11.43	13.26	0.0	19.04	37.5	10.86	12.77	7.53	39.97	2.62	2.59	31.48	17.99	23.26	15.19	10.64	21.61	13.97	5.68	29.99	34.25	2.84	37.1	20.56	55.65	31.63	33.16	9.94	26.43	30.51	25.53	31.62	18.1	71.06	19.15	15.79	6.71	21.02	44.57	21.64	16.54	0.0	0.06	0.0	3.3
Fam177a	0.92	1.48	0.31	10.03	1.23	0.72	20.07	15.39	5.52	3.54	29.66	11.16	4.04	9.65	21.56	5.97	13.82	12.74	8.93	7.94	0.58	13.56	15.72	3.32	1.24	24.09	24.24	13.99	19.03	10.75	15.55	2.95	5.43	1.71	16.29	15.25	44.52	9.58	0.75	16.38	4.74	6.62	4.17	11.31	10.55	2.33	3.78	0.28	4.55	0.26	3.65
Gdap1l1	3.78	0.0	0.0	41.01	64.23	0.0	69.66	97.39	0.0	0.0	5.75	33.64	30.76	0.0	13.32	0.0	21.06	66.49	36.45	32.25	0.0	27.94	72.71	1.61	0.14	58.16	118.75	44.07	84.24	40.24	89.39	108.31	68.64	97.1	22.98	31.61	149.27	42.07	66.8	110.05	33.23	54.35	0.0	172.36	39.87	43.02	23.34	0.0	0.72	0.0	165.19
Kctd17	10.76	0.32	0.0	1.11	3.28	0.0	68.65	106.14	0.0	2.41	26.53	106.19	2.36	66.12	77.57	0.0	23.12	4.25	59.35	28.08	0.5	142.39	3.01	1.34	9.61	89.97	53.29	42.97	82.61	23.68	67.26	119.18	3.43	52.46	15.81	119.56	24.68	10.79	42.21	210.19	127.8	8.46	0.0	247.88	22.76	1.85	0.0	0.0	0.0	0.0	48.04
