	Ctgf_tdTpositive_cell_3	Cux2_tdTpositive_cell_99	Ndnf_tdTpositive_cell_8	CAV_LP_Ipsi_tdTpos_cell_25	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610009L18Rik	0.0	0.0	0.0	0.0	5.69	10.08	8.12
1300010F03Rik	0.0	7.96	0.0	0.0	19.64	19.13	19.1
1520402A15Rik	0.0	0.0	0.0	0.0	20.66	20.51	19.73
1700093K21Rik	0.0	0.0	0.0	0.0	1.01	0.67	0.23
3110057O12Rik	0.0	0.0	0.0	1.71	13.29	11.41	10.56
4921504E06Rik	0.0	0.0	0.0	0.0	0.0	0.05	0.0
4921513I03Rik	0.0	0.97	0.4	0.59	1.0	1.1	1.54
4930403N07Rik	0.0	0.0	0.0	0.0	0.04	0.04	0.04
4930533B01Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.1
7530420F21Rik	0.0	0.0	0.0	0.0	0.73	0.35	0.47
Agpat5	0.0	0.0	0.0	25.23	30.53	29.34	30.23
Alms1	0.0	0.0	0.0	0.0	4.1	3.59	4.52
Alms1-ps2	0.0	0.0	0.0	0.0	0.0	1.04	1.04
Atp8b3	0.0	0.0	0.0	0.0	0.04	0.04	0.09
B230319C09Rik	0.0	0.84	0.0	0.0	0.47	0.39	0.55
BC024139	0.0	0.26	0.0	0.0	0.81	0.99	0.78
Blk	0.0	0.0	0.0	0.0	0.04	0.04	0.04
C130060C02Rik	0.0	0.0	0.0	0.0	0.61	0.33	1.44
C2	0.0	0.0	0.0	0.0	1.57	1.69	1.39
C8b	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Calhm2	0.0	0.0	0.0	0.0	5.51	5.79	3.3
Ccdc85b	0.0	0.39	0.3	2.59	42.75	54.22	45.12
Ces1a	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Chdh	0.0	0.0	0.0	27.6	2.76	2.32	2.15
Clec4g	0.0	0.0	0.0	0.0	0.41	0.23	0.17
Clptm1	0.0	0.0	0.0	0.0	90.39	96.28	96.9
Clta	0.0	63.9	0.0	0.0	283.56	310.7	294.37
Crlf2	0.0	0.0	0.0	0.0	18.3	21.11	20.21
D630003M21Rik	0.0	0.0	0.0	0.0	3.7	3.62	3.29
Dyx1c1	0.0	0.0	0.0	0.0	2.77	2.74	1.97
E130215H24Rik	0.0	0.0	0.0	0.0	0.88	0.94	1.36
Elp4	0.0	7.64	0.0	0.0	9.41	7.65	9.61
Foxi1	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Fstl3	0.0	0.0	0.0	1.14	1.9	2.25	2.29
Gabra6	0.0	0.0	0.0	0.0	0.04	0.04	0.08
Gdf6	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Gfer	0.0	1.66	0.0	0.0	13.27	14.13	14.73
Gif	0.0	0.0	0.0	0.0	0.07	0.12	0.0
Glis2	0.0	0.0	0.0	0.0	8.5	10.19	9.06
Gm15997	0.0	0.0	0.0	0.0	1.0	1.2	0.48
Gm3833	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gmds	0.0	0.0	0.0	0.0	9.32	11.7	10.3
Gpr151	0.0	0.0	0.0	0.0	1.34	0.98	1.07
Gpr87	0.0	0.0	0.0	0.0	0.0	0.08	0.0
Gpr97	0.0	0.0	0.0	0.0	0.2	0.12	0.26
Hhla1	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Hsd3b7	0.0	0.0	0.0	0.0	9.05	11.19	9.85
Itm2c	0.2	39.62	11.07	95.56	804.78	899.7	867.0
Kcnj3	0.0	0.0	0.0	0.0	87.05	83.59	83.9
