	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_74	Htr3a_tdTpositive_cell_62	Ndnf_tdTnegative_cell_6	Ntsr1_tdTnegative_cell_20	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_12
1190002N15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.53	44.59	0.0	80.77	16.48	56.66	0.27	3.35	46.09	24.69	66.14	0.0	0.58	28.75	0.0	18.06	65.99	41.7	0.0	20.54	0.0	38.27	39.34	51.7	58.63	20.43	61.31	0.0
1700020I14Rik	0.0	56.82	92.06	0.0	117.41	84.65	0.0	0.0	0.0	217.69	188.16	235.74	345.79	256.81	266.72	125.82	225.23	141.62	406.99	197.44	410.03	135.41	208.25	66.94	63.86	129.46	152.58	137.18	324.97	165.77	374.66	263.24	67.26	203.67	318.5	138.19	0.0
Atf2	0.12	0.0	1.47	1.11	50.49	0.0	0.05	0.21	1.44	23.37	68.43	4.74	23.96	50.89	104.6	96.9	22.9	51.62	80.44	65.18	179.55	16.18	38.24	40.71	103.47	80.28	40.45	26.17	116.85	133.76	78.87	83.16	3.26	23.44	71.49	91.43	0.14
Atp1a3	0.12	158.52	188.26	0.0	395.28	163.57	279.57	0.07	0.96	527.8	425.42	283.1	423.25	389.58	385.07	337.2	495.91	418.19	525.64	566.76	310.84	458.89	564.42	577.1	824.32	603.76	573.8	604.28	588.81	485.37	697.73	242.69	554.33	513.24	808.83	753.93	0.0
Atp1b1	49.59	657.21	831.79	0.39	1055.68	617.95	402.64	6.51	66.78	1446.77	1137.11	926.32	1340.72	1097.7	1481.57	1248.46	1259.52	1077.93	1353.64	1693.2	803.46	972.86	1212.26	580.35	1123.54	1249.07	1203.59	813.95	1091.64	1114.71	1133.43	1013.91	872.35	1110.74	1403.55	1069.1	0.0
Atrnl1	0.0	0.0	7.5	0.0	5.23	60.99	0.0	0.0	0.0	26.5	16.19	0.3	7.46	11.57	23.35	17.08	14.09	2.84	11.15	0.49	13.08	5.5	26.78	0.0	41.62	30.03	46.14	0.67	31.35	3.46	11.38	2.43	0.0	12.67	16.16	26.53	0.0
Btbd3	1.92	73.92	13.95	0.0	261.54	8.9	15.04	0.06	31.51	126.06	194.44	61.01	152.8	66.32	154.62	125.85	88.86	256.08	174.68	128.89	193.83	71.2	137.86	40.81	195.65	119.14	137.66	103.84	189.47	129.56	192.72	46.94	166.0	46.88	134.0	236.92	0.0
Cacng2	0.0	5.31	0.0	0.0	24.33	1.58	0.0	0.0	0.0	7.18	5.1	2.76	8.29	8.15	7.46	25.7	14.67	6.83	9.76	16.4	1.07	2.06	6.44	4.38	5.52	7.54	10.22	3.4	3.37	6.33	35.29	11.22	6.02	5.0	12.19	3.43	0.0
Ccdc92	0.0	0.0	0.0	0.0	13.55	0.0	0.0	0.0	0.0	12.4	23.41	7.22	7.02	4.56	28.81	18.68	12.96	25.68	0.24	20.82	20.27	34.51	28.24	0.33	2.45	0.0	31.29	0.0	0.0	0.0	30.28	0.0	0.0	26.96	0.0	1.56	0.0
Cdr1	0.0	53.1	0.0	0.0	59.71	0.0	0.0	0.0	0.0	53.51	64.19	36.68	47.5	96.58	85.92	79.93	140.74	129.29	135.65	73.33	85.72	12.54	16.54	0.49	134.08	50.28	125.28	69.32	89.39	139.13	15.12	182.77	147.03	83.73	24.63	104.56	0.0
