	Cux2_tdTpositive_cell_94	Cux2_tdTpositive_cell_123	Gad2_tdTpositive_cell_30	Nos1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_49	Rbp4_tdTpositive_cell_53	Rbp4_tdTpositive_cell_181	Rbp4_tdTpositive_cell_182	Rbp4_tdTnegative_cell_17	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Scnn1a.Tg3_tdTnegative_cell_4	Rbp4_CTX_10pg_1	Rbp4_CTX_10pg_2	Rbp4_CTX_10pg_3	Rbp4_CTX_10pg_5	Rbp4_CTX_10pg_6
1700021F05Rik	0.0	0.0	0.0	194.25	0.0	235.36	132.4	15.38	0.0	60.14	0.0	0.0	56.32	64.29	0.0	60.51	149.51
1810037I17Rik	0.0	0.97	0.49	479.18	192.27	478.49	139.37	236.66	0.0	163.59	129.59	0.0	187.78	50.44	54.03	164.91	42.41
2410089E03Rik	0.77	7.87	0.0	43.05	20.44	66.62	18.59	3.63	1.62	1.12	83.06	0.0	0.22	1.03	2.66	0.0	5.22
Abhd14a	0.0	0.0	0.0	188.82	120.85	312.83	126.9	75.6	0.0	2.93	0.0	0.0	3.05	104.67	55.25	73.79	85.93
Acsl1	8.18	0.0	0.0	52.39	13.35	60.28	72.93	11.36	0.0	0.0	0.0	0.0	0.08	131.35	0.04	31.14	43.5
Ap1m1	0.0	0.0	0.0	255.04	0.0	460.75	105.13	3.98	382.67	30.42	0.0	3.15	89.47	124.38	0.0	66.55	58.0
B230312A22Rik	0.0	0.0	0.0	88.49	0.36	104.26	0.05	0.0	0.09	0.17	0.0	0.0	0.05	0.33	59.97	63.61	9.62
Cdk5	2.01	2.67	0.45	3.44	0.92	248.23	89.35	32.36	0.0	8.48	84.58	0.0	144.75	78.97	17.14	159.5	90.28
Cox17	243.29	413.17	0.0	738.48	48.75	772.23	537.52	349.16	0.0	470.13	127.29	0.0	132.35	91.73	103.59	391.55	123.62
Creld1	0.0	6.31	0.0	131.44	0.0	138.34	13.27	89.52	0.0	37.37	0.0	0.0	59.22	51.17	29.12	0.07	57.26
Eif2b3	0.0	0.0	0.0	280.21	0.0	276.53	6.44	163.07	0.0	0.0	44.36	0.0	71.62	111.85	55.05	11.05	0.0
Ict1	0.0	0.0	0.0	138.16	0.0	659.71	277.02	185.51	0.0	5.48	2.55	0.0	2.13	195.27	148.68	83.67	300.46
Lamc1	0.0	0.0	0.0	16.91	0.35	30.19	0.02	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.45	0.48
Mrpl43	2.98	1.69	2.16	224.86	19.68	121.16	12.98	41.11	4.29	9.28	4.81	1.57	53.64	26.31	104.05	120.38	53.46
Mzt1	1.13	27.5	6.34	134.97	8.26	407.5	151.73	77.96	0.0	80.17	51.5	4.78	170.19	149.63	89.31	126.57	99.97
Naa10	0.0	0.0	0.0	168.94	0.0	242.91	123.57	155.98	0.0	0.58	222.72	0.0	114.44	51.21	4.95	132.56	96.07
Pex11b	0.0	20.88	0.0	393.64	15.09	456.53	8.1	89.64	0.0	0.68	35.24	0.0	5.08	43.31	68.67	149.48	23.09
Pin1	0.22	3.29	3.79	48.85	12.57	262.05	106.41	84.13	7.94	17.72	22.64	0.87	35.19	30.44	61.6	54.9	66.74
Ppp1r11	2.78	30.77	0.56	349.16	191.66	272.14	422.07	154.23	0.0	119.93	130.02	0.0	138.54	136.74	171.53	191.13	164.35
Psmd6	0.0	73.32	0.0	255.49	4.43	292.76	206.69	101.65	0.0	0.43	26.55	0.0	77.49	87.2	34.86	126.41	76.36
Psme4	14.49	0.0	0.0	101.08	29.42	140.86	8.07	9.18	0.0	150.65	15.71	0.0	0.05	21.52	0.15	1.44	11.87
Rad9	0.43	0.49	0.0	239.71	0.0	235.63	0.09	7.31	0.0	1.27	6.85	0.0	0.23	0.24	0.22	68.69	0.0
Rpl31	207.9	34.32	243.43	330.61	109.36	493.9	248.31	140.9	3.22	141.41	619.23	0.0	123.68	158.46	142.91	216.89	269.7
Sc5d	0.0	67.89	0.63	356.73	286.36	550.37	236.55	19.94	0.0	2.18	0.0	0.0	217.66	5.6	107.86	153.57	0.25
Sclt1	0.0	0.0	0.0	51.06	0.0	63.88	0.19	0.53	0.0	37.41	28.6	0.0	0.44	0.0	0.0	0.0	0.0
Sh3glb2	0.0	19.76	0.0	65.77	20.52	520.93	94.51	213.21	0.63	41.96	30.87	0.0	57.3	67.13	71.05	33.56	233.55
Slc2a6	0.0	105.59	0.0	157.37	1.93	447.79	0.29	10.2	0.0	0.14	334.32	0.0	56.1	46.0	45.3	0.07	91.89
Snhg3	0.0	0.0	0.0	255.54	0.0	593.25	115.94	18.85	0.0	2.08	0.0	0.0	0.0	0.0	66.53	67.55	29.11
Snord116	0.0	0.0	0.0	21.86	0.0	0.0	1.26	11.84	0.0	0.0	0.0	0.0	4.04	1.81	1.31	4.68	3.11
Snord116l1	0.0	0.0	0.0	21.86	0.0	0.0	1.26	11.84	0.0	0.0	0.0	0.0	4.04	1.81	1.31	4.68	3.11
Snord116l2	0.0	0.0	0.0	21.86	0.0	0.0	1.26	11.84	0.0	0.0	0.0	0.0	4.04	1.81	1.31	4.68	3.11
Sqle	0.0	0.0	0.0	189.37	0.0	269.5	133.81	1.22	0.0	0.0	0.0	0.0	14.91	8.17	132.62	165.74	24.42
Tank	0.0	0.41	0.0	219.25	70.34	203.68	0.07	102.38	0.0	0.0	5.29	0.0	149.29	0.0	19.88	67.91	26.66
