	Ctgf_tdTpositive_cell_6	Gad2_tdTpositive_cell_24	Ndnf_tdTpositive_cell_7	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2310004N24Rik	0.0	0.0	0.0	37.26	37.89	33.62
2310020H05Rik	0.0	0.0	0.0	0.14	0.27	0.44
2410124H12Rik	0.0	0.0	0.0	0.15	0.14	0.0
2610016A17Rik	0.0	0.0	0.0	0.0	0.0	0.0
4930419G24Rik	0.0	0.0	0.0	0.19	0.18	0.2
4930513D17Rik	0.0	0.0	0.0	0.17	0.08	0.0
5430437P03Rik	0.0	0.0	0.0	71.98	80.84	71.14
6330409N04Rik	0.0	0.0	0.0	62.63	66.4	60.54
A730090H04Rik	0.0	0.0	0.0	0.69	0.58	0.66
AI314180	0.0	34.86	4.77	52.59	46.66	49.63
AW554918	0.0	0.0	0.0	6.92	6.3	7.2
Aarsd1	0.0	0.0	0.0	66.17	73.15	65.76
Abca4	0.0	0.0	0.0	1.27	1.07	1.35
Actbl2	0.0	0.0	0.0	0.0	0.0	0.0
Adck1	0.14	0.0	0.0	31.75	33.53	30.81
Alas1	0.24	0.0	0.0	45.54	50.37	45.84
Asna1	0.0	0.0	0.0	132.31	137.73	121.14
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
BC055111	0.0	0.0	0.0	0.1	0.05	0.16
Bcl11a	0.0	0.34	0.09	72.47	82.1	71.57
Bend5	0.0	0.0	0.0	9.41	12.05	10.29
Bloc1s2	0.0	0.0	0.0	53.19	55.01	48.37
C530044C16Rik	0.0	0.0	0.0	0.32	0.38	0.75
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Cd244	0.0	0.0	0.0	0.05	0.05	0.05
Cdkl2	0.0	0.0	0.0	29.92	27.86	26.47
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Chaf1a	0.0	0.0	0.0	4.73	4.51	4.95
Chga	0.0	0.0	0.0	171.57	179.76	168.57
Chid1	0.0	0.0	0.0	31.8	32.99	30.25
Cnot8	0.0	0.0	0.0	59.0	61.45	53.31
Col22a1	0.0	0.0	0.0	1.31	1.26	1.34
Cttn	0.0	0.0	0.0	92.84	96.78	94.81
Cul2	0.0	0.0	0.0	37.74	35.55	35.99
Cyb561	0.0	0.0	0.0	66.46	71.89	69.31
Cyp2b10	0.0	0.0	0.0	0.0	0.0	0.0
Cyp2d9	0.0	0.0	0.0	0.0	0.0	0.0
Ddx1	0.0	0.0	0.0	133.82	122.61	127.75
Dohh	0.0	0.0	0.0	74.18	89.66	83.98
Dync1li1	0.33	1.53	3.19	90.58	95.72	87.85
Epor	0.0	0.0	0.0	8.74	7.73	8.02
Etv1	0.0	6.5	0.0	58.93	55.06	52.94
F630111L10Rik	0.0	0.0	0.0	0.06	0.06	0.06
Fam163b	0.0	0.0	0.0	139.61	149.42	145.67
Fbxl2	0.0	0.0	0.0	44.79	44.85	44.49
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Galk2	0.0	0.0	0.0	18.33	19.61	19.71
Gm10334	0.0	0.0	0.0	1.96	1.97	1.52
Gm12130	0.0	0.0	0.0	0.0	0.0	0.0
Gm13238	0.0	0.0	0.0	1.31	1.18	2.85
Gm14379	0.0	0.0	0.0	0.48	0.25	0.55
Gm5177	0.09	12.04	10.65	17.36	17.61	16.87
Gm5771	0.0	0.0	0.0	0.0	0.0	0.0
Gpatch4	0.0	0.0	0.0	19.41	20.72	20.94
Gps1	0.0	0.0	0.0	147.12	159.12	149.87
Grb7	0.0	0.0	0.0	2.31	2.21	2.26
H60b	0.0	0.0	0.0	0.85	1.1	1.76
Helt	0.0	0.0	0.0	0.26	0.18	0.2
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hnmt	0.0	488.35	0.0	29.0	25.37	26.74
Hoxc8	0.0	0.0	0.0	0.04	0.04	0.09
Ift88	0.0	0.0	0.0	16.73	15.64	16.11
Il17c	0.0	0.0	0.0	0.16	0.15	0.16
Ilf2	0.0	0.0	0.0	85.14	89.67	83.21
Inpp5k	0.12	0.0	0.0	36.26	35.0	36.08
Ints7	0.0	0.0	0.0	32.76	33.78	32.16
Jazf1	0.0	0.0	0.0	30.35	29.75	28.63
Katnb1	0.0	0.0	0.0	30.37	31.34	30.34
Kcnmb4	0.0	0.0	0.0	110.51	120.71	110.01
Kcnu1	0.0	0.0	0.0	2.06	2.26	2.21
Kctd20	0.0	0.0	0.0	46.88	45.47	42.85
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Klhl1	0.0	0.0	0.0	3.13	2.88	2.48
L3mbtl2	0.0	0.0	0.0	29.22	31.1	29.72
Lin7b	0.0	0.0	0.0	120.36	132.27	124.9
Lysmd4	0.0	0.0	0.0	19.93	19.95	18.07
Map4k1	0.0	0.0	0.0	1.61	1.41	1.74
Mfhas1	0.0	0.0	0.0	20.47	19.59	19.15
Mir337	0.0	0.0	0.0	0.0	1.53	0.0
Mir493	0.0	0.0	0.0	0.0	0.0	0.0
Mir705	0.0	0.0	0.0	0.0	0.0	0.0
Mphosph10	0.0	0.0	0.0	15.33	15.66	14.2
Mpped1	0.0	0.45	0.0	162.63	168.42	172.83
Mrpl14	0.0	0.0	0.0	28.96	35.33	30.21
Mrpl43	5.07	6.26	7.75	52.68	56.62	52.58
Mrps27	1014.88	0.0	0.0	34.12	35.41	30.78
Mtcp1	0.0	0.0	0.0	16.05	13.5	18.33
Myo9a	0.0	0.0	0.0	32.7	24.53	31.76
Naa25	0.0	0.16	0.0	33.25	30.87	30.52
Naa35	0.0	0.0	0.0	43.29	41.1	38.68
Nicn1	0.0	0.0	0.0	100.82	105.07	98.2
Nt5c3	0.0	0.0	97.4	60.33	60.83	50.29
Olfr992	0.0	0.0	0.0	0.11	0.0	0.0
Otoa	0.0	0.0	0.0	0.05	0.1	0.06
Oxsm	0.16	0.4	0.79	7.16	6.05	7.59
Paf1	0.0	0.0	0.0	63.06	68.82	63.51
Palm3	0.0	0.0	0.0	2.62	2.24	2.17
Pigyl	0.0	0.0	0.0	38.7	48.92	48.24
Pkia	0.0	0.0	0.0	143.55	141.29	132.93
Prelid1	47.75	0.0	0.0	174.91	191.42	176.68
Prkacb	0.0	16.06	0.0	391.32	379.07	378.45
Prosc	0.0	0.35	0.0	53.57	53.66	50.45
Prss22	0.0	0.0	0.0	1.99	1.85	2.68
Psmd6	0.0	0.0	0.0	95.94	94.97	93.44
Rabac1	0.0	10.0	1237.12	260.53	297.62	265.98
Raet1a	0.0	0.0	0.0	0.0	0.0	0.0
Rassf7	0.0	0.0	0.0	1.5	1.36	1.15
Rgs11	0.0	0.0	0.0	34.02	31.96	31.79
Rpf2	0.0	862.54	0.0	21.06	21.32	22.05
Sf3b5	0.0	0.0	0.0	74.01	93.14	77.27
Slc20a1	0.0	57.93	0.0	138.28	132.09	138.7
Slc6a7	0.0	0.0	0.0	59.28	59.0	59.67
Slc7a12	0.0	0.0	0.0	0.0	0.0	0.0
Sncb	0.0	0.0	0.0	500.1	550.38	513.95
Spink11	0.0	0.0	0.0	0.0	0.0	0.0
Stau2	0.0	0.0	0.0	86.93	82.37	83.05
Stxbp5	0.0	0.0	0.0	43.72	41.03	43.01
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tfg	0.0	0.0	0.0	65.21	62.57	58.13
Thpo	0.0	0.22	0.0	9.04	7.56	9.37
Tmem107	0.0	1.47	0.0	15.03	14.33	14.44
Tmem135	0.0	0.0	0.0	36.61	39.25	41.12
