	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_182	Slc17a6_tdTpositive_cell_42	Ntsr1_tdTpos_100cell_1	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_31
1700016D06Rik	0.0	1.36	5.8	4.35	3.67	2.29	0.49	1.91	3.07	0.87	0.43
1700094D03Rik	1.75	2.59	8.7	6.78	4.46	16.2	1.92	5.09	2.03	3.2	5.31
2310008H04Rik	0.0	0.0	0.0	0.0	0.6	0.46	0.0	0.0	0.0	0.0	0.0
2810021J22Rik	0.0	0.05	2.01	0.06	71.05	2.11	0.0	0.06	0.18	0.12	0.0
4930519F09Rik	3.71	0.46	9.01	25.14	0.47	7.35	7.47	13.8	0.7	0.96	3.64
4933429O19Rik	0.0	0.0	0.0	0.17	0.41	0.0	0.0	0.0	0.0	0.0	0.0
5830417I10Rik	2.47	4.28	10.99	12.41	44.37	6.67	24.03	7.48	3.81	28.43	31.91
6430548G04	0.0	0.05	6.86	4.2	18.2	3.47	0.0	5.7	0.71	0.0	0.0
7420701I03Rik	0.0	0.0	0.37	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0
9130221F21Rik	2.88	4.57	7.54	7.27	8.68	3.88	6.52	17.84	1.94	1.57	1.12
A230077H06Rik	0.71	2.65	2.06	3.47	4.01	0.64	0.48	0.66	0.16	1.71	0.36
Acot4	0.0	0.0	0.0	0.21	0.85	0.0	0.0	0.0	0.0	0.0	0.0
Adrbk2	3.43	4.71	16.83	0.65	35.68	17.85	14.56	0.61	7.29	33.1	14.06
Ammecr1	0.0	0.0	1.83	0.08	0.44	0.0	0.09	0.0	0.0	0.0	0.0
Anapc16	84.6	129.58	69.92	120.16	357.22	62.83	0.0	0.44	0.0	15.14	0.0
Atp6v1g3	0.0	0.0	0.0	0.14	0.29	0.0	0.0	0.0	0.0	0.0	0.0
B4galnt2	2.35	1.62	4.5	5.69	4.56	2.74	2.36	2.06	4.56	1.45	1.7
B930059L03Rik	0.0	47.27	0.0	4.82	65.65	3.51	0.0	0.0	0.0	0.0	0.0
BC016495	41.4	64.11	158.36	190.72	90.9	113.12	154.39	80.92	158.5	73.61	55.51
Bzw2	117.22	29.42	47.93	59.95	263.79	33.74	0.0	0.0	3.09	34.14	76.78
Calm2	24749.41	21064.56	18187.15	17343.84	14146.77	18004.95	22860.58	23322.9	25106.81	19256.69	23557.63
Ccdc30	0.0	0.0	5.11	0.06	40.05	5.42	35.15	0.0	0.0	0.0	0.0
Ccnb2	0.0	0.0	0.0	0.0	37.12	0.59	0.0	0.0	0.0	0.0	0.0
Clec2e	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0
Clic4	0.0	0.0	0.06	2.04	0.03	0.36	0.0	0.0	0.0	0.0	0.0
Cpb2	0.0	0.0	0.0	0.0	7.68	0.0	0.0	0.0	0.0	0.0	0.0
