	Calb2_tdTpositive_cell_13	Calb2_tdTpositive_cell_22	Calb2_tdTpositive_cell_25	Chrna2_tdTpositive_cell_61	Cux2_tdTnegative_cell_2	Gad2_tdTpositive_cell_1	Gad2_tdTpositive_cell_2	Gad2_tdTpositive_cell_7	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_24	Gad2_tdTpositive_cell_46	Gad2_tdTpositive_cell_70	Gad2_tdTpositive_cell_73	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_37	Htr3a_tdTpositive_cell_38	Htr3a_tdTpositive_cell_39	Htr3a_tdTpositive_cell_49	Htr3a_tdTpositive_cell_65	Htr3a_tdTpositive_cell_103	Htr3a_tdTpositive_cell_115	Htr3a_tdTpositive_cell_119	Vip_tdTpositive_cell_3	Vip_tdTpositive_cell_15	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_23	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
9630033F20Rik	97.68	0.0	0.0	0.0	0.0	1.01	3.7	18.33	0.0	0.0	0.0	0.27	42.19	0.0	80.87	89.23	0.0	12.36	0.0	0.0	8.79	32.3	0.0	3.52	0.0	3.68	22.21	22.38	21.42
Abcb8	208.37	0.0	0.0	64.02	0.0	0.0	33.56	25.79	66.84	0.0	0.0	4.54	182.78	0.0	17.61	212.21	0.0	29.48	0.0	18.59	0.0	56.1	0.0	0.09	0.17	0.0	32.63	35.31	37.21
Accn4	72.27	0.0	11.92	0.99	0.0	17.57	0.0	0.0	0.07	0.0	0.0	0.0	0.0	2.22	3.17	106.13	8.81	10.15	89.05	0.34	0.0	0.0	1.64	0.0	47.4	2.39	20.37	23.69	22.46
Amd1	97.68	1.68	0.0	17.99	0.0	8.5	59.32	44.82	0.76	0.0	6.31	0.0	58.02	10.26	116.02	109.17	0.0	0.0	4.37	60.65	23.43	44.13	89.86	57.11	0.0	59.6	10.82	0.0	22.33
Arhgef4	132.65	0.0	0.0	0.83	0.42	0.95	64.82	7.61	51.5	0.0	0.0	0.55	0.75	135.39	97.75	104.13	0.17	8.93	0.0	6.58	3.14	20.76	1.14	0.0	0.0	1.17	188.52	191.15	191.05
B4galt1	30.95	0.0	0.0	0.0	0.0	0.0	4.26	9.7	0.0	0.0	0.0	7.18	0.0	0.0	0.0	44.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.8	3.65	3.0
Bckdhb	175.98	0.76	0.0	0.15	2.1	0.54	0.0	0.0	0.29	2.3	0.61	0.0	0.0	4.7	0.55	145.8	0.0	0.0	0.0	0.23	0.25	1.27	0.75	0.0	0.45	0.0	41.25	42.85	39.75
Bend6	151.49	44.81	0.27	35.11	0.0	0.0	46.76	1.94	89.91	1.6	0.0	56.9	2.2	24.51	80.82	61.81	0.0	1.93	0.24	2.38	0.62	79.17	0.27	0.0	137.92	0.0	135.89	133.11	132.89
Cacybp	244.56	11.58	0.0	219.65	0.0	232.33	290.34	116.56	2.6	0.0	0.0	25.24	95.88	456.11	130.23	162.87	0.43	45.59	10.42	49.21	75.43	216.86	137.54	158.71	337.26	40.8	72.18	69.4	67.36
Cnr1	635.78	10009.06	712.02	14271.7	0.1	14712.45	18446.25	33283.94	19184.04	0.5	6610.37	19801.43	16437.47	17862.67	423.07	385.27	3106.57	19681.78	7913.61	12520.63	22064.64	33041.05	12766.46	14288.55	25768.68	23267.78	80.79	75.85	84.42
Ctnnb1	446.78	20.05	0.0	89.16	0.0	0.0	52.77	71.86	122.61	0.0	0.15	236.43	66.46	183.32	208.52	707.31	0.0	51.4	183.32	65.5	126.23	82.05	3.97	0.0	307.77	4.25	353.19	361.18	345.18
Hectd1	90.62	17.58	0.0	2.85	0.0	0.04	40.39	13.98	0.85	0.05	0.0	0.49	0.0	23.38	50.88	60.75	0.0	0.05	0.0	0.0	28.36	20.48	0.68	0.0	26.68	0.0	48.3	45.41	49.95
Hspa9	121.82	72.13	96.96	4.09	4.6	20.95	168.53	109.41	30.52	0.0	6.15	96.9	4.5	60.25	114.75	360.72	0.0	18.07	0.81	61.2	69.6	226.57	0.0	9.69	214.64	110.06	176.91	179.38	174.24
Inf2	24.76	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	111.53	108.63	119.77
Klc1	34.38	16.33	3.58	160.52	0.0	25.98	105.81	4.87	46.18	0.0	0.0	25.86	40.64	105.57	36.01	115.8	0.0	32.67	0.17	22.3	126.56	78.26	17.72	65.56	23.16	86.74	706.38	755.05	722.85
Lap3	156.31	0.0	0.0	0.17	51.18	0.16	33.42	1.42	0.0	0.22	0.23	2.2	0.15	0.0	94.15	0.0	0.0	57.98	0.12	0.0	32.71	90.52	0.0	1.4	0.23	0.35	43.18	47.86	51.71
Lysmd2	307.58	0.0	1.04	53.88	0.0	0.0	133.49	103.44	93.89	0.0	0.0	94.34	0.0	3.08	0.0	277.87	0.0	10.61	114.65	0.0	56.35	17.46	0.0	139.06	15.42	61.25	74.65	87.51	76.55
Mppe1	124.22	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.42	65.01	2.63	23.01	209.36	0.0	0.0	27.24	0.0	1.91	73.29	0.0	0.0	0.0	0.0	16.65	15.09	15.58
Mpv17l2	67.65	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	196.6	0.0	0.0	0.0	0.0	0.0	7.76	0.0	0.0	0.0	0.0	23.54	33.46	28.35
Mrps6	322.95	49.45	0.0	0.0	0.0	0.0	81.76	70.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	287.1	0.0	0.0	0.0	79.21	20.24	227.02	0.0	0.0	103.95	0.0	43.06	46.16	40.7
Mtpn	274.37	3.1	0.0	65.97	0.0	0.0	73.6	39.36	92.23	0.0	0.0	0.0	4.43	0.0	159.1	98.87	0.0	0.0	71.23	43.76	15.47	36.14	90.76	0.06	154.36	129.38	259.53	241.66	248.26
Mtss1l	48.65	0.0	0.0	4.77	0.0	0.0	11.75	24.47	3.51	1.14	0.0	0.0	0.99	27.1	59.46	25.35	0.0	0.0	17.12	4.2	20.42	30.88	1.7	2.83	0.0	0.0	101.71	102.34	109.18
Ndfip1	236.84	77.72	0.0	64.17	0.0	196.15	98.68	11.22	0.0	0.0	0.58	105.46	124.49	181.72	105.04	234.16	40.96	23.53	0.47	66.0	28.49	67.69	152.93	101.55	209.96	108.54	891.63	937.06	917.68
Nsmaf	52.73	0.0	0.0	23.17	0.0	3.14	6.53	0.0	0.0	0.14	0.0	0.0	0.0	4.65	39.64	0.14	0.0	0.0	0.0	8.5	0.0	0.0	0.0	0.07	1.38	0.0	26.73	26.11	27.37
Pak4	3.75	0.29	0.62	0.22	0.32	0.59	0.84	0.33	0.04	0.0	0.88	0.24	0.22	0.24	0.7	2.7	0.0	0.37	0.28	0.13	0.3	0.3	0.35	0.0	0.17	0.0	7.83	7.46	8.28
Pdia3	313.93	2.39	0.0	155.28	0.0	0.0	13.86	18.06	0.14	0.37	0.0	38.68	4.94	2.72	13.44	202.66	0.0	68.1	0.0	20.5	71.33	2.82	26.08	0.2	14.93	0.0	154.5	153.1	147.09
Pik3ca	7.21	5.76	4.83	14.35	0.76	0.13	20.16	18.51	5.18	0.0	0.52	23.53	68.58	22.93	71.06	122.88	0.56	12.55	43.12	2.78	1.41	6.86	1.82	30.9	57.46	6.56	22.54	19.27	21.83
Plxna3	49.14	0.0	0.0	0.0	0.0	0.0	24.23	12.47	0.0	0.0	0.07	0.28	0.0	0.0	39.17	33.95	0.0	0.0	0.0	0.0	1.36	1.52	33.33	0.0	0.0	0.0	12.18	13.34	14.21
Poldip2	132.87	0.0	0.0	91.27	0.0	0.0	30.61	47.04	0.0	0.0	0.0	13.33	0.0	38.53	76.55	50.34	0.0	0.0	0.0	0.58	0.0	42.62	0.0	13.23	0.0	0.0	89.4	95.99	94.39
Ppm1a	109.66	0.0	0.0	101.44	0.0	30.44	54.74	0.09	73.97	20.68	0.0	0.0	60.82	1.52	58.75	122.68	0.0	0.16	91.45	0.98	8.04	24.1	3.11	0.0	36.62	34.13	150.18	150.39	144.09
