	Ctgf_tdTpositive_cell_4	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
1110031I02Rik	0.0	8.16	9.56
1600015I10Rik	0.0	0.04	0.04
1700001K23Rik	0.0	0.22	0.22
1700003L19Rik	0.0	0.14	0.14
1700009J07Rik	0.0	0.11	0.11
1700011F14Rik	0.0	0.19	0.19
1700023A16Rik	0.0	0.16	0.16
1700061J05Rik	0.0	0.11	0.11
2010005H15Rik	0.0	0.2	0.2
2310035C23Rik	0.0	40.88	40.39
2310043L19Rik	0.0	0.15	0.15
2310065F04Rik	0.0	0.07	0.07
4732471J01Rik	0.0	4.59	5.4
4833403I15Rik	0.0	0.03	0.03
4930419G24Rik	0.0	0.19	0.2
4930455B14Rik	0.0	0.09	0.09
4930528F23Rik	0.0	0.06	0.06
4930544D05Rik	0.0	0.16	0.16
4930555B11Rik	0.0	0.07	0.07
4931423N10Rik	0.0	0.22	0.22
5830411N06Rik	0.0	0.07	0.07
5830432E09Rik	0.0	0.28	0.28
8430410A17Rik	0.0	21.53	23.98
8430427H17Rik	0.0	26.31	26.51
9230104L09Rik	0.0	0.16	0.16
9430015G10Rik	0.0	17.12	17.89
A530013C23Rik	0.0	0.05	0.05
A930007I19Rik	0.15	1.06	1.51
A930041C12Rik	0.0	0.19	0.2
Abca13	0.0	0.03	0.03
Abhd16b	0.0	0.06	0.06
Acin1	0.0	81.9	75.72
Adamdec1	0.0	0.04	0.04
Adamts12	0.0	0.19	0.19
Akr1c12	0.0	0.08	0.08
Angpt1	0.0	4.05	4.05
Ano7	0.0	0.09	0.09
Apob	0.0	0.01	0.01
Arhgef25	0.69	162.76	166.66
Asxl1	0.0	25.8	26.11
Atp5s	0.0	24.13	22.14
Atp8b3	0.0	0.04	0.09
B230119M05Rik	0.0	0.21	0.21
BC031353	0.0	31.69	33.76
BC051537	0.0	0.24	0.24
Barhl1	0.0	0.03	0.03
Bhlhe23	0.0	0.08	0.08
Bnc2	0.0	0.27	0.27
Bpifb4	0.0	0.05	0.05
Bsnd	0.0	0.04	0.04
C8b	0.0	0.04	0.09
Calhm1	0.0	0.1	0.1
Capn13	0.0	0.04	0.04
Ccdc154	0.0	0.04	0.04
Ccdc63	0.0	0.09	0.09
Ccr3	0.0	0.03	0.03
Cd37	0.0	4.99	4.99
Cds1	0.0	80.33	80.85
Ceacam15	0.0	0.07	0.07
Ces1a	0.0	0.05	0.05
Chd4	1.91	84.9	82.33
Clec12b	0.0	0.07	0.07
Clec2l	0.0	53.14	59.77
Cpa3	0.0	0.07	0.07
Csnk2a1	0.0	77.48	75.41
Csnk2a2	0.0	19.92	20.2
Cyp2c55	0.0	0.05	0.05
Cyp3a57	0.0	0.06	0.06
Cyth2	0.0	68.24	71.28
D6Mm5e	0.0	0.1	0.1
Def8	0.0	35.39	35.5
Defb1	0.0	0.11	0.11
Dhrs2	0.0	0.08	0.08
