	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Htr3a_tdTpositive_cell_83	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_70	Rbp4_tdTpositive_cell_165	Sst_tdTpositive_cell_18	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2310042D19Rik	0.0	0.0	1.15	0.0	0.0	0.0	0.0	0.05	0.46	0.03	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.27	2.05	2.51	2.54
2410137M14Rik	0.0	0.0	80.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71	0.0	1.25	0.42	0.94	0.89	1.34
2900002K06Rik	0.0	0.0	60.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.29	0.44	1.39	0.72	0.92
4833422C13Rik	0.71	32.15	55.63	0.0	32.64	11.81	0.46	0.0	0.28	0.35	2.15	0.66	1.05	0.46	0.0	0.54	0.94	0.13	1.27	0.0	0.0	0.6	3.55	9.15	47.07	1.32	3.83	5.41	5.08	7.02
4931408A02Rik	0.0	0.0	15.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.2	1.92	1.18
4933426M11Rik	0.0	3.39	37.94	0.0	0.0	0.0	0.0	3.95	0.02	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	44.5	1.03	0.0	3.34	2.06	26.72	26.95	27.21
4933436C20Rik	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.81	0.56	0.92
5730455O13Rik	0.0	0.0	170.56	0.0	35.1	0.12	60.55	80.26	0.0	0.0	35.97	9.46	11.91	6.99	2.91	0.0	0.0	0.0	0.0	14.58	0.0	0.0	0.0	8.88	0.5	33.43	30.94	21.53	19.6	22.07
9330133O14Rik	0.0	0.0	50.2	0.0	20.02	0.03	0.0	0.0	0.0	18.23	0.0	0.0	0.0	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.81	7.01	0.0	13.78	10.08	7.77	7.0	8.22
A130010J15Rik	0.0	0.0	70.39	0.0	0.11	0.13	0.2	0.59	0.37	25.36	0.47	0.3	0.47	0.1	0.26	0.54	0.29	1.81	0.1	0.28	21.13	0.06	0.54	2.5	0.75	3.18	6.81	4.05	4.0	4.19
AW495222	0.0	0.0	181.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.47	0.0	13.95	23.18	7.64	6.64	6.52
Abca3	16.54	1.86	120.92	0.0	1.12	0.76	3.07	6.13	21.82	0.0	1.67	43.55	0.0	15.57	39.28	28.66	0.25	0.0	1.54	15.72	23.59	0.0	12.17	5.46	0.0	3.23	2.29	50.64	49.23	52.54
Acan	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.57	1.54	1.83
Acbd3	0.0	10.21	72.21	0.0	0.0	0.0	60.46	5.82	43.32	0.0	0.0	0.23	0.0	0.0	14.61	0.0	5.26	0.0	0.0	1.59	0.08	0.0	28.09	12.85	0.07	5.33	8.37	29.33	28.12	26.51
Agpat3	0.0	0.0	104.89	0.0	20.6	12.27	0.0	0.05	0.0	1.53	0.0	60.38	8.82	1.06	0.0	0.0	0.0	0.0	0.18	0.0	0.0	1.35	0.0	0.0	0.0	3.59	2.68	136.22	137.97	147.24
