	Ctgf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_4	PvalbD.Slc32a1_tdTpositive_cell_2	Sst_tdTpositive_cell_106	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700015E13Rik	0.0	0.0	25.41	0.0	0.43	1.09	0.74
1700061J05Rik	0.0	0.0	62.72	0.0	0.11	0.0	0.11
1700123O21Rik	0.0	0.0	24.22	0.0	0.0	0.0	0.0
2010010A06Rik	0.0	0.0	39.35	0.0	0.0	0.0	0.17
2900079G21Rik	0.0	0.0	0.17	0.0	22.13	25.02	21.82
4921525B02Rik	0.0	0.0	1.86	0.0	1.3	1.18	1.69
4930473A06Rik	0.0	0.0	33.87	0.0	2.13	1.92	2.18
4930565N06Rik	0.0	0.0	90.96	0.0	0.75	0.57	1.26
6430584L05	0.0	0.0	0.05	0.0	3.65	2.97	5.77
7420426K07Rik	0.0	0.0	95.63	0.0	0.0	0.0	0.0
9930005F22Rik	0.0	0.0	81.12	0.0	1.52	1.97	1.24
A930005I04Rik	0.0	0.0	0.35	0.0	1.98	2.66	2.26
Aass	0.0	0.0	0.05	0.0	2.47	2.83	2.28
Abra	0.0	0.0	11.96	0.0	0.5	0.58	0.35
Acaa1a	0.0	0.0	39.67	0.0	63.92	64.41	69.33
Ada	0.0	0.0	1.24	0.0	0.55	0.4	0.44
Adam32	0.0	0.0	17.2	0.0	0.16	0.3	0.42
Alpk3	0.0	0.0	11.85	0.0	0.29	0.28	0.21
B3gat2	0.0	0.0	54.1	0.1	7.96	8.07	9.18
Bahd1	0.0	0.0	32.29	0.0	29.7	27.75	26.96
Bcat2	0.0	1.08	66.49	0.0	14.31	13.77	12.97
Brpf3	0.0	0.0	13.73	0.0	20.31	19.93	20.09
C130074G19Rik	0.0	0.0	48.43	0.0	49.03	50.81	49.79
Cacnb1	0.0	0.0	0.58	0.0	133.87	131.85	125.98
Cd300e	0.0	0.0	0.07	0.0	0.15	0.19	0.11
Cdh4	0.0	0.0	42.32	0.0	12.23	11.4	12.49
Celsr1	0.0	0.0	1.62	0.0	1.93	2.32	2.21
Cerkl	0.0	0.0	0.1	0.0	2.26	1.78	1.67
Clic4	0.0	0.0	106.18	0.0	58.45	56.14	59.54
Cntln	0.0	0.0	36.3	0.0	7.19	6.25	7.48
Cpsf4l	0.0	0.0	0.89	0.0	1.17	1.47	1.78
Crat	0.0	0.0	50.39	0.0	24.38	24.75	25.3
Creb3l2	0.0	0.0	18.51	0.0	5.84	5.34	6.09
Csf2	0.0	0.0	49.74	0.0	0.0	0.0	0.1
Cth	0.0	0.0	142.9	0.0	4.58	4.16	3.47
Cyp2ab1	0.42	0.0	0.07	0.0	0.07	0.0	0.04
D830046C22Rik	0.0	0.0	0.07	0.0	0.08	0.08	0.17
Dach2	0.0	0.0	15.87	0.0	0.36	0.56	0.47
Dcaf6	0.0	21.38	73.0	3.39	80.08	75.12	71.58
Dlx6as1	0.0	0.0	171.17	0.0	12.65	11.96	16.06
Dscam	0.0	0.0	8.96	0.09	28.5	27.09	29.16
Dyrk3	0.0	0.0	47.23	0.0	14.06	14.06	9.33
