	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_14	Pvalb_tdTpositive_cell_62	Pvalb_tdTpositive_cell_65	PvalbF.Gad2_tdTpositive_cell_60	PvalbF.Gad2_tdTpositive_cell_64	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_81	Tac2_tdTpositive_cell_5	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1500010J02Rik	0.0	0.0	0.0	0.0	0.0	0.0	2.18	83.32	0.13	23.98	24.56	23.93
1700024P16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.96	0.0	1.92	1.8	1.98
1700029B22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.0	0.02	0.0	0.0
1700034G24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.51	0.0	1.25	2.26	2.5
1700044K03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0	0.0	0.0	0.0
2900041M22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.47	0.0	2.9	2.32	2.15
4930502E18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.58	0.0	0.58	0.79	0.34
4930526L06Rik	0.0	0.0	0.0	0.0	0.0	0.75	1.58	6.63	1.64	2.19	1.42	1.84
4931417G12Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.09	0.0	0.15	0.42	0.53
5330426P16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	6.41	4.85	6.1
9430060I03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.6	0.0	0.5	0.33	0.54
A230108P19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.08	0.04	0.0
AA415398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.58	0.0	6.21	6.1	6.79
Accn4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.51	0.0	20.37	23.69	22.46
